id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.82205E+15,M9fwnu1mI,2702452820,上海三农,#三农##乡村振兴#三农记录乡村生活的一幕幕L新东方陈大迪的微博视频,,,,"三农,乡村振兴",0,0,1,2022/10/7 21:21,微博视频号,,"http://f.video.weibocdn.com/o0/OxmR77D1lx07ZH8OGIf601041200wyDQ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155360&ssig=HZTWo%2FGc%2BO&KID=unistore,video",
4.82204E+15,M9fq33dCe,7646509943,乌蒙娃儿,煲汤神器大金钱，小火慢炖三四个小时后，直接上手抱着啃#三农#L乌蒙娃儿的微博视频,,,,三农,0,1,3,2022/10/7 21:05,iPhone客户端,,"http://f.video.weibocdn.com/u0/rLg2f5z9gx07ZNUv5noQ01041207kf4Z0E030.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cw5miNEOurLOz&Expires=1665155352&ssig=WBAYd%2F4jsS&KID=unistore,video",
4.82204E+15,M9fnfh1Bx,2465137732,闽湖阿嬷FuJian,阿嬷做传统美食辣椒酥，酥香脆辣的下酒菜零食，一口一个嘎巴响#辣椒酥##三农##传统美食#L闽湖阿嬷FuJian的微博视频,,,,"辣椒酥,三农,传统美食",0,0,0,2022/10/7 20:58,微博视频号,,"http://f.video.weibocdn.com/o0/CR76bi21lx07ZNTXn35u0104120cSUsM0E050.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1665155355&ssig=jiZ1rPK4lG&KID=unistore,video",
4.82202E+15,M9eTnFrWT,7353198625,伊宁县融媒体中心,伊宁县巴依托海镇茶依其温村冬播生产有序进行#三农##冬播##一份耕耘一份收获##伊宁县融媒体中心#L伊宁县融媒体中心的微博视频,,,,"三农,冬播,一份耕耘一份收获,伊宁县融媒体中心",0,1,0,2022/10/7 19:45,微博视频号,,"http://f.video.weibocdn.com/o0/mWllEEK0lx07ZNOUY7Kg01041200GoXm0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155360&ssig=FkWKsgnMRD&KID=unistore,video",
4.822E+15,M9en9j4sB,7646509943,乌蒙娃儿,煲汤神器大金钱，小火慢炖三四个小时后，直接上手抱着啃#三农#L乌蒙娃儿的微博视频,,,,三农,0,2,6,2022/10/7 18:25,iPhone客户端,,"http://f.video.weibocdn.com/o0/blToAqKrlx07ZNJumECQ01041207jII40E030.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cw5miNEOurLOz&Expires=1665155352&ssig=OYGUuCF9IF&KID=unistore,video",
4.822E+15,M9emtAREk,5682122289,中尔水溶肥厂家,到了黄瓜结果高峰期，黄瓜生长所需要的营养逐步降低，而果实膨大成为养分供应的重点。此时，种植朋友们主要给黄瓜施肥可以选择冲施大量元素水溶肥、生物菌肥两种。大量元素水溶肥多选择高钾型，主要是补充果实膨大所需要的大量钾元素。当然，一味的给黄瓜施用高钾肥料会导致植株生长衰弱，这时候可以使用这款硕果赞，该产品是一款高氮高钾类型的水溶肥，并加入了螯合态的微量元素。这既能保证坐果多、膨果快，又能预防植株的早衰，提高品质。同时，在这一时期也要重视给黄瓜施用生物菌肥，比如这款根地赞，含有丰富的矿物源黄腐酸钾，抗硬水能力强。其目的就是保持土壤良好的状态。一方面防止大量养分积存；另一方面在繁殖的同时促进土壤团粒结构的形成以及分泌的物质能刺激根系生长。关注中尔让您用到好肥料。#三农##水溶肥厂家##农业种植#L中尔水溶肥厂家的微博视频,,,,"三农,水溶肥厂家,农业种植",0,0,0,2022/10/7 18:23,微博视频号,,"http://f.video.weibocdn.com/o0/K3lyXkyilx07ZNJlTMBi01041200aOwB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155360&ssig=NStuPY%2BOEf&KID=unistore,video",
4.822E+15,M9eiWFsIT,6126888001,新念锐,我发布了：玉米输送机轻松装车上房装囤，铲车上料不卡棒，可以漏掉霉粒杂质灰尘等，不悟玉米囤#三农#链条式玉米棒子输送机#玉米输送机@快手热点##快手#@快手L爽朗的锐婷的快手视频,,,"快手热点,快手","三农 ,快手",0,0,1,2022/10/7 18:15,快手,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xxiptpsnxbg6yy&a=3xw4a3iiestp79u&f=3xw4a3iiestp79u&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5204190932470512856&shareResourceType=PHOTO_SELF&shareToken=X-adsOCebOCbAGcR,
4.82199E+15,M9e3AAYsz,6501701702,用户6501701702,蚯蚓学员回访，帮学员处理原料调配问题#三农##农村##养殖##创业##蚯蚓#L用户6501701702的微博视频,,,,"三农,农村,养殖,创业,蚯蚓",0,1,0,2022/10/7 17:37,微博视频号,,"http://f.video.weibocdn.com/o0/QXMYE3khlx07ZNG9Dr7y01041201KSJQ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155360&ssig=GPzdJJDtZL&KID=unistore,video",
4.82198E+15,M9dGe74hi,5529612422,苏9235,绿帽我忍了，可孩子不是亲生的。#三农#灵芝种植#集结吧光合创作者##快手#@快手，自媒体最新报料石家庄猫鼠游戏，猫鼠一窝，利益链，，大家看看，司法腐败成灾!正义荡然无存!#世界水晶之都江苏东海欢迎您！！！！！连云港市长热线。I2345这个电话竟敢睁眼说瞎话假话，可想社会病到什么程度？太可怕了，∴？？？？？？？？？？2.2万条微博。记录你猫鼠一窝，我己体验山东某镇党委书记所说一百种方法行(刑)拘他之一，微博实名举报江苏东海开发区范埠村书记冯登久贪腐问题，开发区纪工委书记陈兴宝(此人是曹浦村小支书，听说捞了不少钱）庇护，充当保护伞，我说#1大草包，大饭桶还能胜任开发区纪工委书记的职位，被开发区派出所许敏民警～周文武副所长滥用职权办关糸案人情案利益案打压举报者给予我行政拘留六曰的处罚。执法知法犯法充当小官大贪的保护伞、至今小贪官未被绳之以法，牛逼的伞，人做天看，，林更新L创业路上4的快手视频,,,快手,"三农 ,集结吧光合创作者 ,快手,世界水晶之都江苏东海欢迎您！！！！！连云港 市长热线。I2345这个电话竟敢睁眼说瞎话假话，可想社会病到什么程度？太可怕了，∴？？？？？？？？？？2.2万条微博。记录你猫鼠一窝，我己体验山东某镇党委书记所说一百种方法行(刑)拘他之一，微博实名举报江苏东海开发区范埠村书记冯登久贪腐问题，开发区纪工委书记陈兴宝(此人是曹浦村小支书，听说捞了不少钱）庇护，充当保护伞，我说",1,1,0,2022/10/7 16:39,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xhmqnid7k8apzu&a=3x3kkfcgcth3dqq&f=3xnygaw9nh2xrha&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5224457126183859000&shareResourceType=PHOTO_OTHER&shareToken=X8YtP0silWHw1gO,
4.82197E+15,M9dyRjlXP,3245854054,张掖市畜牧兽医局,#三农#【全市掀起玉米青贮收储热潮】近日，张掖市全株玉米青贮收储工作陆续展开，收储的全株玉米青贮饲料主要用于奶牛、育肥牛的喂养。今年以来，市饲料饲草技术推广站利用“粮改饲”种收贮用集成技术示范推广项目，先后引进全株玉米青贮品种7个，试验种植面积60亩，开展品种间对比试验，通过试验为推广高产量、高品质的全株玉米青贮选种工作打好基础。据统计，2022年全市玉米青贮种植面积达46万亩，达双30（干物质、淀粉含量达30％以上）指标的全株玉米青贮亩产达4吨左右，有力的推动了全市畜牧养殖业的高质量发展。L张掖市畜牧兽医局的微博视频,,,,三农,0,1,1,2022/10/7 16:21,微博视频号,,"http://f.video.weibocdn.com/o0/SitsLvEKlx07ZNAXjB9u01041200TyFm0E010.mp4?label=mp4_720p&template=960x544.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155360&ssig=Jtr0He31ru&KID=unistore,video",
