id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81158E+15,M4R9CwyQD,3083675014,尼日利亚球迷俱乐部,失去的，我一定要自己亲手拿回来！#足球##体育#L尼日利亚球迷俱乐部的微博视频,,,,"足球,体育",0,0,3,2022/9/8 23:57,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/BOSsKtZ2lx07Z3Qs6kEU01041200czRz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=vCTOyhzQJs&KID=unistore,video",
4.81158E+15,M4R9C2QAd,5992567636,女排连连看,#中国女足##体育#高晨这次关键解围，不亚于进了一个球L女排连连看的微博视频,,,,"中国女足,体育",0,0,2,2022/9/8 23:57,微博视频号,,"http://f.video.weibocdn.com/o0/NL5F8bmFlx07Z3OkeM6Q010412004Ggv0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=N4ngzKCnZS&KID=unistore,video",
4.81158E+15,M4R9r3wuB,3083675014,尼日利亚球迷俱乐部,那不勒斯#足球##体育#L尼日利亚球迷俱乐部的微博视频,,,,"足球,体育",0,0,0,2022/9/8 23:57,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/JsCVsccWlx07Z3QqDYO4010412031daq0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=dvuNZeo9t8&KID=unistore,video",
4.81158E+15,M4R95wnab,3083675014,尼日利亚球迷俱乐部,比赛中有趣一幕！下半场刚刚开始，孙兴慜全力冲刺造红牌，埃默松高速前插捡红牌！#足球##体育#L尼日利亚球迷俱乐部的微博视频,,,,"足球,体育",0,0,4,2022/9/8 23:56,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/WFpEVeV2lx07Z3Qmkk4U010412007Zbx0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=F7Mq%2Bh0eom&KID=unistore,video",
4.81158E+15,M4R88DHXd,3083675014,尼日利亚球迷俱乐部,原声｜欧冠对阵尤文，大巴黎主场王子公园超燃氛围，你的DNA动了吗！？#足球##体育#L尼日利亚球迷俱乐部的微博视频,,,,"足球,体育",0,0,0,2022/9/8 23:54,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/Sgg8X9B1lx07Z3QdmEjC010412014WKc0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=j6Y61twogq&KID=unistore,video",
4.81158E+15,M4R7LmwUY,3083675014,尼日利亚球迷俱乐部,连续十三脚制造威胁#足球##体育#L尼日利亚球迷俱乐部的微博视频,,,,"足球,体育",0,0,0,2022/9/8 23:53,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/u40UCKSRlx07Z3Q91nX201041200cguq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=pLkW7NU7Ap&KID=unistore,video",
4.81158E+15,M4R7vEwBQ,3083675014,尼日利亚球迷俱乐部,永恒的鸟巢米兰德比，2011年意大利足球超级杯，AC米兰大战国际米兰！#足球##体育#L尼日利亚球迷俱乐部的微博视频,,,,"足球,体育",0,0,0,2022/9/8 23:52,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/fEytt0NTlx07Z3Q7sJjW0104120905ob0E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=qdw7IF6TGn&KID=unistore,video",
4.81157E+15,M4R7aFIrR,5992567636,女排连连看,#中国女足##体育#21岁的她未来可期L女排连连看的微博视频,,,,"中国女足,体育",0,0,4,2022/9/8 23:51,微博视频号,,"http://f.video.weibocdn.com/o0/ooS6Sx30lx07Z3OUqKtG010412003Qwk0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=rITnHyGvyq&KID=unistore,video",
4.81157E+15,M4R6OhMJT,3083675014,尼日利亚球迷俱乐部,崩盘！新赛季欧冠首秀利物浦客场1-4不敌那不勒斯，遭受欧战56年来最惨失利#足球##体育#L尼日利亚球迷俱乐部的微博视频,,,,"足球,体育",0,0,0,2022/9/8 23:50,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/aypAlwBPlx07Z3PYtU800104120095Hi0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=DBgZJBd0jJ&KID=unistore,video",
4.81157E+15,M4R6N1rEL,5991719508,勇士攀登,来欣赏一下库奇娜在东京奥运会赛场上的完美跳跃吧#体育##竞技体育#L勇士攀登的微博视频,,,,"体育,竞技体育",0,0,0,2022/9/8 23:50,微博视频号,,"http://f.video.weibocdn.com/o0/0NO1QcEBlx07Z2JnzZNm010412007qcb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145101&ssig=MbhQsMLrKM&KID=unistore,video",
