id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4809040057599162,M3NaJvST8,3131626957,PELLEK_92,开门开门健身#健身##撸铁##肌肉男#,,合肥,,"健身,撸铁,肌肉男",0,0,0,2022-09-01 23:59,iPhone客户端,['https://wx3.sinaimg.cn/large/baa8d5cdly1h5rjq2u7szj21be0zj76k.jpg'],,
4809039219003262,M3N9nBM9U,5411733705,孔子学院,居家健身不间断，养成健康生活好习惯~毽子操你还不会吗？快快一起跳起来#本草纲目##刘畊宏##刘畊宏直播##老外跳刘畊宏毽子操有多魔性##健身#居家锻炼#孔子学院L孔子学院的微博视频,,,,"本草纲目,刘畊宏,刘畊宏直播,老外跳刘畊宏毽子操有多魔性,健身",2,1,2,2022-09-01 23:56,孔子学院超话,,"http://f.video.weibocdn.com/o0/ofqJ6kRGlx07YSG67ICs01041200hifg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665197627&ssig=Dtyn%2FlohKs&KID=unistore,video",
4809038674267367,M3N8vhU8v,6358892212,KobeBryant超超,坚持做好一件事！Me要做一个猛男！#健身#,,西安·鑫源大都汇购物中心,,健身,0,0,4,2022-09-01 23:53,健身超话,"['https://wx4.sinaimg.cn/large/006WlglCly1h5rjgdlyppj30wo188x5z.jpg', 'https://wx4.sinaimg.cn/large/006WlglCly1h5rjgctu88j30wo17k1kx.jpg', 'https://wx3.sinaimg.cn/large/006WlglCly1h5rjgdycutj30wo17k78d.jpg', 'https://wx1.sinaimg.cn/large/006WlglCly1h5rjgetxurj30wo18c4hk.jpg', 'https://wx4.sinaimg.cn/large/006WlglCly1h5rjgg0zepj30wo17k1gr.jpg', 'https://wx1.sinaimg.cn/large/006WlglCly1h5rjggs5tzj30wo17kqcs.jpg']",,
4809038087063906,M3N7ytDDY,5536177462,武武丨生威,健身#健身#练习时长一年半,,,,健身,0,11,8,2022-09-01 23:51,健身超话,"['https://wx3.sinaimg.cn/large/0062FeESgy1h5rji78902j30u00u0jte.jpg', 'https://wx2.sinaimg.cn/large/0062FeESgy1h5rji84e2gj30uo0u0wj7.jpg', 'https://wx4.sinaimg.cn/large/0062FeESgy1h5rji9iai7j30u00we43v.jpg']",,
4809037159863094,M3N63FnQa,1886035740,Cathy丁丁是只热爱旅行的大狮子,周四固定跳舞二连，我的快乐又回来啦😄健身No.607ZumbaandNo.608Sh'bamZumba我和Nana全场最鲜艳Sh'bam越来越耗体力了，绝对不是我二连的缘故，下课大家拍照时都抢着往后站，都说蹲不下去，跟不上还累个半死#跳舞##健身#O绿洲,,上海·法华镇路,,"跳舞,健身",0,0,0,2022-09-01 23:47,绿洲APP,"['https://wx1.sinaimg.cn/large/706a9f1cgy3h5rjeejwexj21ie1kv1kx.jpg', 'https://wx1.sinaimg.cn/large/706a9f1cgy3h5rjeej16wj21kw0w07o9.jpg', 'https://wx3.sinaimg.cn/large/706a9f1cgy3h5rjef3y58j21kw16p1kx.jpg', 'https://wx3.sinaimg.cn/large/706a9f1cgy3h5rjeflv5hj21kw19z1ek.jpg']",,
4809036790498803,M3N5t25Ld,5935259389,运动健身大课堂,#运动就是坚持##健身#世界公认三个瘦肚子最快的动作L运动健身大课堂的微博视频,,,,"运动就是坚持,健身",7,1,7,2022-09-01 23:46,微博视频号,,"http://f.video.weibocdn.com/u0/tfmEo9WTgx07YSFqByOA010412008iIf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665197627&ssig=wsdJKxiLE6&KID=unistore,video",
4809036362682582,M3N4MbfRs,5286173850,您的时代666,青春爱运动#青春运动日记#Day23#广东海洋大学运动打卡##广东海洋大学健美操与健身协会筹备组##健身#,,,,"青春运动日记,广东海洋大学运动打卡,广东海洋大学健美操与健身协会筹备组,健身",0,0,0,2022-09-01 23:44,青春爱运动超话,"['https://wx3.sinaimg.cn/large/005LKfiygy1h5rjawsfuaj30u014041i.jpg', 'https://wx3.sinaimg.cn/large/005LKfiygy1h5rjb5eb4jj30u01uo43i.jpg']",,
4809035864080562,M3N3Yh7xw,1784509477,隔壁家的朱小姐,学习滚翻，呛水呛到头疼，我说我脑袋进水了，你信吗#游泳##运动就是坚持##健身#L隔壁家的朱小姐的微博视频,,,,"游泳,运动就是坚持,健身",0,0,0,2022-09-01 23:42,微博视频号,,"http://f.video.weibocdn.com/u0/daS2NQ07gx07YSFdZsiQ01041200NDUL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665197627&ssig=nVT0%2BW1%2Bxn&KID=unistore,video",
4809035699720972,M3N3HEMRS,6090644797,追剧达人酱,#运动先锋计划##健身#全台拉伸动作，哪里痛拉哪里。L器乐之王的独白的微博视频,,,,"运动先锋计划,健身",0,0,0,2022-09-01 23:42,微博视频号,,"http://f.video.weibocdn.com/o0/4T9p2BUOlx07YRw8gPza010412004R180E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665197627&ssig=%2BEWGZo6H%2Bv&KID=unistore,video",
4809035654894321,M3N3DkxeF,5642750940,胡桃不吃大核桃,#健身#今天体检抽了四管血，运动量就少了点，顺便把私教体验课用了，依旧练背固定器械坐姿划船20kg2x15直臂下压3.75kg2x10，这个太累人了自由重量坐姿划船7.5kg2x15爬坡30min一直让我买课300一节我哪有那么多钱，明年攒点钱再考虑考虑奔波一上午，体检脱毛健身换电池，结果电池没货还要预定白跑一趟晚上和小红书认识的姐姐面基了，聊了很多，30+的阅历确实不一样，看待两性问题也更为豁达，也许5年后我也会是这种想法，但是现在呜呜呜我还是对忠诚的爱情有点憧憬的小红书认识的都是大好多的姐姐，难道有点吸姐体质？,,,,健身,0,0,1,2022-09-01 23:41,,,,
