id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.8123E+15,M5a0DsMuJ,7287168896,奶酷小狗-,冰冰冰的好物安利#刺梨##枸杞##养生#冰冰好物‖第二弹‖养生water[布朗熊]??刺梨?枸杞我也是被安利的。因为要出这个安利帖然后去搜了一下刺梨的功效，震惊?（p3来源百度）一开始只是因为知道刺梨含有VC可以米白就冲了结果...对身体很好??口感:我特地给舍友们尝了尝闻了闻刺梨干果她们说有葡萄干的味道。泡在水里入口比较涩，慢慢有发酸的感觉但还是可以喝下去的。??食用:可以像我一样和枸杞来搭配泡水大概加两次水就换一换或者三次换一换过夜了就要倒掉。或者听说也可以去皮去核吃看自己习惯啦??可以买一个这样的壶用平常的杯子太小保温壶又太大这个样子的刚刚好！,,,,"刺梨,枸杞,养生",0,1,1,2022/9/10 23:57,冰冰冰的好物安利超话,"['https://wx4.sinaimg.cn/large/007Xadwcly1h61y8917g0j31400u0n1t.jpg', 'https://wx3.sinaimg.cn/large/007Xadwcly1h61xmvgf6nj33hc4n4b2d.jpg', 'https://wx2.sinaimg.cn/large/007Xadwcly1h61xxqg7bqj30u00uxdk6.jpg']",,
4.81229E+15,M59K88fjY,3401465962,大小白家主,#养生#最近一直在学习。#治愈系##抗衰老##健康生活#,,长春,,"养生,治愈系,抗衰老,健康生活",0,0,0,2022/9/10 23:17,HUAWEI Mate30 Pro 5G,"['https://wx1.sinaimg.cn/large/cabe406aly1h61x1x6gltj20wo13awkl.jpg', 'https://wx4.sinaimg.cn/large/cabe406aly1h61x1xr2bnj20wo130q71.jpg', 'https://wx1.sinaimg.cn/large/cabe406aly1h61x1y04gqj20wo14sjsu.jpg', 'https://wx3.sinaimg.cn/large/cabe406aly1h61x1y8ilbj20vk13d400.jpg', 'https://wx4.sinaimg.cn/large/cabe406aly1h61x1yk00cj20wo14f43w.jpg', 'https://wx2.sinaimg.cn/large/cabe406aly1h61x20wmixj20q50wsqdp.jpg']",,
4.81229E+15,M59EJ8xsT,6439026561,该吃吃该喝喝啦,减肥减肚子窍门#运动##养生##生活小窍门#L该吃吃该喝喝啦的微博视频,,,,"运动,养生,生活小窍门",0,0,0,2022/9/10 23:03,微博视频号,,"http://f.video.weibocdn.com/o0/01q6UJNYlx07Z6Yx9MMo01041200aL1V0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665201639&ssig=xTPiTpzzbI&KID=unistore,video",
4.81228E+15,M59wxrWEh,2697025081,YangShiying-,#养生#,,,,养生,0,1,0,2022/9/10 22:43,iPhone客户端,['https://wx4.sinaimg.cn/large/a0c15639ly1h61w3v4jg8j23402c0e82.jpg'],,
4.81226E+15,M58UtiZQr,1808228624,道乾院,教你如何从身体看血气中医认为，一个人健康的标准就是气血充足。人体的脏器就如同人一样，吃得饱了，干起活来才有劲。而血就是脏器的“饭”。摸手的温度如果手一年四季都是温暖的，代表人气血充足，如果手心偏热或者出汗或者手冰冷，都是气血不足。看手指的指腹无论孩子还是成人，如果手指指腹扁平、薄弱或指尖细细的，都代表气血不足，而手指指腹饱满，肉多有弹性，则说明气血充足。看青筋如果在成人的食指上看到青筋，说明小时候消化功能不好，而且这种状态已一直延续到了成年后。这类人体质弱，气血两亏。如果在小指上看到青筋，说明肾气不足。如果掌心下方接近腕横纹的地方纹路多、深，就代表小时候营养差，体质弱，气血不足。成年后，这类女性易患妇科疾病，男性则易患前列腺肥大、痛风等症。看指甲上的半月形正常情况下，半月形应该是除了小指都有。大拇指上，半月形应占指甲面积的1/4~1/5，其它食指、中指、无名指应不超过1/5。如果手指上没有半月形或只有大拇指上有半月形的说明人体内寒气重、循环功能差、气血不足，以致血液到不了手指的末梢，如果半月形过多、过大，则易患甲亢、高血压等病。#养生##健康##健康养生#,,,,"养生,健康,健康养生",5,3,14,2022/9/10 21:10,微博 weibo.com,['https://wx3.sinaimg.cn/large/6bc76110gy1h60h57fkv2j20sg0izq43.jpg'],,
4.81226E+15,M58Tf9gax,7482135058,_赖床专业户_,晚上还有点小风，立马套住小吊带，嗯，今天被滴滴很顺利的送到家#养生#,,,,养生,0,1,4,2022/9/10 21:06,HarmonyOS设备,"['https://wx4.sinaimg.cn/large/008amh7Ily1h61t9ldykzj30u0140aj9.jpg', 'https://wx3.sinaimg.cn/large/008amh7Ily1h61t9ltgh0j30u0140dnx.jpg']",,
4.81225E+15,M58Bn3CbK,6907410715,刘伟锋分享健康美,节日，是我们大吃大喝的借口。在享受美食的同时，要保护好脾胃哦！#中医##养生##中秋是个什么秋#L刘伟锋分享健康美的微博视频,,,,"中医,养生,中秋是个什么秋",4,21,19,2022/9/10 20:22,微博视频号,,"http://f.video.weibocdn.com/o0/uaiFpskclx07Z6NucWze01041200rcdM0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665201639&ssig=UKqswcQpJl&KID=unistore,video",
4.81224E+15,M58wWrb97,7577435405,阿猫养生,【经典健康谚语助你养生】1、饭养人，歌养心；2、早吃好，午吃饱，晚吃巧；3、暴饮暴食会生病，定时定量可安宁；4、吃得慌，咽得忙，伤了胃口害了肠；5、若要身体壮，饭菜嚼成浆；6、若要百病不生，常带饥饿三分；7、宁可锅中存放，不让肚子饱胀；8、每餐留一口，活到九十九。点赞就是最好的支持#养生##阿猫养生#,,,,"养生,阿猫养生",0,4,9,2022/9/10 20:12,微博 weibo.com,"['https://wx1.sinaimg.cn/large/008gO965gy1h61digh2bdj30cd0ilq3o.jpg', 'https://wx4.sinaimg.cn/large/008gO965gy1h61dihnlg9g307n06owfr.jpg']",,
4.81223E+15,M58f2DoWy,6120932640,努力努力再努力xq212,中秋节躺尸在家#养生#,,,,养生,0,0,1,2022/9/10 19:27,iPhone客户端,"['https://wx2.sinaimg.cn/large/006GeOc0ly1h61qfgye52j33402c0dr2.jpg', 'https://wx3.sinaimg.cn/large/006GeOc0ly1h61qfie9mwj33402c0kjn.jpg', 'https://wx4.sinaimg.cn/large/006GeOc0ly1h61qfjpn1lj32c0340nbr.jpg', 'https://wx3.sinaimg.cn/large/006GeOc0ly1h61qc5wng3j33402c0kjm.jpg', 'https://wx1.sinaimg.cn/large/006GeOc0ly1h61qa2jmmij32c0340hdu.jpg', 'https://wx4.sinaimg.cn/large/006GeOc0ly1h61qc8d3m7j33402c07wi.jpg', 'https://wx3.sinaimg.cn/large/006GeOc0ly1h61q9ypnkrj33402c0npf.jpg', 'https://wx2.sinaimg.cn/large/006GeOc0ly1h61qdl2yypj33402c0494.jpg', 'https://wx1.sinaimg.cn/large/006GeOc0ly1h61qe6s6t0j33402c0npd.jpg']",,
4.81221E+15,M57zzhhsd,1779374223,lisa__微博,长期的气不顺，导致我们痰瘀阻滞，痰淤互接，气顺痰自消，气行血则行。二陈汤O网页链接，下午陈皮玫瑰花，都是疏肝理气。#秋季养生##养生##健康生活##健康养生##健康##中医养生##养脾胃#,,,,"秋季养生,养生,健康生活,健康养生,健康,中医养生,养脾胃",0,2,1,2022/9/10 17:45,iPhone客户端,,,
