id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4813388192683312,M5ChRbg3e,5880855060,松野柴丸,#速写60天挑战赛#DAY44@速写班长降世神通#降世神通##动漫降世神通##降世神通:最后的气宗#勉强能代，，，好喜欢水善，军训之后会画完,,,速写班长,"速写60天挑战赛,降世神通,动漫 降世神通,降世神通:最后的气宗",21,16,115,2022-09-13 23:57,降世神通超话,['https://wx2.sinaimg.cn/large/006pZt2Yly1h65f884nchj31ya1u4he2.jpg'],,
4813384057618950,M5CbbvY2i,6183821460,我的老婆在二次元,#动漫##名侦探柯南#小哀能有什么坏心思，她只是想嗑cp而已啊。L我的老婆在二次元的微博视频,,,,"动漫,名侦探柯南",6,4,118,2022-09-13 23:40,微博视频号,,"http://f.video.weibocdn.com/o0/UQbbHcA8lx07ZbJ1rq2I01041200aegz0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151034&ssig=AmAboAcNPY&KID=unistore,video",
4813383394657343,M5Ca7jxAr,2885350215,晴天亚克力,亚克力价格表，心动不心动紅花血月刘耀文时代少年团周边中转站饭圈美工设计#动漫#原神,,,,动漫,0,0,1,2022-09-13 23:38,刘耀文超话,['https://wx4.sinaimg.cn/large/abfaf347gy1h65ehekn74j21tn2qg7wh.jpg'],,
4813382848617685,M5C9eA9QV,6035785840,动漫搬运君,#宫崎骏##动漫#大合集！评里Z取~,,,,"宫崎骏,动漫",0,3,26,2022-09-13 23:36,即刻笔记,"['https://wx4.sinaimg.cn/large/7b4ea09dgy1h5ex3yr2p9j20u016mdqu.jpg', 'https://wx1.sinaimg.cn/large/7b4ea09dgy1h5ex43eirlj20sg146wk9.jpg', 'https://wx4.sinaimg.cn/large/7b4ea09dgy1h5ex4j7lfij20tg15otj3.jpg', 'https://wx2.sinaimg.cn/large/7b4ea09dgy1h5ex4om94yj20u016odmp.jpg', 'https://wx3.sinaimg.cn/large/7b4ea09dgy1h5ex4wsi9qj20tl15y7gi.jpg', 'https://wx3.sinaimg.cn/large/7b4ea09dgy1h5ex4z7oq6j20go0na77c.jpg', 'https://wx1.sinaimg.cn/large/7b4ea09dgy1h5ex56ci4nj20u016dtiz.jpg', 'https://wx2.sinaimg.cn/large/7b4ea09dgy1h5ex594vi3j20m80vrtc3.jpg', 'https://wx3.sinaimg.cn/large/7b4ea09dgy1h5ex5ic5qlj20u016dtmv.jpg']",,
4813382802215380,M5C9a9ijW,5992567635,燃爆宇宙,因为一场洪水，我不仅当上了模特，还找到了分开多年的亲姐姐#动漫##动漫推荐#L燃爆宇宙的微博视频,,,,"动漫,动漫推荐",0,0,1,2022-09-13 23:35,微博视频号,,"http://f.video.weibocdn.com/o0/qJAAIAShlx07ZbpSlzN601041202iJrO0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151034&ssig=%2FiRwBFP%2FMr&KID=unistore,video",
4813379782320161,M5C4i9JzX,6485217498,堂吉的壁纸,间谍过家家阿尼亚宝贝说晚安～#动漫##阿尼亚##间谍过家家##动漫头像#,,,,"动漫,阿尼亚,间谍过家家,动漫头像",0,0,3,2022-09-13 23:23,间谍过家家超话,"['https://wx1.sinaimg.cn/large/0074Tjkely1h65e2logrfj30h80h8dft.jpg', 'https://wx4.sinaimg.cn/large/0074Tjkely1h65e2l96a6j308f08f0sn.jpg', 'https://wx1.sinaimg.cn/large/0074Tjkely1h65e2m3xkmj30fr0frjrc.jpg', 'https://wx1.sinaimg.cn/large/0074Tjkely1h65e2mh95cj30f80f8t8o.jpg', 'https://wx2.sinaimg.cn/large/0074Tjkely1h65e2mwbruj30u00u0gls.jpg', 'https://wx4.sinaimg.cn/large/0074Tjkely1h65e2na7rsj30bp0bpweq.jpg', 'https://wx2.sinaimg.cn/large/0074Tjkely1h65e2npsdwj30f50f5q3a.jpg', 'https://wx3.sinaimg.cn/large/0074Tjkely1h65e2o9wv5j30qo1lpt9s.jpg', 'https://wx2.sinaimg.cn/large/0074Tjkely1h65e2ovodrj30qo1lpmz0.jpg']",,
4813379023148241,M5C34dd05,5992567635,燃爆宇宙,这是免费能看的吗？#动漫##动漫推荐#L燃爆宇宙的微博视频,,,,"动漫,动漫推荐",0,0,0,2022-09-13 23:20,微博视频号,,"http://f.video.weibocdn.com/o0/WY6hM4DDlx07ZbxjcNJC01041200oVCK0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151034&ssig=XUTtnbr03W&KID=unistore,video",
4813378435943105,M5C27oW4x,2711780105,我叫肖肖呀,我的眼里都是你#动漫#freeL我叫肖肖呀的微博视频,,,,动漫,0,0,0,2022-09-13 23:18,微博视频号,,"http://f.video.weibocdn.com/o0/74lNj7lzlx07ZbMcoKNi010412006W2i0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151034&ssig=HGeARjNb5N&KID=unistore,video",
4813378184808436,M5C1IkaTq,1797947354,仫涴湫,音乐动漫大混剪之『红与黑』：爱与恨的边界，遇见最难忘的你！#动漫##漫画##二次元##动漫头像##动漫推荐##动画##宫崎骏##cosplay##漫画推荐#L仫涴湫的微博视频,,,,"动漫,漫画,二次元,动漫头像,动漫推荐,动画,宫崎骏,cosplay,漫画推荐",0,0,0,2022-09-13 23:17,iPhone 12 Pro Max,,"http://f.video.weibocdn.com/u0/pL62vyBugx07ZbM9ugJa01041201F92u0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151034&ssig=MlUeQ45KW%2F&KID=unistore,video",
4813377446609161,M5C0wrJln,6095804600,李子酱yi,喜欢宫崎骏老师的所有动漫作品宫崎骏老师一生献给动画温暖我们的青春他所创造的世界慰藉着一代又一代人的灵魂所以喜欢就坚持热爱就别放弃#动漫##宫崎骏#L李子酱yi的微博视频,,,,"动漫,宫崎骏",0,1,0,2022-09-13 23:14,Android,,"http://f.video.weibocdn.com/o0/fWzdtpzrlx07ZbLVRBWM01041200efY30E010.mp4?label=mp4_720p&template=1270x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151034&ssig=UuD69LFxxZ&KID=unistore,video",
