id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81191E+15,M4ZPkhp92,1898946194,好物推荐内部优惠券分享,"花王妙而舒拉拉裤XL38片88vip到手更优惠！！日本进口花王妙而舒拉拉裤XL38片！随形贴合，快速透气，舒适自在，拒绝红PP！柔软升级，呵护宝宝娇嫩肌！速抢！！领2元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022/9/9 22:02,微博 weibo.com,['https://wx1.sinaimg.cn/large/712f9e92gy1h60pbf49fqj20nq0zlq54.jpg'],,
4.8119E+15,M4ZyhAtYI,1898946194,好物推荐内部优惠券分享,"签到！12支扶娃葡萄糖酸锌口服液【可签到！凑满减到手10.3，单支划0.85】线下药店18支45均价每支2.5元！改善儿童食欲，钙锌同补，赖氨酸促吸收，酸酸甜甜宝宝爱喝，提升儿童免疫力，不伤胃无刺激，妈妈放心的选择~领12元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022/9/9 21:20,微博 weibo.com,['https://wx1.sinaimg.cn/large/712f9e92gy1h60o3p5yu5j20m80xcq5r.jpg'],,
4.8119E+15,M4Zx29lHF,1898946194,好物推荐内部优惠券分享,"【可凑单】ISDIN/怡思丁水感防晒霜【凑津贴减更多】【2支装】，明星网红都在用，水做的防晒液，防晒又护肤，水感清透，不油不腻，上脸隐形，妆前保湿不脱妆，买防晒当然怡思丁。领22元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022/9/9 21:17,微博 weibo.com,['https://wx2.sinaimg.cn/large/712f9e92gy1h60o0j60erj20go0p00ve.jpg'],,
4.8119E+15,M4ZtdcrNS,1898946194,好物推荐内部优惠券分享,"中秋节送礼时尚s925纯银手镯纯银手镯到手只要19.9！！正儿八经的银首饰！夏天带个手镯当配饰，搭衣也好看些~带国家质检报告证书！还有高端礼盒，内置密封包装，送人也特大气！！领90元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022/9/9 21:08,微博 weibo.com,['https://wx2.sinaimg.cn/large/712f9e92gy1h60nqqe0s8j20q1131ta3.jpg'],,
4.81187E+15,M4YFXfzJ8,1898946194,好物推荐内部优惠券分享,"拍3件！丹碧丝内置卫生棉条96支拍3件！丹碧丝内置卫生棉条96支领11元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022/9/9 19:06,微博 weibo.com,['https://wx2.sinaimg.cn/large/712f9e92gy1h60k8gn8hdj20nq0zldm3.jpg'],,
4.81185E+15,M4Yd8aNoH,1085221117,弯道养基,#医药##医疗##基金#中欧医疗健康今天在大盘缩量情况下中证医药放量上涨，说明有资金进场抄底了。人家是抄底，我们是抄自己的家！,,,,"医药,医疗,基金",2,11,42,2022/9/9 17:55,iPhone X,['https://wx4.sinaimg.cn/large/40af28fdgy1h60i6kudtvj20u019ztet.jpg'],,
4.81184E+15,M4Y8nzofG,1613972793,汇添富基金,就像莫泊桑所言“生活不会如想象中那般美好，但也不会像想象中那样糟糕”，一旦后续市场发现降价比预想中柔和，现在砸得越深的标的，未来也可能弹得越高。此外，在一阶段的药品与耗材价格梳理后，政策可能转向劳务定价（本次种植牙限价允许根据人力成本适当上浮）与创新扶持（上周六国家医保局回复称“在集中带量采购之外留出一定市场为创新产品开阔市场提供空间”），预计这些方向可能会以相对市场化的方式提供支持。#基金##投资##医药#O【能说汇道】是谁敲醒了医药沉睡的心灵？,,,,"基金,投资,医药",0,0,0,2022/9/9 17:44,微博 weibo.com,,,
4.81181E+15,M4XaKlsG7,1898946194,好物推荐内部优惠券分享,"拍2件！盘龙云海排毒养颜胶囊70粒【99节津贴40，店铺满200减60，到手153元2盒，平均1盒76元！】盘龙云海知名品牌，通便祛痘，排毒养颜效果杠杠滴。数味中药精心配比，安全可靠。便秘，色斑，减肥，内调外养，好看的女主都在用！领65元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022/9/9 15:17,微博 weibo.com,['https://wx4.sinaimg.cn/large/712f9e92gy1h60dlj2cr2j20no0zin0l.jpg'],,
4.81177E+15,M4Wh24A0c,6254470357,顶尖狙击,直播时间（每周一至周五下午1点直播）：13：00-15：00（9月9日周五），观点：提前祝大家中秋节快乐！！最强短线出击，紧抓强势板块和个股，精准把握买卖点！#股票##金融##财经##芯片##白酒##锂电##医药##绿电##新能源#顶尖狙击的微博直播,,,,"股票,金融,财经,芯片,白酒,锂电,医药,绿电,新能源",1,592,19,2022/9/9 12:59,微博直播平台,,,
4.81177E+15,M4WefbDXI,1898946194,好物推荐内部优惠券分享,"【万达犀牛】潮款情侣椰子鞋【全部款式一个价】小红书上超多都在种草的！飞织网面，透气舒适，防滑耐磨缓震，多色多款可选，可以说现在人人家中都必备一双椰子鞋啊~【赠运费险】领100元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022/9/9 12:53,微博 weibo.com,['https://wx1.sinaimg.cn/large/712f9e92gy1h609fk8ttqj20et0m8q4q.jpg'],,
