id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81158E+15,M4R9q84Dz,3805757079,铸剑师曾杰,珍品【美国飞虎队中正剑】致敬反法西斯战争中做出贡献的飞虎英雄铭记历史，我辈自强！鹦鹉象征英勇威武，系抗战时期空军佩戴。#历史#军人之家L铸剑师曾杰的微博视频,,,,历史,0,1,1,2022/9/8 23:57,微博视频号,,"http://f.video.weibocdn.com/o0/wC2rCpHxlx07Z3QnrEMw01041200zxom0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150419&ssig=c2b7WvK1jd&KID=unistore,video",
4.81157E+15,M4R5smxPK,6749241802,晓面包,商朝的穿“花衣”的鸟。山西博物馆里有一只穿“花衣”服的鸟，全身布满精美纹饰，栩栩如生，它出生于商朝。它从第一代晋侯燮父的墓葬中飞出来的。它的主人给了我的家乡一个名字：晋。也就是大家所知的玄鸟这只鸟的体型和外观，像孔雀一类的大鸟，标志着古代的爱情，和对后代繁衍的寄望。#历史#历史那些事,,,,历史,0,0,0,2022/9/8 23:47,历史那些事超话,"['https://wx1.sinaimg.cn/large/007mL86Kly1h5zmqakmnhj30i80i8abg.jpg', 'https://wx3.sinaimg.cn/large/007mL86Kly1h5zmqasckwj30go0dhmxr.jpg', 'https://wx4.sinaimg.cn/large/007mL86Kly1h5zmqaxyd9j3064050q31.jpg']",,
4.81157E+15,M4R48pVD8,1593073875,孔圣夫子论语儒家文化Confucius,传统文化“立于正道坚守不变易”节选自《周易-恒卦》阴阳相生又相克，天长地久坚持正道就能常久持之以恒必有成效不要好高骛远更不可不自量力不要冒险激进不要反复无常#周易##历史##教育##文化#L孔圣夫子论语儒家文化Confucius的微博视频,,,,"历史,教育,文化",37,28,61,2022/9/8 23:44,传统文化超话,,"http://f.video.weibocdn.com/o0/pGOVSP5jlx07Z3PwBynS01041203aYC10E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150419&ssig=%2FmqBK0YznY&KID=unistore,video",
4.81157E+15,M4R3AwvTt,5379638576,闲小聪,历史O蜀汉首席参谋长—法正法正出生于扶风郡郿县，建安初年由于天下发生大饥荒，法正与同郡好友孟达离开家乡逃难到了益州投靠刘璋。但刘璋这个人不太善于用人看人，法正来到成都很久之后才被刘璋任用为新都县令。法正在益州的处境十分不好，一方面不被刘璋重用，一方面又遭到本土势力的排挤，心里十分苦恼。#历史##历史那些事#,,,,"历史,历史那些事",6,3,2,2022/9/8 23:43,历史超话,,,
4.81157E+15,M4QWYCiLP,6318429886,姚力yam,历史那些事一天一个成语故事#校园爱情真的很难忘怀吗##成语故事##历史#L姚力yam的微博视频,,,,"校园爱情真的很难忘怀吗,成语故事,历史",0,0,1,2022/9/8 23:26,历史那些事超话,,"http://f.video.weibocdn.com/u0/CCXo7oxagx07Z3OkA09G01041200D1hl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150419&ssig=I7tToQsYbF&KID=unistore,video",
4.81156E+15,M4QPCEvF6,5534687174,山月之行,#历史##历史影像#,,,,"历史,历史影像",1,1,6,2022/9/8 23:08,iPhone 12,['https://wx4.sinaimg.cn/large/0062yYXYgy1h5zllst6d5j30dw0ahdgd.jpg'],,
4.81156E+15,M4QKNmQXi,7720703849,小可爱还要挨打,朱元璋问儿媳，天下啥东西最大？儿媳说了四个字，朱元璋大笑！#历史#王保保#历史人物#观音奴#明朝L小可爱还要挨打的微博视频,,,,"历史,历史人物",0,0,0,2022/9/8 22:56,微博视频号,,"http://f.video.weibocdn.com/o0/lcHWjW5Nlx07Z3MfRTxC01041200eG3M0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150419&ssig=u%2BX8%2F%2BHcAM&KID=unistore,video",
4.81156E+15,M4QJhr2lt,2196463915,第四生存者2022,O袁崇焕，英雄还是叛徒？#明朝那些事儿##历史##读书##明朝#,,,,"明朝那些事儿,历史,读书,明朝",0,0,1,2022/9/8 22:52,iPad air,,,
4.81156E+15,M4QBKxfsl,6537993415,天地旅游者,这是我国十大古都西安第2，开封第8，郑州第8。都是古都协会认可的，具有一定的参考价值#历史#历史上一共有13个王朝在此建都，建都时间达到1129年，在隋唐时期，这里的发展达到世界顶尖水平，这就是西安。除了隋唐之外，秦、汉、西晋三个大一统王朝也在这里定都过。位居十大古都第2，仅次于洛阳。开封第8。开封，在北宋时期，成为世界第一大都市，清明上河图就是描绘的这个时候的开封。郑州第8。其在2004年就已经被确定为古都，被誉为八大古都之一。夏、商都在这里定都过。O绿洲,,,,历史,2,1,2,2022/9/8 22:34,绿洲APP,"['https://wx4.sinaimg.cn/large/0078sKKHly3h5zkm8cmg3j30tz108n0o.jpg', 'https://wx1.sinaimg.cn/large/0078sKKHly3h5zkm8czfxj30u0109tc0.jpg']",,
4.81156E+15,M4QBH1P4T,1650926392,爱溪笔谈,年轻时的拜登会见老迈的里根#历史##美国#L爱溪笔谈的微博视频,,,,"历史,美国",0,0,2,2022/9/8 22:34,微博视频号,,"http://f.video.weibocdn.com/o0/uFH5mBVslx07Z3KIbCaY01041200ixUR0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150419&ssig=DYZXx4R9H%2F&KID=unistore,video",
