id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4810111615243926,M4f33m0bs,5771700019,壬白头,#道家##国学#七言——吕洞宾祖师还丹功满未朝天，且向人间度有缘。拄杖两头担日月，葫芦一个隐山川。诗吟自得闲中句，酒饮多遗醉后钱。若问我修何妙法，不离身内汞和铅。,,,,"道家,国学",0,0,1,2022-09-04 22:57,传统国学超话,['https://wx1.sinaimg.cn/large/006iBsPNly1h5uystjm87j30u017wju0.jpg'],,
4810110940221403,M4f1Y0VB1,3175580997,最新作文素材,【国学类·友情类：匠石运斤】庄子去送葬，路过惠子的墓地，回头对跟从者说：“郢都有个人用石灰涂在他的鼻尖上，像苍蝇翅膀一样薄，让一个叫石的工匠用斧头削掉它。叫石的工匠挥起斧子像一阵风似的，放手砍去，石灰都砍掉了而鼻子一点没受伤。那个郢都人站着面不改色。宋元君听说了这件事，召来姓石的工匠说：‘你试着替我砍一下鼻子上的石灰。’姓石的工匠说：‘我曾经的确能砍过，不过，我砍的对象已经死了很久了。’自从惠子先生死后，我没有用来对象了，我没有跟自己谈论道理的人了！”#国学##成语#——更多#最新作文素材#请关注@最新作文素材,,,最新作文素材,"国学,成语,最新作文素材",2,0,1,2022-09-04 22:54,新版微博 weibo.com,['https://wx2.sinaimg.cn/large/bd478545ly1h5uyovyc9uj20xl0h2toe.jpg'],,
4810104790063061,M4eS30gp7,5610099571,阿里贡山-不难点火,#诗词##王阳明心学##国学#心外无物，心则理，人之难于立志之难，立志之难于功夫之难，功夫尽在事上磨，必有事焉，此生焉，彼没焉，生生不息，源远流长。,,,,"诗词,王阳明心学,国学",0,0,1,2022-09-04 22:30,iPhone客户端,"['https://wx4.sinaimg.cn/large/0067FpaXgy1h5uy5j7ylcj30u01hcahc.jpg', 'https://wx4.sinaimg.cn/large/0067FpaXgy1h5uy5jxyfnj30km0kmmys.jpg', 'https://wx3.sinaimg.cn/large/0067FpaXgy1h5uy5kj4lsj30bu0gcta9.jpg', 'https://wx3.sinaimg.cn/large/0067FpaXgy1h5uy5lhrmoj309c07mgll.jpg', 'https://wx4.sinaimg.cn/large/0067FpaXgy1h5uy5if1izj30ft0fj74f.jpg', 'https://wx2.sinaimg.cn/large/0067FpaXgy1h5uy7eg6wrj30n00gwaac.jpg']",,
4810099443371777,M4eJqe99v,1275902610,长安夏卿,飞花令：牵桃花气暖眼自醉，春渚日落梦相牵。#国学##诗词##汉服#,,,,"国学,诗词,汉服",1,8,9,2022-09-04 22:08,读书超话,['https://wx4.sinaimg.cn/large/4c0cba92gy1h5uxecf4m5j20ia0qndhr.jpg'],,
4810096565817520,M4eEMopoY,6152952730,卍宣岐卍314易经文化,卍【破财风水】三见是指什么？就是见灶、见厕、见镜，见窗，全是开门后忌见的东西或构造。（一）见灶，即开门见灶，必然钱财多耗。试想钱入火，岂不立损？此为破财之局。（二）见厕，即是开门见厕，厕所是住宅中最秽之处，财气不可与秽气相触，否则立减。厕对大门，门外的财气岂不避而远之？（三）见镜，镜子的特性就是反射，亦即来了就给我回去，财气还怎么入宅？(四)见窗，为穿堂煞，财气进门直接从窗户走掉，留不住财。#数字能量学##国学#一命二运三风水,,,,"数字能量学,国学",0,0,0,2022-09-04 21:57,vivo X23全息幻彩,['https://wx3.sinaimg.cn/large/006Ipa54ly1h5ux2lquphj30fc0cgjsy.jpg'],,
4810091054501153,M4evTiSXf,5335934670,秋水伊人在水之湄,《孟子·公孙丑上》九#孟子##国学##传统文化#L秋水伊人在水之湄的微博视频,,,,"孟子,国学,传统文化",0,0,0,2022-09-04 21:35,iPhone客户端,,"http://f.video.weibocdn.com/o0/qwwfLUWplx07YXj71rUk01041200a9OE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665153582&ssig=qAtRI4cmd1&KID=unistore,video",
4810090903767534,M4evEfO6G,2520811623,洪寅胜,80%的人看命等于白看。#国学##传统文化#L洪寅胜的微博视频,,,,"国学,传统文化",0,0,1,2022-09-04 21:35,微博视频号,,"http://f.video.weibocdn.com/u0/AaLJEQVigx07YWypEouQ01041200wLR50E010.mp4?label=mp4_720p&template=1124x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665153582&ssig=WfPxnD7zzx&KID=unistore,video",
4810090479619621,M4euXEmvb,5892745941,我爱文学诗词,秦风.蒹葭蒹葭苍苍，白露为霜。所谓伊人，在水一方。溯洄从之，道阻且长。溯游从之，宛在水中央。蒹葭萋萋，白露未晞。所谓伊人，在水之湄。溯洄从之，道阻且跻。溯游从之，宛在水中坻。蒹葭采采，白露未已。所谓伊人，在水之涘。溯洄从之，道阻且右。溯游从之，宛在水中沚。#国学##诗词歌赋##汉服#,,,,"国学,诗词歌赋,汉服",0,0,0,2022-09-04 21:33,Android客户端,"['https://wx3.sinaimg.cn/large/006qNmpngy1h5uvmf0gogj30b406y769.jpg', 'https://wx1.sinaimg.cn/large/006qNmpngy1h5uvumow18j30go0b9q42.jpg']",,
4810086348491516,M4eoizD1W,1248543877,道源命理,#命运#滴天髓原文：乙卯戊子壬辰戊申大运：丁亥丙戌乙酉甲申癸未壬午壬辰日元，天干两煞，通根辰支，年干乙木凋枯，能泄水而不能制土，正克泄交加，最喜子水当权会局，杀刃神情。至酉运生水克木，又能化杀，科甲连登；甲申登运，仕路光亨，至按察；未运羊刃受制，不禄。道源命理解说：此造，壬水日干生于子月水旺之时，又有时支申金帮身，辰中蓄水，日干较旺。任氏断其两杀透出，贴身相克，为身弱，八字取格为身弱格，五行以金水为喜用神，土为忌这刘。至酉运金来生水，喜神当旺，又能化杀，科甲连登；甲申运也是好大运，仕路光亨，至按察；至未运克水，去世。八字在存疑。#国学#,,,,"命运,国学",0,0,1,2022-09-04 21:16,命运超话,,,
4810086167873325,M4eo0x2d7,1248543877,道源命理,#周易与人生#地支阴阳属性：阳地支：子寅辰午申戌阴地支：丑卯巳未酉亥地支五行属性：土：戊己辰戌丑未金：庚辛申酉水：壬癸亥子地支与方位：子：北方丑：东北方寅：东北方卯：东方辰：东南方巳：东南方午：南方未：西南方申：西南方酉：西方戌：西北方亥：西北方#国学#,,,,"周易与人生,国学",0,0,0,2022-09-04 21:16,命运超话,,,
