id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4811570468624764,M4R02AbH6,1951124737,有关紫色,极简东方美学的禅意茶室#设计美学##室内设计##设计##建筑设计##美学##空间设计##室内装修##室内装修##好设计共欣赏##室内装修设计##原创设计##设计秀##设计美学志##装修设计##家居装修##家居##家居美学##美好家居打造法##家居设计##生活美学##装修经验谈##现代简约风格##家装设计##家居好物##软装设计##住宅设计##家居装饰#设计室内设计家居创意每一帧都是热爱#每一帧都是热爱#设计美学,,,,"设计美学,室内设计,设计,建筑设计,美学,空间设计,室内装修,好设计共欣赏,室内装修设计,原创设计,设计秀,设计美学志,装修设计,家居装修,家居,家居美学,美好家居打造法,家居设计,生活美学,装修经验谈,现代简约风格,家装设计,家居好物,软装设计,住宅设计,家居装饰,每一帧都是热爱",0,0,0,2022-09-08 23:34,有关紫色的iPhone客户端,"['https://wx3.sinaimg.cn/large/744bcd01ly1h5zmcewoxgj20qx14c0xn.jpg', 'https://wx3.sinaimg.cn/large/744bcd01ly1h5zmcfb3mmj20pp12jmxt.jpg', 'https://wx3.sinaimg.cn/large/744bcd01ly1h5zmcfkq4ej20u017oq79.jpg', 'https://wx3.sinaimg.cn/large/744bcd01ly1h5zmcfyxe2j20ra14wq3w.jpg', 'https://wx1.sinaimg.cn/large/744bcd01ly1h5zmcg8jwvj20u00gcn09.jpg', 'https://wx2.sinaimg.cn/large/744bcd01ly1h5zmcglbt1j20wj1dc7b5.jpg', 'https://wx4.sinaimg.cn/large/744bcd01ly1h5zmcgxe8rj20qd0yijwj.jpg', 'https://wx4.sinaimg.cn/large/744bcd01ly1h5zmchd8buj20qz14gwl4.jpg', 'https://wx1.sinaimg.cn/large/744bcd01ly1h5zmchmoarj20zk1hbdow.jpg']",,
4811565548702897,M4QS6Aw1j,2508371570,全球工业设计,产品手绘来自荷兰产品设计师stevende，他的作品使用颜色干净，笔法轻快，用简单的技法来表现产品也能达到很好的效果。【产品手绘】产品设计手绘分享【设计】Steven_de_groot#设计美学##工业设计##产品设计##外观设计##家居美学##用户体验##办公##创新##创意##创意产品##家居##创意家居用品##产品设计手绘##工业设计手绘##设计手绘##考研手绘##版式设计##内饰设计##内饰##草图##快速表现##sketch#,,,,"设计美学,工业设计,产品设计,外观设计,家居美学,用户体验,办公,创新,创意,创意产品,家居,创意家居用品,产品设计手绘,工业设计手绘,设计手绘,考研手绘,版式设计,内饰设计,内饰,草图,快速表现,sketch",8,0,25,2022-09-08 23:14,iPhone客户端,"['https://wx1.sinaimg.cn/large/9582b672ly1h5zg0m06ytj20u011ignq.jpg', 'https://wx1.sinaimg.cn/large/9582b672ly1h5zg0nxy1vj20u011idi8.jpg', 'https://wx4.sinaimg.cn/large/9582b672ly1h5zg0m8ipwj20u011idhh.jpg', 'https://wx4.sinaimg.cn/large/9582b672ly1h5zg0mm5nvj20u011i10d.jpg', 'https://wx2.sinaimg.cn/large/9582b672ly1h5zg0mtt0oj20u00zkgr7.jpg', 'https://wx1.sinaimg.cn/large/9582b672ly1h5zg0n0nqdj20u011ijts.jpg', 'https://wx4.sinaimg.cn/large/9582b672ly1h5zg0n8os8j20u011itdd.jpg', 'https://wx4.sinaimg.cn/large/9582b672ly1h5zg0lr856j20u011i43l.jpg', 'https://wx1.sinaimg.cn/large/9582b672ly1h5zg0ng74mj20u011haez.jpg']",,
4811564362504345,M4QQcavuF,1808228624,道乾院,通过判断疾病看家宅八宫风水好坏！如果是出现妇科、肠胃、腹部的毛病时，一定是家里的西南方风水不合理。西南八卦来说，为坤，五行属土，代表的正是肠胃、妇科、腹部这些部位。所以，一旦出现上述毛病，反推之下，肯定是西南方位出了问题。西南见煞主腹部，不是胃炎即插管。西南方有物体煞会伤女人，肝腹水，乳腺癌刀伤。血光之灾。胃癌，出诬师。也主男人35，女人21前后事业、婚姻不顺。加V：13128930000，备注：户型图，获取家居风水化解方案！#家居##涨知识##转运#,,,,"家居,涨知识,转运",3,0,1,2022-09-08 23:10,微博 weibo.com,['https://wx2.sinaimg.cn/large/6bc76110gy1h5z0795a76j20b307kdg7.jpg'],,
4811562517533987,M4QNdvBVV,5262594277,-木邻,“无论你身在何处，无论你为何忙碌，我都会在此为你守候晚安★goodNight🌙”祝友友们都可以愉快入睡喔～#晚安##晚安心语##治愈不开心##情感语录##居家##家居##家居设计##励志#家居,,,,"晚安,晚安心语,治愈不开心,情感语录,居家,家居,家居设计,励志",1,2,4,2022-09-08 23:02,家居超话,['https://wx3.sinaimg.cn/large/005K9jaRly1h5zlfjixosj30u0140wfq.jpg'],,
4811562353428676,M4QMXenXe,7757819911,雪龙二号,#设计##家居#今天的设计美学类内容就为您播送到这里，再见。再见。,,,,"设计,家居",0,6,5,2022-09-08 23:02,新版微博 weibo.com,"['https://wx1.sinaimg.cn/large/008t11lBgy1h5s35qt054j31ff1wjqbr.jpg', 'https://wx3.sinaimg.cn/large/008t11lBgy1h5s35r35xej31g31xgdrk.jpg', 'https://wx4.sinaimg.cn/large/008t11lBgy1h5s35rbm8lj31g31xgajp.jpg', 'https://wx2.sinaimg.cn/large/008t11lBgy1h5s35rldlxj31g31xgk53.jpg', 'https://wx1.sinaimg.cn/large/008t11lBgy1h5s35ru6nbj318k1ne0v4.jpg', 'https://wx4.sinaimg.cn/large/008t11lBgy1h5s35s2hh9j31g31xgwp8.jpg', 'https://wx1.sinaimg.cn/large/008t11lBgy1h5s35sc4i3j31g31xgan8.jpg', 'https://wx4.sinaimg.cn/large/008t11lBgy1h5s35t3bk8j31hc1z4qgc.jpg', 'https://wx1.sinaimg.cn/large/008t11lBgy1h5s35tb4pdj31g31xgwig.jpg']",,
4811557001762818,M4QEk7oAy,6286032037,花木然HUAMURAN,有准备装修的朋友一定要看过来茶空间别墅装修空间美学#家居#L花木然HUAMURAN的微博视频,,,,家居,0,0,0,2022-09-08 22:40,空间美学超话,,"http://f.video.weibocdn.com/u0/I2n5siUPgx07Z3LaVi5y01041200uoro0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154804&ssig=uT3djImUqp&KID=unistore,video",
4811555995388719,M4QCHmBQP,5051635943,小睦播报,诺德彩园9月5日第三期项目施工进度播报想观看完整进度播报的业主，请私信小睦#诺德彩园##家居#L小睦播报的微博视频,,,,"诺德彩园,家居",1,4,2,2022-09-08 22:36,微博视频号,,"http://f.video.weibocdn.com/o0/fC3sQP9flx07Z3KU49q001041200dXZg0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154804&ssig=J9l9o7QcQ3&KID=unistore,video",
4811555642278469,M4QC89yJv,5051635943,小睦播报,朝阳一墅9月6日第三期项目施工进度播报想观看完整进度播报的业主，请私信小睦#朝阳一墅##家居#L小睦播报的微博视频,,,,"朝阳一墅,家居",1,0,2,2022-09-08 22:35,微博视频号,,"http://f.video.weibocdn.com/o0/mLoggq4Olx07Z3KNipOM01041200dp2C0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154804&ssig=GZygLiuQ37&KID=unistore,video",
4811555399532990,M4QBJDZXU,7730320515,郑小浪子,#爆炸盐##家居#泉日记爆炸盐真的超级无敌巨好用，我家孩子衣服上的果汁全都炸没，省了好多干洗店的钱，不好用我吃它，哈哈哈哈,,,,"爆炸盐,家居",0,0,0,2022-09-08 22:34,iPhone客户端,"['https://wx4.sinaimg.cn/large/008r9DuXly1h5zkkpbmguj30w00zkk1l.jpg', 'https://wx3.sinaimg.cn/large/008r9DuXly1h5zkkplzjcj30qo0zkdhy.jpg', 'https://wx4.sinaimg.cn/large/008r9DuXly1h5zkkpw3dnj30qo0zk7cm.jpg', 'https://wx4.sinaimg.cn/large/008r9DuXly1h5zkkq5i1bj30qo0zk0v0.jpg', 'https://wx4.sinaimg.cn/large/008r9DuXly1h5zkkqfb7oj30k00zkab1.jpg', 'https://wx3.sinaimg.cn/large/008r9DuXly1h5zkkqz70mj30qo0zk0u7.jpg', 'https://wx2.sinaimg.cn/large/008r9DuXly1h5zkkrbff9j30k00zkmyk.jpg', 'https://wx2.sinaimg.cn/large/008r9DuXly1h5zkkoz51ij30zk0zkabx.jpg', 'https://wx2.sinaimg.cn/large/008r9DuXly1h5zkkrishaj30wi0qqmy7.jpg']",,
4811554804207747,M4QAMhECT,5051635943,小睦播报,发布了头条文章：《熙悦天寰9月7日最新项目施工进度（第四期）》#家居##北京楼市##熙悦天寰#O熙悦天寰9月7日最新项目施工进度（第四期）,http://t.cn/A6STyFGF,,,"家居,北京楼市,熙悦天寰",1,0,2,2022-09-08 22:32,微博 weibo.com,,,
