id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81085E+15,M4yjqh3Nh,5991719511,Sunny文案君,男三张根源也太直球了吧#情感##恋综#LSunny文案君的微博视频,,,,"情感,恋综",0,0,0,2022/9/6 23:59,微博视频号,,"http://f.video.weibocdn.com/o0/J9xCXfIvlx07Z0Cwiuy401041200ibhX0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151692&ssig=HJTcqkG4LY&KID=unistore,video",
4.81085E+15,M4yjcFk4d,7542595002,有录网-香港,英语口语?#口语#?#英语学习#?#情感#?每日口语跟读?中途下车的人有很多，你也不必耿耿于怀L有录网-香港的微博视频,,,,"口语,英语学习,情感",1,0,3,2022/9/6 23:59,英语口语超话,,"http://f.video.weibocdn.com/u0/mUhCZ7I9gx07Ux33kpMQ010412007rqg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151692&ssig=xubcnYPbgj&KID=unistore,video",
4.81085E+15,M4yiX0RK1,7542389036,有录网-澳门,"英语?#情感#?#口语#【每日英语短句】Neverexpect，butifyouneedme,lalwaysstay.L有录网-澳门的微博视频",,,,"情感,口语",0,0,0,2022/9/6 23:58,英语超话,,"http://f.video.weibocdn.com/u0/evOMfwJ9gx07VnFxUz5m010412001vsU0E010.mp4?label=mp4_720p&template=720x872.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151692&ssig=FYQrP593Vm&KID=unistore,video",
4.81085E+15,M4yi2uYSP,1813212097,某年某月的每一天爱上某个人,或许。。。。我们终究会有那么一天，牵着别人的手，遗忘曾经的他。。。。晚安～#记录世界记录你##治愈不开心##情感语录##晚安心语##情感#,,,,"记录世界 记录你,治愈不开心,情感语录,晚安心语,情感",0,0,0,2022/9/6 23:56,OnePlus 8 Pro,"['https://wx3.sinaimg.cn/large/6c136bc1gy1h5xbqqfvi1j20qo0wzgqa.jpg', 'https://wx3.sinaimg.cn/large/6c136bc1gy1h5xbqqvqr6j20qo0wiq75.jpg', 'https://wx1.sinaimg.cn/large/6c136bc1gy1h5xbqrb7qnj20qo0wntcc.jpg', 'https://wx3.sinaimg.cn/large/6c136bc1gy1h5xbqrrweej20qo0wsgpo.jpg']",,
4.81085E+15,M4yhNcujM,5991719511,Sunny文案君,细心大男孩#情感##恋综#LSunny文案君的微博视频,,,,"情感,恋综",0,0,0,2022/9/6 23:55,微博视频号,,"http://f.video.weibocdn.com/o0/tAROxre5lx07Z0D2RAPC01041200xDl50E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151692&ssig=IESZLf60b3&KID=unistore,video",
4.81085E+15,M4yga6PvL,5991719511,Sunny文案君,温柔扑了空才会长记性.#情感##情感语录#LSunny文案君的微博视频,,,,"情感,情感语录",0,0,0,2022/9/6 23:51,微博视频号,,"http://f.video.weibocdn.com/o0/HcMPqWz2lx07Z0BUeh6U010412008eHG0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151692&ssig=R%2BadPb4FE4&KID=unistore,video",
4.81085E+15,M4yg07kNv,2448021107,遇见你,一百个短句文案，总有你喜欢的点赞收藏1、生活不是选择而是热爱。2、热爱的事情都要不留余力。3、想要的都拥有，得不到的都释怀。4、别认输，天黑过后就是日出。5、温和纯粹的小孩是永远的彼得潘。6、近城远山，都是人间。7、能让你开心的人都值得被珍惜。8、幸福不过是欲望的暂时停止。9、不期望被谁拯救，我们一起上岸。10、现实如山，而我浪漫如云。11、我昨天不太开心，今天一定努力。12、愿所有的不安，都是虚惊一场。13、南来北往，不辜生活，不迷失方向。14、路过了学校花店，荒野在海边。15、最大的安心是自律温柔和爱自己。16、我会再变得闪亮一点点。17、朝朝暮暮，沉淀过往，迎来新光。18、没有销声匿迹，我在热爱生活。19、那就祝你我有数不尽的鲜花和浪漫。20、就算步伐很小，也要步步前进。21、试炼的终点是花开万里。22、浪漫世界值得孤身。23、愿你历遍山河，觉得人间值得。24、我们逃走吧，日暮银河，别在梦里。25、皱巴巴的生活需要适时的熨烫一下。26、想在你的宇宙里，走私很多的浪漫。27、人都有各自的月亮。28、勇于面对让你感到焦虑的事情。29、没有回音的山谷，不值得纵身一跃。30、被爱令人情绪稳定。31、于过往岁月里，见过朝阳初升。32、不摘别人的花，只陪对的人长大。33、收起烦恼，挂起月亮，睡个好觉。34、即使没有月亮，心中也是一片皎洁。35、暂时还承受不起任何人的爱意。36、再忙碌也要捕捉日常快乐。37、爱世间温暖事物，沿途为晚霞驻足。38、愿所有的遗憾都是惊喜的铺垫。39、你所见即我，好与坏都不反驳。40、愿你在散碎腐朽的岁月里闪闪发光。41、致富路上请务必身体健康。42、我和我的日子都会发光。43、在这个夏天，和更好的自己碰面。44、最黑的那条路总是要自己走完。45、期待生活有惊喜，盼望事事有回应。46、各有归舟，各有渡口。47、自卑溢出来就变成了安静和温柔。48、有趣的人生就要一路撒野狂奔。49、碎碎念念变成岁岁年年。50、温柔和浪漫都藏在晚安里。51、想要飞行，想要落在屋顶。52、愿我喜欢的人都能被好运照顾。53、永远怀揣浪漫情怀。54、所有的快乐，都来源于生活的心动。55、重要的人要干干净净的放在心上。56、理想主义的少年永远不会被现实招安。???57、愿星河徜徉，一路有光。58、突然的早睡永远代表着不开心。59、因为除草麻烦，所以不再种花。60、流浪的月亮和繁密的星辰姗姗来迟。61、爱与被爱同时发生才是值得炫耀的事。62、熬过低谷，花期不远。63、平凡且认真的生活总会变得可爱。64、想让每个平凡的日子里溢出欢喜。65、永远迎着光走。66、总有人笨拙得想把所有温柔给你。67、愿你有坚定立场穿过风沙和迷惘。68、沿着星河轨迹踏遍人间春秋。69、现在月亮安好，星星慢慢发光。70、攒满想念，期待下次再见。71、细腻美好藏在生活各处。72、要努力呀，为了想要的生活。73、委曲求全不是公主的作风。74、往事不回头，未来不将就。75、眼盛星河，心向远方。76、且将新火试新茶，诗酒趁年华。77、空有一身热爱，却入不了这山海。78、没有期待的日子反而顺顺利利。79、好坏都忍住，也算是进步。80、在一切破旧褪色中，请你永远闪烁。81、去发光，不是被照亮。82、运气是计划之外的东西。83、每天的坏心情在睡前都清零。84、觉得力不从心的是因为在走上坡路。85、开心点，你是人间的月亮。86、愿岁月再无波澜，愿余生没有遗憾。87、浪漫不死，爱意永存。88、必要的时候，把一些人留在昨天吧。89、关于明天的事后天我们就知道了。90、今生可爱与温柔，每一样都不能少。91、山水总相逢，来日皆可期。92、先做一个浪漫的人就从爱自已开始。93、只谈乾坤风月，莫论人间是非。94、想和你望尽所有的夕阳。95、以过客之名，祝你岁岁平安。96、想像每场日落那样让人惊喜和灿烂。97、希望有人觉得认识我是件幸运的事。98、时间会融化掉所有的尖锐。99、热爱是不会降温的。100、日落里有间小商店贩卖橘黄的温柔。#情感##成长有态度#,,,,"情感,成长有态度",10,0,22,2022/9/6 23:51,遇见你超话,"['https://wx1.sinaimg.cn/large/006CRe1yly1h5o0ya2m5ej30u00u0grh.jpg', 'https://wx1.sinaimg.cn/large/006CRe1yly1h5o0yaqcx7j30u012sgu2.jpg', 'https://wx1.sinaimg.cn/large/006CRe1yly1h5o0ybaiv8j30u00u0gru.jpg', 'https://wx3.sinaimg.cn/large/006CRe1yly1h5o0ybpt26j30u012vafy.jpg', 'https://wx1.sinaimg.cn/large/006CRe1yly1h5o0ycb1bvj30qf0vrjvb.jpg', 'https://wx3.sinaimg.cn/large/006CRe1yly1h5o0yd0nd5j30u0118wli.jpg', 'https://wx1.sinaimg.cn/large/006CRe1yly1h5o0ydginzj30u013zgsm.jpg', 'https://wx3.sinaimg.cn/large/006CRe1yly1h5o0yduj0xj30r60xxdlc.jpg', 'https://wx1.sinaimg.cn/large/006CRe1yly1h5o0ye7xkxj30u012qqai.jpg']",,
4.81085E+15,M4yeSkRxB,6299141667,情感热文,记住了：刻薄嘴欠和幽默是两回事，口无遮拦和坦率是两回事，没有教养和随性是两回事，轻重不分和耿直是两回事。#情感##情感热文#,,,,"情感,情感热文",0,0,0,2022/9/6 23:48,励志哲理人生超话,['https://wx3.sinaimg.cn/large/006Siyv9gy1h5xbitxyxzj306u06x74d.jpg'],,
4.81085E+15,M4yexFQYQ,5991719511,Sunny文案君,这两种女朋友，你会怎么选#情感##情感语录#LSunny文案君的微博视频,,,,"情感,情感语录",0,0,0,2022/9/6 23:47,微博视频号,,"http://f.video.weibocdn.com/o0/Y41eq0hjlx07Z0BQcGo801041200fxnf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151692&ssig=6%2F5dTrPCjf&KID=unistore,video",
4.81085E+15,M4yee7wFr,6291857036,真好bo,男朋友明明知道我和闺蜜关系特别好，闺蜜在场的情况下男朋友就只送了我一部iPhonePromax，没有为闺蜜准备，这样做事不周全的男朋友怎样说分手？#情感##情感#,,,,情感,0,0,0,2022/9/6 23:47,即刻笔记,"['https://wx3.sinaimg.cn/large/0072c05rgy1h4zs1vtp4ej30gf1fp79e.jpg', 'https://wx1.sinaimg.cn/large/0072c05rgy1h4zs1wrplij30j50nbtba.jpg', 'https://wx4.sinaimg.cn/large/0072c05rgy1h4zs1xr1p9j30j60nl410.jpg']",,
