id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4788734564241884,LBeoghNvu,5992473681,高见学社官微,#房产#一场疫情让上海的独栋别墅备受追捧，不用隔离不被秘接这些天然的优势，让解封后的上海，独栋别墅迎来波澜壮阔的一波行情，很多挂牌几年卖不掉的别墅成了香饽饽，提价三成照样轻松成交。倒是我疫情期间建议的“疫情表现指数”没得到什么呼应，其实这才是核心，根据这次疫情表现，给街道居委打星，次生灾害频发程度，大白野蛮程度，居民刁钻刻薄程度，抗疫物资发放质量等等，综合表现好的地方说明文明程度，公共服务水平高，这些地方的房子理应受追捧。只可惜，我们太重面子，不重里子，不知道要多少次教训才会学会。,,,,房产,1,1,3,2022-07-07 23:12,微博 weibo.com,,,
4788733637296485,LBemLuC9f,7435215930,被迫营业包租公,大开发商的小产权房有没有搞头？有的本土知名的开发商，虽然不是全国百强，但是也是有口碑的，居然也做出小产权房的产品。房子过不了户，而且只能全款买，但就是便宜，只有市场价的1/3。如果住家的话，小区环境又好，物业服务也不错，在放弃所有流动性的条件下，还真是个不错的选择。还有的人专门买这样的房子去收租。哪怕再便宜，2000块钱一平，全款买下来再加上装修也得要二十几万吧？再怎么精打细算，七八个点的租金回报，也要十几年收回成本。二十几万去强二线城市淘笋盘不香吗？不香。动静那么大，搞那么远，万一不挣钱怎么办？人就是有路径依赖的。#房产##出租#,,,,"房产,出租",0,0,1,2022-07-07 23:08,Note 9 4G,,,
4788711621400127,LBdNg5SeH,5706542096,搞笑圈小青年,辽宁，两个买房受害者，在售楼处喝起酒来了#房产#L搞笑圈小青年的微博视频,,,,房产,1,0,0,2022-07-07 21:41,微博视频号,,"http://f.video.weibocdn.com/o0/RW2afEzJlx07XrcYjws0010412006dzj0E010.mp4?label=mp4_hd&template=848x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198626&ssig=CflrDwSNEv&KID=unistore,video",
4788709268916728,LBdJsBpEc,5939999866,A張龍飛918,买房时哪些楼最好不要买，哪些楼层应该作为首选？#房产##买房##房产知识##干货分享#LA張龍飛918的微博视频,,,,"房产,买房,房产知识,干货分享",0,0,0,2022-07-07 21:32,微博视频号,,"http://f.video.weibocdn.com/o0/M0qpOtJvlx07Xrckmba801041200VcIQ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198626&ssig=a6g98W%2BFsD&KID=unistore,video",
4788705737314073,LBdDLuGIV,2781649783,郑房有问有答,6个钱包官方版“一人购房全家帮”。此举一出，骂声居多。究其原因还是没能真正缓解刚需购房群体的压力，这种举措对于刚需购房群体来说没有太大意义。因为很多刚需购房者，全家人都没有公积金。我觉得，大家普遍认为能用公积金买房的，至少证明工作的单位还是比较正规，比较有实力的。因为在现实情况中，好多人工作的单位是不给交公积金的。比如在郑州，交五险的公司变多还是这几年的事，交公积金的公司已经属于大部分人挤破头想进去的公司了。现在不买房的普通大众，除了一部分是担心期房烂尾不交房不敢买之外，大部分是真没钱。想要拉动刚需购房，一是要解决期房烂尾问题，解除大家的后顾之忧。还有就是经济向好，大家收入提升，对未来有信心。这需要长期多方面的调整，短期成效不明显。#楼市##房地产##房产#,,,,"楼市,房地产,房产",1,1,5,2022-07-07 21:18,微博 weibo.com,['https://wx4.sinaimg.cn/large/a5cc9b77ly1h3yizkpihoj20m81bf0yl.jpg'],,
4788701961651213,LBdxG6Vyt,7096055033,有事问彭叔,某个机构搞了个调查，发现00后女生的买房意愿比男生的买房意愿更高。其实彭叔觉得这个都不用调查的。因为不管是00后，还是90后，还是80后，女性买房的意愿一直都比男性要高。这是男性和女性本能的区别。女性更喜欢那些比较能看的到，摸的到的东西，这些东西能让她们有安全感，而房子是能带给她们最大的安全感。对于男人来说，房子是牵绊，买了房子，意味着基本上就只能在这个城市了，很难再换到别的城市去，男人的梦想是星城大海，喜欢四处走。这种天生的本能，就决定了女性买房的意愿比男性要高。不过调查还有个有意思的地方，那就是只有2%的女性，是坚决不买房的，也就是98%的00后都是坚持要买房的。那么想想现在房价这么高，这么00后女生她们拿什么买房，拿什么还房贷，而女性有了房，一般都会要求男人也有房的，房价这么高，男性找对象的时候，就会更难了。#房产#,,,,房产,10,125,951,2022-07-07 21:03,微博 weibo.com,['https://wx2.sinaimg.cn/large/007Kek4xly1h3ykynb8x4j30g80gsq52.jpg'],,
4788701220307709,LBdwu1i33,2703774617,鱼哥有财气,【上海为什么放宽落户？是不行了吗（下）】上海为什么放宽落户？是不行了吗（下）#投资##财经##房产#L鱼哥有财气的微博视频,,,,"投资,财经,房产",0,0,0,2022-07-07 21:00,微博视频号,,"http://f.video.weibocdn.com/o0/l60tTXHQlx07Xq9FthKM01041201um4w0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198626&ssig=mxXYuv%2BUez&KID=unistore,video",
4788699637747214,LBdtVwvp4,7745656737,东玺门新环境租房,万家丽民宿风两房出租长沙租房#长沙租房##租房#长沙租房#房产#长沙芙蓉区租房长沙租房信息#租房#,,,,"长沙租房,租房,房产",0,0,0,2022-07-07 20:53,长沙租房超话,"['https://wx3.sinaimg.cn/large/008sbZ9ngy1h3ynno30j9j31400u0n13.jpg', 'https://wx4.sinaimg.cn/large/008sbZ9ngy1h3ynnof4b2j31400u0adq.jpg', 'https://wx4.sinaimg.cn/large/008sbZ9ngy1h3ynnot3s9j31400u0tcm.jpg', 'https://wx2.sinaimg.cn/large/008sbZ9ngy1h3ynnp4utmj31400u00xi.jpg', 'https://wx3.sinaimg.cn/large/008sbZ9ngy1h3ynnpha51j31400u0jus.jpg', 'https://wx1.sinaimg.cn/large/008sbZ9ngy1h3ynnpv5kgj31400u0q6h.jpg', 'https://wx2.sinaimg.cn/large/008sbZ9ngy1h3ynnq872oj31400u0ju7.jpg', 'https://wx2.sinaimg.cn/large/008sbZ9ngy1h3ynnqky5zj31400u042t.jpg', 'https://wx3.sinaimg.cn/large/008sbZ9ngy1h3ynnqvg95j31400u0adj.jpg']",,
4788693989328011,LBdkOD8DN,7733971450,房易在线,深圳·半岛城邦花园23层120平三房#房产#深圳房产#深圳租房L房易在线的微博视频,,,,房产,0,0,0,2022-07-07 20:31,微博视频号,,"http://f.video.weibocdn.com/u0/BHmeMXkEgx07Xr89QaR201041200AQOv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198626&ssig=5OTz%2BKnmrL&KID=unistore,video",
4788692012501197,LBdhDauFT,6517495148,观察长安,恒大养生谷一二期住宅一共1280户，现在贝壳系统内挂牌108套房子，目前没有成交纪录；有差不多十分之一的业主都想变现，这个比例有些高啊#西安##西安房产##房产#,,,,"西安,西安房产,房产",0,3,4,2022-07-07 20:23,HUAWEI Mate 20 Pro,['https://wx1.sinaimg.cn/large/00774Kduly1h3ymsi2wvuj316v0pfn9u.jpg'],,
