id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.82201E+15,M9eAxj4I8,6012069714,Ami1e,#抗疫#第十八天第十六次,,,,抗疫,0,0,0,2022/10/7 18:58,,,,
4.822E+15,M9el1vB0S,1868666513,瑛子一生,我发布了：在抗疫中度过国庆假期#抗疫#国庆假期#瑛子@瑛子##快手#@快手L胸外瑛子医生的快手视频,,,"瑛子,快手","抗疫 ,快手",0,0,0,2022/10/7 18:20,快手,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3x4j5849c2qpewe&a=3xrnihq8creieyy&f=3xrnihq8creieyy&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5194620781324227253&shareResourceType=PHOTO_SELF&shareToken=X4LyAL2ARRX9VAt,
4.82199E+15,M9dWoa4mA,7196654654,wivi--,10.7‘’得到‘’是个很好的软件没啥大不了的再来!#抗疫#,,,,抗疫,0,0,0,2022/10/7 17:19,OPPO K9 Pro 5G,['https://wx1.sinaimg.cn/large/007R2qD4gy1h6wueeqwk3j32oc3kgu0z.jpg'],,
4.82197E+15,M9dzAuMsl,7623755271,粮之髓食品,发布了头条文章：《勠力同心迎风而砺丨四川粮之髓食品有限公司严格落实闭环管理“防疫》#抗疫#四川粮之髓食品有限公司##同心携手共抗疫情#O勠力同心迎风而砺丨四川粮之髓食品有限公司严格落实闭环管理“防疫,http://t.cn/A6ob739O,,, 抗疫,0,0,0,2022/10/7 16:23,微博 weibo.com,,,
4.82195E+15,M9d6D5hao,5274965237,智莉渊小盆友,#抗疫#哎，已经不想说了。,,太原·西兴苑,,抗疫,0,2,2,2022/10/7 15:12,Android,['https://wx4.sinaimg.cn/large/005KZdqtly1h6wqs508oaj31400u047v.jpg'],,
4.82195E+15,M9d48xDFI,1665235654,秀梓如來,上海日航飯店遭封控#上海日航饭店#-会议室#抗疫##抗疫行动##抗击疫情##上海疫情##上海疫情求助##海外抗疫日记#,,上海·上海日航饭店,,"上海日航饭店,抗疫,抗疫行动,抗击疫情,上海疫情,上海疫情求助,海外抗疫日记",0,0,1,2022/10/7 15:06,iPhone 12 mini,"['https://wx2.sinaimg.cn/large/63417ac6ly1h6wqlot2o6j20tu13u12n.jpg', 'https://wx1.sinaimg.cn/large/63417ac6ly1h6wqlpfijyj20tu13u0x8.jpg', 'https://wx3.sinaimg.cn/large/63417ac6ly1h6wqlo7nbzj20tu13udvm.jpg', 'https://wx4.sinaimg.cn/large/63417ac6ly1h6wqlpwishj20tu13uth8.jpg']",,
4.82192E+15,M9c91n6wT,5901198405,小李子举个栗子,29号回家后，开始了值班，做核酸，做志愿者，加班→你好，我的2022年十一#抗疫#,,,,抗疫,0,0,0,2022/10/7 12:45,一加 9RT,['https://wx3.sinaimg.cn/large/006rmPhrly1h6wmk31cxoj31gy35su0x.jpg'],,
4.82188E+15,M9bjrddun,7267901822,青莲居士sir,#接龙管家崩了#天天两码，班主任，家长，学生不厌其烦，整得焦头烂额。有异常的，报告就行了啊！有异常，不报告，有法律、有规定约束啊。即使报告两码，报告最后一次就行了呀！为什么两码天天要接龙呢？#两码接龙该休息了##抗疫##疫情#,,,,"接龙管家崩了,两码接龙该休息了,抗疫,疫情",0,2,5,2022/10/7 10:38,nova 10 主角影像,"['https://wx4.sinaimg.cn/large/007VRngWgy1h6wipxoafaj30u01uodp4.jpg', 'https://wx2.sinaimg.cn/large/007VRngWgy1h6wipycnw2j30u01uon7w.jpg']",,
4.82188E+15,M9bg4nUIM,1360734054,设计师RainyQ,#抗疫行动##抗疫##健康##健康养生#一品汤做法：1、原料：椰子2个，鸡半只，瘦肉250克，水适量，党参，椰肉，红枣，枸杞，蛋黄3个2、椰子两个挑老的。先用螺丝批把上面的三个小孔开大倒出椰汁，再把椰子用铁锤敲裂。把肉取出削去内皮，洗净。3、鸡半只和瘦肉半斤。加上椰子水和适量的水和党参、枸杞，红枣/椰肉一起煲成靓汤。,,广州,,"抗疫行动,抗疫,健康,健康养生",0,0,1,2022/10/7 10:29,荣耀手机 勇敢做自己,,,
4.82186E+15,M9aFLAVoq,5546140211,大大爱吃比巴卜儿,哀民生之多艰，小小蝼蚁能说什么#抗疫#,,,,抗疫,0,0,0,2022/10/7 9:00,iPhone客户端,,,
