id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4789468156399636,LBxttqQPW,6488834204,和小小小小小小丸子,#护肤#在我看来，其实最好的护肤方法还得是好好保护好自己的身体，毕竟身体才是革命的本钱。少熬夜，多运动，少吃上火的东西，能够长久的坚持做到这些东西，比用什么昂贵的护肤品效果都好。到了这个点，我也是时候该去睡觉了感觉确实是有点晚了,,,,护肤,0,0,0,2022-07-09 23:47,HUAWEI P40 5G,['https://wx4.sinaimg.cn/large/00758uccgy1h413xk4gp9j30qo0segnh.jpg'],,
4789458505827045,LBxdUorSB,7686180371,企鹅电竞含光,#夏日##护肤#夏天属于皮肤最难熬的季节，除了气温高，紫外线强之外，而且室内室外温差较大，所以容易出现长痘痘、汗斑、汗疹、香港脚问题。容易出汗长疹子，夏天天气热容易出汗，所以要擦干，正常排出挥发，不然皮肤会发炎起疹子，另外出汗湿热细菌容易滋生，要预防香港脚和癣。,,,,"夏日,护肤",0,0,1,2022-07-09 23:09,vivo AI智慧拍照X21,"['https://wx3.sinaimg.cn/large/008oaqD9ly1h412tmgpfzj30nm0fz75i.jpg', 'https://wx3.sinaimg.cn/large/008oaqD9ly1h412tmnih3j308p05s0sq.jpg', 'https://wx1.sinaimg.cn/large/008oaqD9ly1h412tn0kgkj3081069aa5.jpg']",,
4789441376552211,LBwMhruwP,1922171514,真珠美学Bestgirl桃子,是不是要承认28以后要的不止是皮肤好而是胶原蛋白满满有年轻感皮肤坚决不能松这不，每天都在对抗着#真珠美学##护肤##bestgirl#,,,,"真珠美学,护肤,best girl",0,0,0,2022-07-09 22:01,iPhone客户端,['https://wx3.sinaimg.cn/large/7292027aly1h410utmnwij20u00u044d.jpg'],,
4789437856487633,LBwGBrdJf,2368064754,悦悦精准护肤,红血丝激素脸#护肤小知识##护肤美容##护肤分享##护肤#过期的护肤品还能这么用L悦悦精准护肤的微博视频,,,,"护肤小知识,护肤美容,护肤分享,护肤",0,0,0,2022-07-09 21:47,红血丝超话,,"http://f.video.weibocdn.com/o0/IkxyIcQ8lx07Xup70h8A01041200i41j0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198272&ssig=nZfeS1qWDh&KID=unistore,video",
4789432975101893,LBwyJlpeB,7021335835,是舟叶叶舟呀,家人们！满满一地护肤囤货，属实有点夸张了！我再也不说我没啥东西了……哈哈哈哈哈！电视剧时常大家安排点吃吃喝喝哈！震惊！618后满满一地护肤囤货合集！护肤囤货｜隐形眼镜囤货｜护发囤货！东西多的超过我的想象……up坐标上海｜熟龄肌｜偏干皮｜大家看的开心！#超能新星汇##购物分享##护肤#L是舟叶叶舟呀的微博视频,,,,"超能新星汇,购物分享,护肤",2,22,77,2022-07-09 21:27,微博视频号,,"http://f.video.weibocdn.com/o0/Aaj1xBGolx07XunPPfVm0104120s8S6A0E0a0.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198272&ssig=PpslgjxCYV&KID=unistore,video",
4789430860123778,LBwvk0wcq,5165610925,傣之颜两只羊家的店,算下来，童颜面膜比同阶面膜贵了3块多，但是它的轻薄、水润感，是完全超值的，就这么说吧，我杨sir、大直男一个，我们傣之颜那么多面膜看都不看一眼，这款是他唯一愿意和我一起敷过的～#傣之颜两只羊家的店##护肤#L傣之颜两只羊家的店的微博视频,,昆明,,"傣之颜两只羊家的店,护肤",0,0,0,2022-07-09 21:19,iPhone客户端,,"http://f.video.weibocdn.com/u0/2YmMbEP7gx07XunepJqw01041200tjgK0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198272&ssig=6hUOPtpxO%2B&KID=unistore,video",
4789427273991009,LBwpxgKf7,2257252932,皙之密素颜美肌_依依,🅑🅦🅛•𝘿𝙍'𝙎 𝙨𝙚𝙘𝙧𝙚𝙩‎͏ 夜晚不仅是我们的身体得到充分休息的时候，也是肌肤充电的好时机。当我们入睡时，肌肤在进行着深层修复与再生的工作——生成新的肌肤细胞，代谢老化细胞。这是肌肤最需要营养补给的时间，也是抗衰老成分发挥作用的黄金时段。推荐的这4款皙之密夜间护肤必备产品，在你的夜间护肤程序里了吗？#水光肌##皙之密##护肤##抗衰老##全美世界##补水##素颜美肌##好物推荐#L皙之密素颜美肌_依依的微博视频,,,,"水光肌,皙之密,护肤,抗衰老,全美世界,补水,素颜美肌,好物推荐",0,0,0,2022-07-09 21:05,微博视频号,,"http://f.video.weibocdn.com/o0/9czyXGAblx07Xumf68Lm010412002LWs0E010.mp4?label=mp4_720p&template=720x900.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198272&ssig=BR8N8YQjLe&KID=unistore,video",
4789419947591125,LBwdIvQNv,6455255537,美洛伊丽姐,如果你还想知道，有哪些不良护肤习惯会伤害到皮肤的，不想成为敏敏肌可以在下方面评论区留言，我会一一解答！#护肤##皮肤管理##补水保湿#@微博视频L美洛伊丽姐的微博视频,,,微博视频,"护肤,皮肤管理,补水保湿",0,1,1,2022-07-09 20:36,微博视频号,,"http://f.video.weibocdn.com/o0/N0L6CNVglx07XsCetH1e01041200wL8a0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198272&ssig=zNgnwUMktD&KID=unistore,video",
4789418617733656,LBwbzwrSo,1790046177,莱蔻芮·皮肤管理,：好的产品不是立刻让你有变化而是循序渐进让你越来越美好#luxury莱蔻芮·皮肤管理##皮肤管理##美容##护肤#,,温州·LUXURY莱蔻芮·皮肤管理,,"luxury莱蔻芮·皮肤管理,皮肤管理,美容,护肤",0,0,5,2022-07-09 20:30,nova7Pro你在焦点在,['https://wx1.sinaimg.cn/large/6ab1efe1gy1h40y8iizkej22o03k0qv7.jpg'],,
4789410892089463,LBvZ78Lz1,1631455300,皇族养心堂卢阿姨,“补水喷雾只能起到即时补水的作用，用后一定要保湿！”#护肤小知识#皇亲们平常是怎么给皮肤补水的？有皇亲说补水喷雾，这里强调一下，补水喷雾一定要和保湿乳/霜一起用！虽然夏天在空调房喷一喷能及时缓解干燥，达到即时补水的效果。但是，如果不及时按压保湿乳液/面霜，水分便很容易挥发，而且带走皮肤本身水分，让皮肤更干，形成恶性循环。#护肤##补水##保湿##皇族养心堂#,,,,"护肤小知识,护肤,补水,保湿,皇族养心堂",1,0,3,2022-07-09 20:00,微博 weibo.com,['https://wx4.sinaimg.cn/large/613e0844ly1h3ygl3bvstj20rs0kujub.jpg'],,
4789107764497430,LBo6ciRZc,5581541241,Mercen乔,💛被种草的积雪草深层清洁软膜，亲测还不错。#护肤分享##护肤##好物分享#积雪草成分#瓷小姐#LMercen乔的微博视频,,,,"护肤分享,护肤,好物分享,瓷小姐",0,0,1,2022-07-08 23:55,iPhone客户端,,"http://f.video.weibocdn.com/o0/aUWrGzBClx07XsX52SwU01041200E9HJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198286&ssig=DQA%2Brv%2BFX6&KID=unistore,video",
4789095329432348,LBnM8DzME,7413882908,乘风的小女孩,#护肤#由小脚肚想到的脸部暗沉……左脚的小肚子有一块地方上个月被蚊子咬过痕痒，因为反复抓痒引起了皮肤受损，也没及时消炎处理，就开始结痂暗沉了……在想为什么脸部会发黄暗沉，是不是也跟皮肤被蚊子咬一样的道理[奥比岛][奥比岛]而脸部皮肤，除了被晒、氧化，熬夜、长痘、涂抹刺激性护肤品、过度用力摩擦皮肤(洗脸、按摩等)，就会伤害到皮肤了！就跟反复抓痕皮肤一样，有些像是被反复蹂躏……也像是新鲜的蔬果被重力碰伤、刮伤、腌制，表皮被损伤了也会变得更深色，甚至细胞已受到破损……发现皮肤有这些损伤问题，1、要赶紧补水保湿修复，少折腾，适宜静养、休养生息[奥比岛][奥比岛]2、后续少量慢慢添加点壬二酸消炎，促进代谢，亲测过对脸上新长出的暗色痘印有效。3、内调促进新陈代谢：运动出汗、饮食干净、多喝水。,,,,护肤,0,0,0,2022-07-08 23:06,好好爱自己Android,,,
4789093995381761,LBnJZmA2B,7650359313,薇安洛VcanGlow,盛夏来临☀️，紫外线和城市喧嚣的环境，对肌肤产生压力和侵扰，屏障受损、暗沉、长斑、上妆也遮不住的烦恼……『薇安洛青春赋颜次抛精华』全新上市！1滴深入释放3重精华力1⃣抗氧力—抵抗肌肤氧化，细腻透亮2⃣补水力—长效保湿，水润有光3⃣焕亮力—透亮肌肤，修护日间侵害快来『薇安洛天猫旗舰店』下单吧~现在下单还有好礼相送！！#世界过敏日##护肤##夏日好物##薇安洛##抗氧化#,,,,"世界过敏日,护肤,夏日好物,薇安洛,抗氧化",0,0,1,2022-07-08 23:00,荣耀30青春版 5G,"['https://wx3.sinaimg.cn/large/008lK7W9ly1h3zwwb05ujj30rs0yqkfk.jpg', 'https://wx1.sinaimg.cn/large/008lK7W9ly1h3zwwbcj8fj30rs0yq7td.jpg', 'https://wx4.sinaimg.cn/large/008lK7W9ly1h3zwwblpt5j30rs0yq1as.jpg']",,
4789088601247526,LBnBi5exo,2874005580,爱美妆的西西,激素皮炎修复中心关于痘痘肌肤你应该知道这些‼️1⃣油腻食物不会直接引起痘痘，但是油性化妆品或长时间处在油腻的工作环境，比如厨房，会加重已有的痘痘2⃣辛辣食物不会直接引起痘痘，但是可能会加重3⃣心理压力不会直接造成痘痘，但是会加重4⃣吸烟容易引起痘痘5⃣经常洗脸并不能预防或控制痘痘，但过度清洁甚至可能会加重痘痘的情况6⃣及时治疗，不仅可以加快恢复，也可以减少痘印和痘疤的产生#痘痘##痘痘肌肤##护肤##护肤小知识##激素脸怎么治疗修复#,,,,"痘痘,痘痘肌肤,护肤,护肤小知识,激素脸怎么治疗修复",0,0,0,2022-07-08 22:39,激素皮炎修复中心超话,['https://wx1.sinaimg.cn/large/b10c1bc2ly1h3zczt4iyog206o06odka.jpg'],,
4789088139608477,LBnAxEjBr,1107393751,布衣锦时,#护肤##皮脂膜#皮脂膜是什么，你对皮脂膜了解多少？皮脂膜是皮肤的第一道防线，99%的皮肤问题都是来自皮脂膜。皮脂膜是由皮脂腺分泌的油脂、角质细胞产生的脂质、汗腺分泌的汗液和脱落的角质细胞经低温乳化，在皮肤表面形成的一层保护膜。皮脂膜有什么作用1、抗感染作用。皮脂膜是皮肤表面的免疫层，皮脂中的一些游离脂肪酸能够抑制某些致病性微生物的生产，对皮肤有自我净化作用。2、屏障作用。皮脂膜是皮肤锁水最重要的一层，能有效锁住水分，防止皮肤水分过度蒸发，并防止外界水分及一些物质透入，使皮肤含水量保持正常状态。3、润泽皮肤。皮脂膜是由皮脂和水分乳化而成，其脂质部分有效滋润皮肤，让皮肤保持润滑和滋养，而使皮肤柔韧，滑润、富有光泽，皮脂膜中的水分可使皮肤保持一定的湿润，防止干裂。所以，拥有健康透亮白皙皮肤的第一要素、就是拥有健康的皮脂膜。皮脂膜受损会出现什么症状？一旦皮脂膜遭到破坏，不但锁水功能降低，还是使肌肤变得干燥，瘙痒甚至起皮，还会导致水油失衡，满满的就会变成脆弱的敏感肌，岁气候等因素的反应力也随之减弱，极易引起肌肤红肿，局部泛红甚至出现敏感现象。特别容易出现色素沉淀，皮肤不够白皙，洁面后也会感觉皮肤比健康时要干涩紧绷，眼周还会出现红血丝。常见的皮脂膜修复成分有哪些1、神经酰胺：是一种水溶性脂质物质，天然保湿因子，神经酰胺是细胞间基质的主要成分，皮肤自有的神经酰胺维持着皮肤的水油平衡，是皮肤的自我保护元素，而护肤品中的神经酰胺能够减少红肿和角质层水分流失，起到增强皮肤屏障和重建细胞的作用。2、透明质酸：是能被机体分解代谢的能够携带500倍以上的水分的透明分子，是目前自然界中保湿性最好的物质，被赋予理想的天然保湿分子称号，可以迅速补充皮脂失去的水分。3、角鲨烷：人类细胞之间也是有角鲨烷，作为最接近人体皮脂的一种酯类，亲和性高，不会引起过敏和刺激，还能加速其他活性成分向皮肤中渗透，是皮肤的主要脂质、天然软化剂、保湿剂以及抗氧化物，从而及时修复皮脂并在皮肤表面形成一层天然的屏障。如何避免皮脂膜受损？1、只在夏季防晒：紫外线可导致皮肤受损，而在干冷的季节，皮脂膜也变薄，若不注意防晒，不仅皮脂膜受损，还会加速皮肤老化2、长期用过热的水洗脸、频繁洗脸：每日数次使用过热的水或碱性、清洁力较强的洁面产品。容易造成皮肤表面油脂大量流失，是皮脂膜受损。3、过度卸妆：有人日常淡妆也用强力卸妆产品，也会因其强大的清洁力而破坏皮脂膜4、过度去角质：皮肤粗糙不一定与角质层有关，如果不视情况，热衷于一个星期做两次去角质，可导致皮脂膜受损5、忽略护肤品PH值：皮脂膜呈弱酸性，PH值在5.5左右，碱性护肤品和洁面产品给它带来的损伤显而易见6、注意保湿：做好皮肤的保湿工作，外出之前涂抹防晒霜或者隔离等，能够保护好皮肤不受紫外线刺激的护肤品，还要做好物理防晒，那就是遮阳伞啦！,,,,"护肤,皮脂膜",0,0,0,2022-07-08 22:37,OPPO Find X,"['https://wx2.sinaimg.cn/large/42017cd7gy1h3zwu7b8etj20hs0e90tg.jpg', 'https://wx3.sinaimg.cn/large/42017cd7gy1h3zwu84f4zj20np0fkwfr.jpg', 'https://wx4.sinaimg.cn/large/42017cd7gy1h3zwu8euqsj210a0krdi1.jpg']",,
4789082691737295,LBnrL7hWT,5672603558,小橘子很凶,焕我生活每天一片水水润润过夏天☀️#护肤##焕面膜##面膜#,,,,"护肤,焕面膜,面膜",0,0,0,2022-07-08 22:15,焕我生活超话,['https://wx3.sinaimg.cn/large/006bTFjMly1h3zvnshwkkj31400kotef.jpg'],,
4789082360644935,LBnre2HMb,5672603558,小橘子很凶,焕我生活闭眼抄作业轻松拥有一个好肤质#焕我生活##护肤#,,,,"焕我生活,护肤",0,0,0,2022-07-08 22:14,焕我生活超话,['https://wx2.sinaimg.cn/large/006bTFjMly1h3zvm2fizpj30u0140q9o.jpg'],,
