id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4822073229446929,M9gdYDDzP,5984398398,奶味壹一,为了日后方便中奖咱就是说还是活跃一点点#抽奖#,,,,抽奖,0,0,0,2022-10-07 23:08,iPhone 14,,,
4822065088302560,M9g0QyPSg,3750866751,锦鲤门,10.8号的#转发抽奖#集O网页链接💫🅖🅞🅞🅓иι🅖нт晚安✨与其羡慕别人，不如成为那个人，不如#抽奖#,,,,"转发抽奖,抽奖",0,1,1,2022-10-07 22:36,Android,"['https://wx3.sinaimg.cn/large/df91af3fgy1h6x3lqs8lcj20b40b4wf8.jpg', 'https://wx1.sinaimg.cn/large/df91af3fgy1h6x3lr5czpj20b40b4js4.jpg', 'https://wx2.sinaimg.cn/large/df91af3fgy1h6x3lrhs0uj20b40b474x.jpg', 'https://wx1.sinaimg.cn/large/df91af3fgy1h6x3lrzn8jj20b40b4gm7.jpg', 'https://wx3.sinaimg.cn/large/df91af3fgy1h6x3lsfl6dj20b40b40td.jpg', 'https://wx2.sinaimg.cn/large/df91af3fgy1h6x3lt0h7jj20b40b4t9e.jpg', 'https://wx1.sinaimg.cn/large/df91af3fgy1h6x3ltel76j20b40b4mxs.jpg', 'https://wx4.sinaimg.cn/large/df91af3fgy1h6x3ltta7qj20b40b4dgl.jpg', 'https://wx3.sinaimg.cn/large/df91af3fgy1h6x3lv9y06j20b40b4mxp.jpg']",,
4822048603899916,M9fAggmxS,5918238887,虾虾的尾巴QAQ,和纸胶带嗯嗯样品到了#抽奖#抓个小朋友送一卷吧！砖*品*攒十二月一开社团：小透明社团名称：巴洛克可可,,,,抽奖,2,3,3,2022-10-07 21:30,和纸胶带超话,"['https://wx4.sinaimg.cn/large/006swkhVgy1h6x1qoh3qdj30zk1bewtz.jpg', 'https://wx3.sinaimg.cn/large/006swkhVgy1h6x1qq5yhaj30zk0jzahz.jpg', 'https://wx2.sinaimg.cn/large/006swkhVgy1h6x1qt3t2uj30u01uc7bi.jpg']",,
4822030568134008,M9f7ay81G,2093200791,欣梦享文化,#假期最后一天##抽奖#假期最后一天抽奖贴【👍➕评论区扣1】微博小店抽一本你喜欢的⬇️欣梦享文化,,,,"假期最后一天,抽奖",12,357,235,2022-10-07 20:18,欣梦享文化超话,['https://wx3.sinaimg.cn/large/7cc3b597ly1h6wzierlw5j20sg0s93z7.jpg'],,
4822029582474162,M9f5AanDQ,3165357381,旺仔俱乐部,#国庆##抽奖##签到#国庆收假在即仔的国庆送礼活动也即将结束各位是否已经拿下了备下的礼物呢戳>O网页链接点击上方链接，即可额外抽取一张字卡，仅前200名有效哦！,,,,"国庆,抽奖,签到",14,35,129,2022-10-07 20:15,微博 weibo.com,['https://wx4.sinaimg.cn/large/bcab8545gy1h6wzk301a4j20rs0rswmb.jpg'],,
4821971991529623,M9dAH6pVl,7745189567,UTONMOS,📢📢📢💁小编正式宣布：🔥你的#国庆假期#余额已不足，准备好开启UTONMOS平台国庆大转盘了嘛~🎀没错，终极大抽奖就要来啦。🎉100%中奖！100%中奖！100%中奖！🎁先升级，后#抽奖#，红包+魔盒+土地+道具都在明天（10月8日，周六）等着你。🎈还有超萌【灵宠】，超强【百草】，心动就要行动哦~数字藏品,,,,"国庆假期,抽奖",0,2,0,2022-10-07 16:26,数字藏品超话,"['https://wx3.sinaimg.cn/large/008sa1Cnly1h6wsxccm3rj30pd0reabh.jpg', 'https://wx4.sinaimg.cn/large/008sa1Cnly1h6wsxcpfnej30u01e4wfs.jpg', 'https://wx1.sinaimg.cn/large/008sa1Cnly1h6wsxd6a3mj30u01e3myn.jpg']",,
4821969205203874,M9dwclPLs,7014907972,si埼,#抽奖#,,,,抽奖,0,1,1,2022-10-07 16:15,荣耀 9X,['https://wx1.sinaimg.cn/large/007EJQ0Ygy1h6wsmcdmlej30u01e0n1m.jpg'],,
4821962449487920,M9dliDOeY,7715900829,wxubeic,#抽奖#,,,,抽奖,0,1,0,2022-10-07 15:48,OPPO Reno5 5G,['https://wx3.sinaimg.cn/large/008qb8hnly1h6wrudpkoaj30dc0m8ab2.jpg'],,
4821961874604156,M9dknjjKA,7732951951,哇牛Waniu,抽奖预告|请大数据推送给10月幸运鹅！！-十一假期马上就要结束啦明天就要回归搬砖生活啦心情是不是有这么些许复杂呢？那小哇给大家准备个礼物吧！也让大家稍微开心一下活动奖品：哇牛W1战损版蓝牙耳机-这是一条抽奖预告这是一条抽奖预告这是一条抽奖预告这是一条抽奖预告-抽奖活动于10月中旬开启宝贝们~都蹲住哈！千万不要错过啦~#蓝牙耳机##耳机##抽奖##抽奖预告#,,,,"蓝牙耳机,耳机,抽奖,抽奖预告",2,6,6,2022-10-07 15:46,新版微博 weibo.com,['https://wx2.sinaimg.cn/large/008rkG3tgy1h6wrbdl7ktj31xg2kmb29.jpg'],,
4821959106628653,M9dfUrOpL,2677040693,番薯欧尼,Mschf自制黑白拼接打底衫#封样讲解##抽奖#1⃣️面料：棉氨纶2⃣️工艺：丝网印3⃣️其他：大货会做sm两个推码，印花颜色还会重新调整，预计补款69全款79赞评，暖个宝贝哈L番薯欧尼的微博视频O抽奖详情,,,,"封样讲解,抽奖",1,63,59,2022-10-07 15:35,iPhone 12 Pro Max,,"http://f.video.weibocdn.com/o0/OmpIe7gBlx07ZNxKtw7601041200v6d80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665202191&ssig=dxtQres17H&KID=unistore,video",
