id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4812662377029930,M5jpbtuNY,5245963214,搞笑小兵,网友求助:把这个塞女朋友胸口会怎么样？#搞笑#,,,,搞笑,1,1,0,2022-09-11 23:53,即刻笔记,['https://wx2.sinaimg.cn/large/8087f5e3gy1gdvd9sqbxfg20960c8npg.jpg'],,
4812662096007042,M5joJpcHM,6249072757,健硕男模,#娱乐综艺##搞笑#57岁黄贯中跳鬼步舞！这舞步帅气，看着就想跳起来跺脚L健硕男模的微博视频,,,,"娱乐综艺,搞笑",0,0,1,2022-09-11 23:52,微博视频号,,"http://f.video.weibocdn.com/o0/IZqFvMkZlx07Z6A32wnS01041200EN7E0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148498&ssig=WB3Rvk2iwn&KID=unistore,video",
4812661269988491,M5jnoFUsH,5727942146,知神君,人类早期驯服野生动物的珍贵历史动图流出厨房秒变放生池哈哈哈#搞笑#,,,,搞笑,1,0,1,2022-09-11 23:48,微博 weibo.com,"['https://wx3.sinaimg.cn/large/af552ec6gy1gosd7ft1yng208c06z4qp.jpg', 'https://wx3.sinaimg.cn/large/af552ec6gy1gosd7g39izg20b407hqhf.jpg', 'https://wx2.sinaimg.cn/large/af552ec6gy1gosd7go1fyg20b406qqv6.jpg', 'https://wx3.sinaimg.cn/large/af552ec6gy1gosd7hpcfag205k057kjl.jpg', 'https://wx4.sinaimg.cn/large/af552ec6gy1gosd7i32j5g207304xe81.jpg', 'https://wx1.sinaimg.cn/large/af552ec6gy1gosd7iejmog206h08e4qp.jpg', 'https://wx3.sinaimg.cn/large/af552ec6gy1gosd7ixvy7g208c0ezqv6.jpg', 'https://wx1.sinaimg.cn/large/af552ec6gy1gosd7k7s40g209q0h6b2h.jpg', 'https://wx4.sinaimg.cn/large/af552ec6gy1gosd7kx11zg205008vu0y.jpg']",,
4812660715291550,M5jmvmczA,2119345082,精选搞笑排行榜,看到臭豆腐后的猫咪，你家也是这样的吗？#搞笑#L精选搞笑排行榜的微博视频,,,,搞笑,0,0,0,2022-09-11 23:46,微博视频号,,"http://f.video.weibocdn.com/u0/TpMkD7tXgx07Z8ClE5sY010412002zz60E010.mp4?label=mp4_hd&template=360x640.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148498&ssig=wCj9mstf4x&KID=unistore,video",
4812660694586732,M5jmtjfdy,3984780199,内涵排行榜,毛被剪的难看不说，桌子还欺负它#搞笑#L内涵排行榜的微博视频,,,,搞笑,1,0,0,2022-09-11 23:46,微博视频号,,"http://f.video.weibocdn.com/u0/BSgvUqQogx07Z8CljPVm010412001EWc0E010.mp4?label=mp4_hd&template=360x640.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148498&ssig=K21cgtzjYT&KID=unistore,video",
4812660590254501,M5jmj14cR,3551947604,撩事如神,郑恺第一个吃完超长米粉蔡徐坤郭麒麟吃的一脸幸福！#搞笑##娱乐#L撩事如神的微博视频,,,,"搞笑,娱乐",0,0,2,2022-09-11 23:46,微博视频号,,"http://f.video.weibocdn.com/o0/9BBq86wQlx07Z8CjoRBS01041202kCv60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148498&ssig=fng7V4w7WB&KID=unistore,video",
4812659129587223,M5jjWEe4D,5955437501,阳光胡胡0011,O网页链接嘿嘿嘿嘿嘿，买了个新手机壳！好不好看→_→#搞笑#,,,,搞笑,0,0,0,2022-09-11 23:40,一加 Ace Pro,['https://wx1.sinaimg.cn/large/006v2plzly1h633cv77lhj30zk1r8dhr.jpg'],,
4812657964356720,M5ji4ihnG,5529203363,溺笑,二单身狗见面，看到双方都很紧张#搞笑#L溺笑的微博视频,,,,搞笑,0,0,0,2022-09-11 23:35,微博视频号,,"http://f.video.weibocdn.com/o0/54xrIRNWlx07Z8BB4ybK01041200kuhm0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148498&ssig=JR5CT4BHc2&KID=unistore,video",
4812657180280781,M5jgO1b2J,6085757478,娱圈四道杠,#搞笑##生活#妹妹的出场方式还挺特别的~妹妹：我姐差点把我给噶了L娱圈四道杠的微博视频,,,,"搞笑,生活",0,0,0,2022-09-11 23:32,idoltube超话,,"http://f.video.weibocdn.com/o0/z7tVeUN8lx07Z5PsVyJG010412002Wb60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148498&ssig=LwBdUSjD1o&KID=unistore,video",
4812656933080172,M5jgpcVic,3984780199,内涵排行榜,这一天天的，不能让狗省心#搞笑#L内涵排行榜的微博视频,,,,搞笑,0,0,0,2022-09-11 23:31,微博视频号,,"http://f.video.weibocdn.com/u0/mHrRUpsvgx07Z8BjDDCo010412006m8c0E010.mp4?label=mp4_hd&template=360x640.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148498&ssig=4Nsl%2ByyxUs&KID=unistore,video",
4812301594531810,M5a1hj0VI,5882335385,九五年的信,第一次去北方工具家，这算是被器重吗？#搞笑#,,,,搞笑,0,0,0,2022-09-10 23:59,微博 weibo.com,['https://wx2.sinaimg.cn/large/008jHqP8ly1gufv1jv4fwj60v90nggr202.jpg'],,
4812301154127993,M5a0zhjSx,5963537434,NULIVE留学服务平台,骑车不能带人，但是狗骑车可以！#搞笑#,,,,搞笑,0,0,0,2022-09-10 23:57,iPhone客户端,"['https://wx1.sinaimg.cn/large/006vAovEgy1h61y9i8o9vj30u00wsdnp.jpg', 'https://wx3.sinaimg.cn/large/006vAovEgy1h61y9gg9odj30u010j46e.jpg']",,
4812301150978585,M5a0z46zD,5239863155,N乌托邦帮主无名B,我经常因为自己不够沙雕而感到自卑。#搞笑##搞笑视频#L笑翻了天的微博视频,,,,"搞笑,搞笑视频",0,0,0,2022-09-10 23:57,微博视频号,,"http://f.video.weibocdn.com/003MOxC5gx07DESNhVfO0104120030Wv0E010.mp4?label=mp4_hd&template=540x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148513&ssig=KB6HAT2zYh&KID=unistore,video",
4812301146263011,M5a0yqhij,2105436775,黄金龙1991,好会玩呀，哇哦👍朋友习惯养成大法》#搞笑#最佳损友#整蛊##快手#@快手L快乐小万的快手视频,,,快手,"搞笑 ,整蛊 ,快手",0,0,0,2022-09-10 23:57,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xturk9srbkb2re&a=3x6hdyh3b3zuhve&f=3xcde3znxnhxqx2&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5239375299329936494&shareResourceType=PHOTO_OTHER&shareToken=X-aJEZJ1D5DKq1L4,
4812301133152594,M5a0xde8i,6046693450,要向您敬个礼,睡前故事：讲的好，下次不许再讲了#闲言碎语##成年人的世界##搞笑#L要向您敬个礼的微博视频,,,,"闲言碎语,成年人的世界,搞笑",0,0,0,2022-09-10 23:57,iPhone客户端,,"http://f.video.weibocdn.com/o0/4eLSo3mjlx07Z72d7drq01041200Qk0O0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148513&ssig=skuP5fj26l&KID=unistore,video",
4812300413044952,M59ZncM88,5529203363,溺笑,中秋节快到了，玉兔月船，超详细教程，快学吧!#搞笑#L溺笑的微博视频,,,,搞笑,0,0,0,2022-09-10 23:54,微博视频号,,"http://f.video.weibocdn.com/o0/fB3b9PZnlx07Z721yz6M01041201JGrC0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148513&ssig=Pl2KIO1k%2FL&KID=unistore,video",
