id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4810471549178969,M4opACvRT,1212560351,光影之舞,苏富比2022年秋拍“千秋异彩”内地巡展北京站。展品不多，都是精稀：元青花鱼藻纹罐和菱口大盘、钧窑三足水仙盆、乾隆洋彩交泰转心瓶、永乐缠枝莲梅瓶、东周铜错银的兽形承足、汉代青铜辟邪，还有透纳的水彩写生威尼斯、德加画的爱德华·马奈的弟弟《尤金·马奈》、“姑熟画派”萧云从的长卷山水、齐白石的《菩提罗汉》等等…#拍卖##古董##瓷器##收藏##苏富比#,,北京·北京柏悦酒店,,"拍卖,古董,瓷器,收藏,苏富比",3,0,5,2022-09-05 22:47,艺术超话,"['https://wx1.sinaimg.cn/large/484633dfly1h5w3wzy3qsj227w2vdqv6.jpg', 'https://wx1.sinaimg.cn/large/484633dfly1h5w3x2gsrsj229k30r487.jpg', 'https://wx2.sinaimg.cn/large/484633dfly1h5w3x7vbfkj21kw23ve81.jpg', 'https://wx1.sinaimg.cn/large/484633dfly1h5w3wyr0e1j22zu1wcqv7.jpg', 'https://wx4.sinaimg.cn/large/484633dfly1h5w3x646zvj21n415w4qp.jpg', 'https://wx4.sinaimg.cn/large/484633dfly1h5w3x7328dj22by1b81ky.jpg', 'https://wx1.sinaimg.cn/large/484633dfly1h5w3x1cx9sj23402c0npe.jpg', 'https://wx1.sinaimg.cn/large/484633dfly1h5w3x5dwlcj229s2zz7wj.jpg', 'https://wx3.sinaimg.cn/large/484633dfly1h5w3yi14g1j232a2apwpj.jpg']",,
4810462191160735,M4oav4RXx,6578942238,和田玉铭洋,和田玉特色籽3.8克#收藏##文玩##玉石#,,,,"收藏,文玩,玉石",1,0,1,2022-09-05 22:10,OPPO Reno6 Pro+ 5G,"['https://wx4.sinaimg.cn/large/007bezpAly1h5w31ztqj2j30u01400zt.jpg', 'https://wx1.sinaimg.cn/large/007bezpAly1h5w32085jhj30u014045k.jpg']",,
4810456521246824,M4o1m5em4,5885115767,narmyyy,对于收藏这件事我真的是够认真的啦#收藏#,,,,收藏,0,2,3,2022-09-05 21:47,iPhone客户端,"['https://wx1.sinaimg.cn/large/006qhls3ly1h5w24biun6j33402c0hdu.jpg', 'https://wx1.sinaimg.cn/large/006qhls3ly1h5w24enljqj32c0340tjd.jpg', 'https://wx2.sinaimg.cn/large/006qhls3ly1h5w24a9pgjj32c0340npe.jpg', 'https://wx3.sinaimg.cn/large/006qhls3ly1h5w248mns1j32c0340x6r.jpg', 'https://wx1.sinaimg.cn/large/006qhls3ly1h5w24d8w8tj32c0340qv6.jpg', 'https://wx1.sinaimg.cn/large/006qhls3ly1h5w2d2d29kj32c0340npf.jpg', 'https://wx2.sinaimg.cn/large/006qhls3ly1h5w23x83n3j33402c0kjm.jpg', 'https://wx2.sinaimg.cn/large/006qhls3ly1h5w242n7kkj32c0340u0y.jpg', 'https://wx3.sinaimg.cn/large/006qhls3ly1h5w23vqijsj32c0340kjm.jpg']",,
4810433217955517,M4npLxnAN,1665235654,秀梓如來,傍晚#傍晚的天空##傍晚#☕️#虎年好运指南##国潮young态度##2022你最想实现的愿望##绘画##当代艺术##手绘##回归者联盟计划##海派抽象艺术##抽象艺术##潮玩##遇见艺术##这就是中国风##原创##徐增英##徐增英作品##收藏#大师经典速写实训范本(人物风景)-徐增英素描基础实训(静物石膏像)-徐增英#一起来投票#素描(零起点高分速成第2版)-徐增英#素描零起点高分速成/美院直达系列-徐增英[图书]#,,,,"傍晚的天空,傍晚,虎年好运指南,国潮young态度,2022你最想实现的愿望,绘画,当代艺术,手绘,回归者联盟计划,海派抽象艺术,抽象艺术,潮玩,遇见艺术,这就是中国风,原创,徐增英,徐增英作品,收藏,一起来投票",0,0,0,2022-09-05 20:15,iPhone 12 mini,['https://wx1.sinaimg.cn/large/63417ac6ly1h5vzpue8wnj20tu13u463.jpg'],,
4810426191711104,M4ner7b8s,3658180700,王庆13612091244拍卖一鹰眼识才,赫特里奇《母亲的怀抱》#文化##艺术##文艺##美术##油画##水彩##版画##水粉##粉彩##涂鸦##插画##当代艺术##书画##字画##国画##书法##篆刻##楷书##篆书##隶书##行书##草书##诗词##国粹##大师##收藏##收藏品##装修##装饰##餐饮##酿酒##酒业##酒##茶##茶业##旅游##酒店##饭店##律师##房地产##金融##银行##基金##证券##股票##期货##保理##保险##经纪人##代理##私人银行##私募基金##总裁##董事长##经理人##企业管理咨询##企业管理##企业管理培训##画廊##画室##画会##画社##画院##印社##书院##书画院##美术家协会##书法家协会##美协##书协##工艺美术协会##工艺美术##工艺美术大师##民间艺术家协会##民协##非物质文化遗产##非遗##非遗传承人##礼品##典当##当铺##拍卖##嘉德##保利##佳士得##苏富比##瀚海##风景##人物##花鸟##动物##山水##工笔##写意##泼墨##指墨##肖像##画像##静物##博物馆##美术馆##潮流艺术##画册##画集##出版社##美术出版社#文化#赫特里奇##母亲的怀抱##母亲##怀抱##母爱#L王庆13612091244拍卖一鹰眼识才的微博视频,,,,"文化,艺术,文艺,美术,油画,水彩,版画,水粉,粉彩,涂鸦,插画,当代艺术,书画,字画,国画,书法,篆刻,楷书,篆书,隶书,行书,草书,诗词,国粹,大师,收藏,收藏品,装修,装饰,餐饮,酿酒,酒业,酒,茶,茶业,旅游,酒店,饭店,律师,房地产,金融,银行,基金,证券,股票,期货,保理,保险,经纪人,代理,私人银行,私募基金,总裁,董事长,经理人,企业管理咨询,企业管理,企业管理培训,画廊,画室,画会,画社,画院,印社,书院,书画院,美术家协会,书法家协会,美协,书协,工艺美术协会,工艺美术,工艺美术大师,民间艺术家协会,民协,非物质文化遗产,非遗,非遗传承人,礼品,典当,当铺,拍卖,嘉德,保利,佳士得,苏富比,瀚海,风景,人物,花鸟,动物,山水,工笔,写意,泼墨,指墨,肖像,画像,静物,博物馆,美术馆,潮流艺术,画册,画集,出版社,美术出版社,赫特里奇,母亲的怀抱,母亲,怀抱,母爱",0,0,0,2022-09-05 19:47,文化超话,,"http://f.video.weibocdn.com/o0/0vqv9tLIlx07YYMzawlq010412005v3B0E010.mp4?label=mp4_720p&template=720x1016.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155093&ssig=QhaBcnA4I%2B&KID=unistore,video",
4810424601805114,M4nbS7zAK,3658180700,王庆13612091244拍卖一鹰眼识才,齐白石篆书#文化##艺术##文艺##美术##油画##水彩##版画##水粉##粉彩##涂鸦##插画##当代艺术##书画##字画##国画##书法##篆刻##楷书##篆书##隶书##行书##草书##诗词##国粹##大师##收藏##收藏品##装修##装饰##餐饮##酿酒##酒业##酒##茶##茶业##旅游##酒店##饭店##律师##房地产##金融##银行##基金##证券##股票##期货##保理##保险##经纪人##代理##私人银行##私募基金##总裁##董事长##经理人##企业管理咨询##企业管理##企业管理培训##画廊##画室##画会##画社##画院##印社##书院##书画院##美术家协会##书法家协会##美协##书协##工艺美术协会##工艺美术##工艺美术大师##民间艺术家协会##民协##非物质文化遗产##非遗##非遗传承人##礼品##典当##当铺##拍卖##嘉德##保利##佳士得##苏富比##瀚海##风景##人物##花鸟##动物##山水##工笔##写意##泼墨##指墨##肖像##画像##静物##博物馆##美术馆##潮流艺术##画册##画集##出版社##美术出版社#文化#齐白石#齐白石L王庆13612091244拍卖一鹰眼识才的微博视频,,,,"文化,艺术,文艺,美术,油画,水彩,版画,水粉,粉彩,涂鸦,插画,当代艺术,书画,字画,国画,书法,篆刻,楷书,篆书,隶书,行书,草书,诗词,国粹,大师,收藏,收藏品,装修,装饰,餐饮,酿酒,酒业,酒,茶,茶业,旅游,酒店,饭店,律师,房地产,金融,银行,基金,证券,股票,期货,保理,保险,经纪人,代理,私人银行,私募基金,总裁,董事长,经理人,企业管理咨询,企业管理,企业管理培训,画廊,画室,画会,画社,画院,印社,书院,书画院,美术家协会,书法家协会,美协,书协,工艺美术协会,工艺美术,工艺美术大师,民间艺术家协会,民协,非物质文化遗产,非遗,非遗传承人,礼品,典当,当铺,拍卖,嘉德,保利,佳士得,苏富比,瀚海,风景,人物,花鸟,动物,山水,工笔,写意,泼墨,指墨,肖像,画像,静物,博物馆,美术馆,潮流艺术,画册,画集,出版社,美术出版社,齐白石",0,0,0,2022-09-05 19:41,齐白石超话,,"http://f.video.weibocdn.com/o0/GCo2tKa4lx07YYM8shwk0104120048Uq0E010.mp4?label=mp4_720p&template=720x1568.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155093&ssig=%2F7TIgltX3d&KID=unistore,video",
4810424391827872,M4nbx7FvO,3658180700,王庆13612091244拍卖一鹰眼识才,吴冠中《清泉》#文化##艺术##文艺##美术##油画##水彩##版画##水粉##粉彩##涂鸦##插画##当代艺术##书画##字画##国画##书法##篆刻##楷书##篆书##隶书##行书##草书##诗词##国粹##大师##收藏##收藏品##装修##装饰##餐饮##酿酒##酒业##酒##茶##茶业##旅游##酒店##饭店##律师##房地产##金融##银行##基金##证券##股票##期货##保理##保险##经纪人##代理##私人银行##私募基金##总裁##董事长##经理人##企业管理咨询##企业管理##企业管理培训##画廊##画室##画会##画社##画院##印社##书院##书画院##美术家协会##书法家协会##美协##书协##工艺美术协会##工艺美术##工艺美术大师##民间艺术家协会##民协##非物质文化遗产##非遗##非遗传承人##礼品##典当##当铺##拍卖##嘉德##保利##佳士得##苏富比##瀚海##风景##人物##花鸟##动物##山水##工笔##写意##泼墨##指墨##肖像##画像##静物##博物馆##美术馆##潮流艺术##画册##画集##出版社##美术出版社#文化#吴冠中#吴冠中#清泉#L王庆13612091244拍卖一鹰眼识才的微博视频,,,,"文化,艺术,文艺,美术,油画,水彩,版画,水粉,粉彩,涂鸦,插画,当代艺术,书画,字画,国画,书法,篆刻,楷书,篆书,隶书,行书,草书,诗词,国粹,大师,收藏,收藏品,装修,装饰,餐饮,酿酒,酒业,酒,茶,茶业,旅游,酒店,饭店,律师,房地产,金融,银行,基金,证券,股票,期货,保理,保险,经纪人,代理,私人银行,私募基金,总裁,董事长,经理人,企业管理咨询,企业管理,企业管理培训,画廊,画室,画会,画社,画院,印社,书院,书画院,美术家协会,书法家协会,美协,书协,工艺美术协会,工艺美术,工艺美术大师,民间艺术家协会,民协,非物质文化遗产,非遗,非遗传承人,礼品,典当,当铺,拍卖,嘉德,保利,佳士得,苏富比,瀚海,风景,人物,花鸟,动物,山水,工笔,写意,泼墨,指墨,肖像,画像,静物,博物馆,美术馆,潮流艺术,画册,画集,出版社,美术出版社,吴冠中,清泉",0,0,0,2022-09-05 19:40,吴冠中超话,,"http://f.video.weibocdn.com/o0/LFq5hfsblx07YYM4AOIE010412005v4B0E010.mp4?label=mp4_720p&template=720x1004.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155093&ssig=ENkJ3%2FSMq9&KID=unistore,video",
4810424019849347,M4naVFkgr,3658180700,王庆13612091244拍卖一鹰眼识才,何家英《人面梅花》#文化##艺术##文艺##美术##油画##水彩##版画##水粉##粉彩##涂鸦##插画##当代艺术##书画##字画##国画##书法##篆刻##楷书##篆书##隶书##行书##草书##诗词##国粹##大师##收藏##收藏品##装修##装饰##餐饮##酿酒##酒业##酒##茶##茶业##旅游##酒店##饭店##律师##房地产##金融##银行##基金##证券##股票##期货##保理##保险##经纪人##代理##私人银行##私募基金##总裁##董事长##经理人##企业管理咨询##企业管理##企业管理培训##画廊##画室##画会##画社##画院##印社##书院##书画院##美术家协会##书法家协会##美协##书协##工艺美术协会##工艺美术##工艺美术大师##民间艺术家协会##民协##非物质文化遗产##非遗##非遗传承人##礼品##典当##当铺##拍卖##嘉德##保利##佳士得##苏富比##瀚海##风景##人物##花鸟##动物##山水##工笔##写意##泼墨##指墨##肖像##画像##静物##博物馆##美术馆##潮流艺术##画册##画集##出版社##美术出版社#文化#何家英##人面梅花##梅花##花卉#花卉L王庆13612091244拍卖一鹰眼识才的微博视频,,,,"文化,艺术,文艺,美术,油画,水彩,版画,水粉,粉彩,涂鸦,插画,当代艺术,书画,字画,国画,书法,篆刻,楷书,篆书,隶书,行书,草书,诗词,国粹,大师,收藏,收藏品,装修,装饰,餐饮,酿酒,酒业,酒,茶,茶业,旅游,酒店,饭店,律师,房地产,金融,银行,基金,证券,股票,期货,保理,保险,经纪人,代理,私人银行,私募基金,总裁,董事长,经理人,企业管理咨询,企业管理,企业管理培训,画廊,画室,画会,画社,画院,印社,书院,书画院,美术家协会,书法家协会,美协,书协,工艺美术协会,工艺美术,工艺美术大师,民间艺术家协会,民协,非物质文化遗产,非遗,非遗传承人,礼品,典当,当铺,拍卖,嘉德,保利,佳士得,苏富比,瀚海,风景,人物,花鸟,动物,山水,工笔,写意,泼墨,指墨,肖像,画像,静物,博物馆,美术馆,潮流艺术,画册,画集,出版社,美术出版社,何家英,人面梅花,梅花,花卉",0,0,0,2022-09-05 19:38,花卉超话,,"http://f.video.weibocdn.com/o0/D6tqbgjplx07YYLYN3LG0104120036M80E010.mp4?label=mp4_720p&template=720x1036.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155093&ssig=MGz%2Bp7TBwA&KID=unistore,video",
4810423700031629,M4naq08e9,3658180700,王庆13612091244拍卖一鹰眼识才,巴拉蒂《艺术家》#文化##艺术##文艺##美术##油画##水彩##版画##水粉##粉彩##涂鸦##插画##当代艺术##书画##字画##国画##书法##篆刻##楷书##篆书##隶书##行书##草书##诗词##国粹##大师##收藏##收藏品##装修##装饰##餐饮##酿酒##酒业##酒##茶##茶业##旅游##酒店##饭店##律师##房地产##金融##银行##基金##证券##股票##期货##保理##保险##经纪人##代理##私人银行##私募基金##总裁##董事长##经理人##企业管理咨询##企业管理##企业管理培训##画廊##画室##画会##画社##画院##印社##书院##书画院##美术家协会##书法家协会##美协##书协##工艺美术协会##工艺美术##工艺美术大师##民间艺术家协会##民协##非物质文化遗产##非遗##非遗传承人##礼品##典当##当铺##拍卖##嘉德##保利##佳士得##苏富比##瀚海##风景##人物##花鸟##动物##山水##工笔##写意##泼墨##指墨##肖像##画像##静物##博物馆##美术馆##潮流艺术##画册##画集##出版社##美术出版社#文化#巴拉蒂##艺术家#艺术家L王庆13612091244拍卖一鹰眼识才的微博视频,,,,"文化,艺术,文艺,美术,油画,水彩,版画,水粉,粉彩,涂鸦,插画,当代艺术,书画,字画,国画,书法,篆刻,楷书,篆书,隶书,行书,草书,诗词,国粹,大师,收藏,收藏品,装修,装饰,餐饮,酿酒,酒业,酒,茶,茶业,旅游,酒店,饭店,律师,房地产,金融,银行,基金,证券,股票,期货,保理,保险,经纪人,代理,私人银行,私募基金,总裁,董事长,经理人,企业管理咨询,企业管理,企业管理培训,画廊,画室,画会,画社,画院,印社,书院,书画院,美术家协会,书法家协会,美协,书协,工艺美术协会,工艺美术,工艺美术大师,民间艺术家协会,民协,非物质文化遗产,非遗,非遗传承人,礼品,典当,当铺,拍卖,嘉德,保利,佳士得,苏富比,瀚海,风景,人物,花鸟,动物,山水,工笔,写意,泼墨,指墨,肖像,画像,静物,博物馆,美术馆,潮流艺术,画册,画集,出版社,美术出版社,巴拉蒂,艺术家",0,0,0,2022-09-05 19:37,艺术家超话,,"http://f.video.weibocdn.com/o0/40wT7e8Glx07YYLTgq1W01041200asHM0E010.mp4?label=mp4_720p&template=720x1108.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155093&ssig=sJosok%2FhQ3&KID=unistore,video",
4810350983119897,M4lh8d5CV,1669586235,汤汤-forina,#养老金的天花板#恭喜客户存下百万养老金年交20W，缴费5年有4个计划供选择也可以投保后调整客户选择计划一60岁后每年领取149600过多久领取多久如果想要调整成计划三60岁后每年领取137400都可以操作计划三比计划一多了一个保证领取20年条款无论是哪个计划都是同类产品中天花板具体细节欢迎了解如果是存款100W60岁后退休按照一年15W的花销你们算算，多少岁就取尽是的，不到67岁就没了但是如果提前做了养老金规划无论是80岁还是100岁都是取之不尽，用之不竭#涨知识##科普##收藏##养老金##突然意识到自己该存钱的瞬间##保险#,,,,"养老金的天花板,涨知识,科普,收藏,养老金,突然意识到自己该存钱的瞬间,保险",0,0,1,2022-09-05 14:48,iPhone 13 Pro Max,"['https://wx4.sinaimg.cn/large/6383dd3bgy1h5vq7a798wj20zo1ektij.jpg', 'https://wx2.sinaimg.cn/large/6383dd3bgy1h5vq79mgarj20zo1eldhn.jpg', 'https://wx2.sinaimg.cn/large/6383dd3bgy1h5vq7915rwj20wi1ycgrd.jpg']",,
