id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81266E+15,M5jlx4pZ2,6074127927,浮云游子意belief,#教育#人像一粒种子，飘落在地球上，不同的国家有不同的土壤环境，文化教育，形成了不同的人文景观，结出了不同的文明果实。所以说人是环境的产物。以前的我很无知，我很把自己当回事现在的我也很无知，我不会太把自己当回事，也不会把自己不当回事在这个过程我明白了低调和谦逊，平和和善意我们可能会遇到任何一种人，变的是他们，不变的是自己，这个过程我明白了包容与格局不同的心境，不同的领悟，不同的观念，我们做出了不同的理解，这个过程是个奇妙之旅。,,,,教育,0,0,0,2022/9/11 23:44,iPhone客户端,['https://wx1.sinaimg.cn/large/006D4q9hgy1h63338zjujj30u01rck1s.jpg'],,
4.81265E+15,M5j7LbAlk,1988948421,南京科技馆,#南京科技馆#9月8日，江苏省第三届科技馆辅导员大赛在南京科技馆圆满落幕，来自全省16家科技馆的56名科技辅导员分别参加了展品辅导和科学实验两个项目的比赛。经过激烈的角逐，南京科技馆勇夺科学实验赛一等奖、二等奖，展品辅导赛二等奖。展品辅导赛分为两个环节，在单件展品辅导环节，我馆选手罗丹以深入浅出的语言，层层深入的方式剖析“方轮车”这件科技展品的原理，揭示“方轮车”平稳前行的奥秘，通过结合生动鲜活的事例，清晰明了地表达该原理在生活中的广泛应用，顺利晋级决赛。在主题串联辅导环节，罗丹凭借扎实的科学素养和较强的临场能力，将“从科学发展看科学家精神”的主题很好的诠释，赢得了现场观众的热烈掌声，获得了评委们的一致好评，最终荣获展品辅导赛二等奖。在科学实验赛环节，来自16家科技馆的17组科学实验秀轮番上演，各组选手准备充分、竞争激烈。我馆科学实验秀《热胀冷缩》，以情景剧的形式结合当下热点新闻，以生动有趣的语言和表演，向大家科普了有关热胀冷缩的知识。科学实验秀《一“惯”如此》，以南京公交为引入，用有趣的探究实验揭示了惯性的性质。最终分别荣获本次大赛科学实验赛一等奖和二等奖。南京科技馆将以本届大赛为契机，以赛代训、以赛促学，不断提升辅导员们的专业技能和综合素质，努力打造一支优秀的科普传播队伍，为公众普及科学知识、弘扬科学精神贡献力量。#课程##科普##科技##教育#,,,,"南京科技馆,课程,科普,科技,教育",0,0,0,2022/9/11 23:10,iPhone客户端,"['https://wx3.sinaimg.cn/large/768cf1c5ly1h632h8rrz3j20ki0bracf.jpg', 'https://wx3.sinaimg.cn/large/768cf1c5ly1h632h9hqsvj20zk0k0to1.jpg', 'https://wx4.sinaimg.cn/large/768cf1c5ly1h632h8k6n2j20u00k00wv.jpg']",,
4.81265E+15,M5iY4ExqJ,3310132061,尼si石头O什布,工作为了什么？只是为了我的生活而已，我干这些活只是为了换得对等的报酬，从而让我的生活锦上添花?同时也让我发挥出自己对他人对社会的价值，让自己的人生有所意义#仅此而已#而不是听所谓的领导在那画大饼，然后把自己把生命过的只剩下了工作，导致如今身体劳累，精神焦虑，食欲下降，恐惧工作#乡村教师#我从未想过自己普普通通的当一个小学教师能搞成如今这副模样，为何？#教育#我想问问中国这偌大土地上的教育工作者，为何如今的教育不是教育孩子，而是教育我们自己如何完成各种上级要检查的资料。中国教育中一直喊的是提升学生的综合素质，可这“综合”二字对乡村的孩子们而言是什么呢？是体音美全面发展必不可少，可对他们而言，未来的出路能走在这上面么？就我自己所带的班级而言，很多孩子没有健全的家庭，甚至只有爷爷或者奶奶一方在扶养，我想让他们成才，成国家栋梁，我想让他们走出大山，见识外面的世界，可靠什么呢？靠乡村学校提供的综合素质教育吗？不，不是的，国家培养人才本就是在成人的基础上让人拥有某一方面的才能而已，那对于这些乡村的孩子们而言，为什么不能在育人的基础上让他们成就某一方面的才能呢（文化课），这样的他们或许才能拥有在社会上拼搏立足的机会。如果让他们全面发展，那他们还能有战胜他人的机会吗？在我看来，那样将使得他们输的一败涂地！,,,,"仅此而已,乡村教师,教育",0,1,2,2022/9/11 22:46,nova7你在焦点在,,,
4.81264E+15,M5iRZiZhd,2181016770,鲁意思老师,这是2021年9月《第一财经》的封面和2022年9月的封面。新的22年的封面背景影影绰绰透出21封面的倒影，在一年的时光里凝结成的这新的一期，用一种很迷的Callback把这一年的教育改革具象成一场盛大的行为艺术展。原来试卷的成绩D变成22年选择题第一项被强行划掉的D——考试成绩。自此，试卷的成绩一栏变成A，进步了，然而试卷上，也看不出什么了。人为划掉这个D，我们就能离教育的初衷更近了吗？获得这个A，我们真的就能离教育的初衷更近了吗？#第一财经##教育#,,广州·亚洲瑜伽协会导师培训学院,,"第一财经,教育",0,0,0,2022/9/11 22:31,iPhone 11 Pro Max,"['https://wx2.sinaimg.cn/large/81ffacc2gy1h631bpqg9tj20u01sygrv.jpg', 'https://wx3.sinaimg.cn/large/81ffacc2gy1h631buvhr8j20u0140wj3.jpg']",,
4.81264E+15,M5iOyC1r5,7646624789,晴晴看教育,#教育##班会#中秋主题活动，通过对中秋节来历和民间风俗知识的讲解，让同学们走进中秋，引导同学们了解传统节日、喜爱传统节日、过好传统节日，培养学生良好的语文素养，增强对中国传统节日的价值认同，感受到中秋佳节的思乡之情和祝福团圆的美好情感，激发同学们的民族自豪感，不断传承中华民族优秀传统文化。,,,,"教育,班会",0,0,0,2022/9/11 22:22,HUAWEI Mate 8,['https://wx2.sinaimg.cn/large/008luspTgy1h63155nugrj30u00mi76y.jpg'],,
4.81264E+15,M5iLPfRct,6293630356,月月的小小吉,#教育##学以致用#有群大学生还真的把“知识还给了老师”，却引得老师们喜笑颜开，称赞连连。9月10日一大早，武汉生物工程学院医药学院百草协会数十名同学就带着自制的50余支中药口红、唇膏来到了学院教师办公室，为每一位老师赠送节日祝福。“老师，您教给我们的‘知识’现在还给您了！祝您节日快乐！”,,,,"教育,学以致用",0,0,0,2022/9/11 22:16,iPhone客户端,['https://wx2.sinaimg.cn/large/006RVqL2gy1h630y283p3j30xc0m80tk.jpg'],,
4.81264E+15,M5iJqF2Xn,1064144234,张岩与TOKELA与MOROCO,要个大壁炉。???????烤大蒜???????20220911小蜜蜂采蜜集#包装设计##设计##设计美学##平面设计##好设计共欣赏##原创设计##产品设计##艺术设计##设计秀##创意生活##设计小课堂##设计神器##遇见艺术##原创##艺术留学##品牌##品牌设计##标志设计##logo设计集##logo设计圈##品牌营销##潮流##潮流生活##我热爱的潮流设计##国潮##礼品##时尚##潮流艺术##教育##感受精致设计##设计师##艺考##美术生##家居设计##家居美学##我有一个家要设计##餐饮空间设计##设计师品牌#??????????,,,,"包装设计,设计,设计美学,平面设计,好设计共欣赏,原创设计,产品设计,艺术设计,设计秀,创意生活,设计小课堂,设计神器,遇见艺术,原创,艺术留学,品牌,品牌设计,标志设计,logo设计集,logo设计圈,品牌营销,潮流,潮流生活,我热爱的潮流设计,国潮,礼品,时尚,潮流艺术,教育,感受精致设计,设计师,艺考,美术生,家居设计,家居美学,我有一个家要设计,餐饮空间设计,设计师品牌",0,0,0,2022/9/11 22:10,iPhone 13 Pro Max,"['https://wx3.sinaimg.cn/large/3f6d8d6aly1h630pcmex4j20sc0scmxb.jpg', 'https://wx4.sinaimg.cn/large/3f6d8d6aly1h630pachwsj20ku0rswfa.jpg', 'https://wx3.sinaimg.cn/large/3f6d8d6aly1h630pcgi6lj20dw0kr0tu.jpg', 'https://wx3.sinaimg.cn/large/3f6d8d6aly1h630pbbw1vj20hs0m874v.jpg', 'https://wx1.sinaimg.cn/large/3f6d8d6aly1h630p9zwasj20ke0ukwfo.jpg', 'https://wx3.sinaimg.cn/large/3f6d8d6aly1h630pc1hz7j20ku0v9wib.jpg', 'https://wx3.sinaimg.cn/large/3f6d8d6aly1h630pave4wj20kg0r9my2.jpg', 'https://wx4.sinaimg.cn/large/3f6d8d6aly1h630pc6kehj20eq0m6wft.jpg', 'https://wx2.sinaimg.cn/large/3f6d8d6aly1h630pcb08mj20ku0v90t7.jpg']",,
4.81263E+15,M5iH191QB,2984567665,孤独了深秋,校长说真话竟被骂上热搜？清华学霸大骂张桂梅校长？#开学#游戏#教育##快手#@快手悲哀啊！说真话被骂！@中国政府网@紫光阁L欢姐育儿怎么办的快手视频,,,"快手,中国政府网,紫光阁","开学 ,教育 ,快手",0,0,0,2022/9/11 22:04,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xrnnecgfpk9z99&a=3xufex2degxh6z4&f=3xsqxetbb7w7f3u&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5232619901730163805&shareResourceType=PHOTO_OTHER&shareToken=X-7VRmJFTJ9Zr1e5,
4.81263E+15,M5iF1loG2,2841174383,贫穷赛区冠军,"北京丰台按次付费的早教香不香?北京早教疯狂跑路,从nyc到七田真再到万达宝贝王,谁还敢买大课包，准确的是谁还敢买课包,最近在丰台发现了一家按次付费的早教,设施齐全,环境也很好,老板特意推出按次付费的早教课程给到了我们这些担忧跑路的家长,就算是按次付费我们受到的待遇,和教学水平都和他们的会员一样,甚至更好,孩子的成长早教能帮上忙,也感谢这家机构给我们这样的家长做了坚实的后盾#早教##北京丰台##教育#",,,,"早教,北京丰台,教育",0,0,0,2022/9/11 21:59,OPPO Reno3 Pro 5G,"['https://wx1.sinaimg.cn/large/a958e16fly1h630gpajayj20u01hdwl3.jpg', 'https://wx3.sinaimg.cn/large/a958e16fly1h630gpwfm7j20u00u00vi.jpg']",,
4.81263E+15,M5iDIBL19,2521098473,蕲春事,#蕲春#即日起，湖北每所中小学至少增加一位食品安全副校长#教育##中小学#湖北L蕲春事的微博视频,,,,"蕲春,教育,中小学",0,0,0,2022/9/11 21:56,Android,,"http://f.video.weibocdn.com/o0/DeQl7ICIlx07Z8uM9HX2010412002RnO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665151346&ssig=nTar1gN%2Fk3&KID=unistore,video",
