id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4813737826194521,M5LnMpZtD,1912456154,Evans_Soo,AMD的锐龙7000系列处理器月底正式上市，升级部分主要在封装变化、制程工艺、主频提升、L2翻倍，IPC性能提升8%，单线程性能提升超15%，多线程性能提超35%，性能提升可观，相比之下AMD处理器更值得期待，只是DDR5内存条目前的价格偏贵，建议发售后一两个月价格下来去考虑。#数码#,,,,数码,0,0,0,2022-09-14 23:06,微博 weibo.com,['https://wx3.sinaimg.cn/large/71fdc3dagy1h66j9665xpj20sa0jcq49.jpg'],,
4813732096775175,M5Lexsqx1,1912456154,Evans_Soo,Intel将于9月27日正式发布13代酷睿处理器，至于新的处理器值不值得等，这个现在确实不太好说，毕竟目前仅有偷跑的大概规格数据，实际究竟提升多少，兼容性稳定性表现到底如何，还是等到正式发布测试了才能确定，尤其是实际生产力中的提升，目前十二代处理器的软件兼容性一言难尽，PR在不屏蔽掉小核心的情况下根本没法用，小核干活大核围观。#数码#,,,,数码,0,0,0,2022-09-14 22:43,微博 weibo.com,['https://wx1.sinaimg.cn/large/71fdc3dagy1h66ilj6owuj21900u0tbv.jpg'],,
4813731886531006,M5Lecrp0O,7283847345,五哥在专心搞机,最新港版韩版三星手机价格更新，港韩版的价格还是不太友好，只是比国行要便宜一些#数码#,,,,数码,0,0,2,2022-09-14 22:42,iPhone客户端,"['https://wx1.sinaimg.cn/large/007WWhqNgy1h66ijsxwhcj30js0mewfi.jpg', 'https://wx3.sinaimg.cn/large/007WWhqNgy1h66ijrnndnj30kh0qsab7.jpg']",,
4813728383503104,M5L8yeHjG,5230977479,pandora赵先生,蓝厂的vivoX90Pro参数外观爆料#vivo##爆料##数码#,,,,"vivo ,爆料,数码 ",0,0,0,2022-09-14 22:29,iPhone客户端,['https://wx4.sinaimg.cn/large/005I0Ecvly1h66i6hyhtfj30u01fxte6.jpg'],,
4813727113941029,M5L6vgxeZ,7719116723,潇幺受了,"魏布斯老师在视频里提到了iPhone14pro系列的主摄CMOS大小为1／1.3""。那么1／1.3""到底大不大？简单对比一下今年安卓旗舰大概就清楚了。三星GalaxyS22Ultra主摄HM31／1.33""小米12SUltra主摄IMX9891""华为Mate50Pro主摄IMX7661/1.5""OPPOFindX5Pro主摄IMX7661／1.5""vivoX80Pro主摄GNV1／1.3""#iphone14##数码#",,,,"iphone14,数码",0,3,4,2022-09-14 22:24,三星Galaxy S22 Ultra,,,
4813726521231891,M5L5y5atd,7419741813,环保冲击波,#数码#圈发生#iphone14#地震了,,,,"数码,iphone14",0,0,0,2022-09-14 22:21,iPhone客户端,,,
4813722558669829,M5KZ9AnpX,7570245339,小七Flag,终于揭秘了，原来海荣总之前发的拳击悬疑不是卢伟冰卢总而是邹市明，但是，卢伟冰卢总放上面感觉也挺合适挺不错的哈，没有违和感。#数码##数码资讯#,,,,"数码,数码资讯",0,0,1,2022-09-14 22:05,HarmonyOS设备,"['https://wx1.sinaimg.cn/large/008gjYDhly1h66hgx1yjcj30sg0sgaa7.jpg', 'https://wx1.sinaimg.cn/large/008gjYDhly1h66hgxd7nfj30sg0sgwel.jpg']",,
4813721212032319,M5KWZ8wHl,1898946194,好物推荐内部优惠券分享,"韩国网红可爱小发夹14件套韩国网红可爱小发夹14件套，多款多样，糖果色系，俏皮又可爱！家里的小公主都喜欢，超值！领5元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022-09-14 22:00,微博 weibo.com,['https://wx3.sinaimg.cn/large/712f9e92gy1h66hcud16hj20go0p040x.jpg'],,
4813716301025852,M5KP44iS0,1898946194,好物推荐内部优惠券分享,"【洁柔旗舰店】内衣内裤洗衣液600g高效去污，去血渍、尿渍，发黄异味各种都解决！洗完不发黄！领20元券下单地址：O网页链接#种草花花万物#,#好物推荐#,#种草#,#好物分享##母婴#,#洗护#,#美食#,#女装#,#男装#,#箱包#,#饰品#,#美妆#,#内衣#,#数码#,#小家电#,#运动#,#健身#,#车品#,#保健#,#生鲜#,#医药#,#手机#,#鞋#,#手机#,#护肤#，#入秋穿搭好物#，#月饼#，#全民带货得红包#，@跟着厂花买，#美容#，#汽车#，#好物#",,,跟着厂花买,"种草花花万物,好物推荐,种草,好物分享,母婴,洗护,美食,女装,男装,箱包,饰品,美妆,内衣,数码,小家电 ,运动,健身,车品,保健,生鲜,医药,手机,鞋,护肤,入秋穿搭好物,月饼,全民带货得红包,美容,汽车,好物",0,0,0,2022-09-14 21:41,微博 weibo.com,['https://wx2.sinaimg.cn/large/712f9e92gy1h66gsji7esj20no0zitak.jpg'],,
4813716065359123,M5KOGmu9t,1709009787,嘉少视觉,GoProHERO11Black来啦！能拍全画幅的运动相机，轻松玩转夜景拍摄#GoPro##运动相机##数码##gopro运动相机#L嘉少视觉的微博视频,,,,"GoPro,运动相机,数码,gopro运动相机",0,0,0,2022-09-14 21:40,微博视频号,,"http://f.video.weibocdn.com/u0/Q0hZFkP7gx07Zdgkz3Go01041203NjnF0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665155702&ssig=23hvV0yMpB&KID=unistore,video",
