id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81189E+15,M4ZcVwJFc,1609121693,山东新华电脑学院官方微博,#夏夜絮语##致小萌新#生活并不总是一帆风顺，我们却可以选择微笑面对，别让消极情绪埋没你的光彩。摆正心态，勇往直前，才能和最好的自己如期而遇。愿你用好心态，过出张弛有度的好生活。不攀比、不计较、不焦虑、不抱怨…心向阳光，如愿以偿。在线咨询：O网页链接#山东新华电脑学院##山东新华技工学校##山东新华电脑学院夏秋季招生##山东新华夏秋季招生火热进行中##学互联网技术，就来山东新华##山东新华yyds##新时代新技能新青年##好学校、好专业、好老师、好就业#,,,,"夏夜絮语,致小萌新,山东新华电脑学院,山东新华技工学校,山东新华电脑学院夏秋季招生,山东新华夏秋季招生火热进行中,学互联网技术，就来山东新华,山东新华yyds,新时代 新技能 新青年,好学校、好专业、好老师、好就业",0,0,0,2022/9/9 20:28,微博 weibo.com,['https://wx3.sinaimg.cn/large/5fe93f9dly1h60k4qacg4j215n0rrq9r.jpg'],,
4.81188E+15,M4Z1A052L,2061858797,西安文旅之声,#西安文旅爱分享##新时代我在中国#【非洲俩兄弟“哏都”说相声】2019年，来自马达加斯加的唐磊和来自肯尼亚的孔爱凯在天津师范大学开始学习相声，成为一对相声搭档。他们从生活中寻找创作素材，激发创作灵感，体验“说学逗唱”的文化魅力。两人一动一静的性格，也非常适合“逗哏”和“捧哏”的互补。他们认为，相声是用搞笑的艺术形式表达人生哲理，体现了中国的风土人情。L人民视频的微博视频（via.@人民视频）,,,人民视频,"西安文旅爱分享,新时代 我在中国",3,5,5,2022/9/9 20:00,微博视频号,,"http://f.video.weibocdn.com/o0/6YW3esFClx07Z1NsnO3C01041202iph10E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199927&ssig=WBmdSiLeYe&KID=unistore,video",
4.81187E+15,M4YIUdv9n,1609121693,山东新华电脑学院官方微博,这个中秋，选择山东新华。无论是技术体验，还是参观礼包、报名好礼……你想要的这里都有，赶快喊上你的小伙伴一起来吧！在线咨询：O网页链接#山东新华电脑学院##山东新华技工学校##山东新华电脑学院夏秋季招生##山东新华夏秋季招生火热进行中##学互联网技术，就来山东新华##山东新华yyds##新时代新技能新青年##好学校、好专业、好老师、好就业#O这个中秋，一起来山东新华邂逅美好,,,,"山东新华电脑学院,山东新华技工学校,山东新华电脑学院夏秋季招生,山东新华夏秋季招生火热进行中,学互联网技术，就来山东新华,山东新华yyds,新时代 新技能 新青年,好学校、好专业、好老师、好就业",0,0,0,2022/9/9 19:14,微博 weibo.com,,,
4.81187E+15,M4YHF532T,1609121693,山东新华电脑学院官方微博,#中秋节传统文化体验日之创意DIY灯笼#巧手做灯笼，欢乐迎中秋。同学们在老师的指导下创意构思、设计制作出承载满满祝福的灯笼，师生共度温馨快乐的中秋佳节。在线咨询：O网页链接#山东新华电脑学院##山东新华技工学校##山东新华电脑学院夏秋季招生##山东新华夏秋季招生火热进行中##学互联网技术，就来山东新华##山东新华yyds##新时代新技能新青年##好学校、好专业、好老师、好就业#,,,,"中秋节传统文化体验日之创意DIY灯笼,山东新华电脑学院,山东新华技工学校,山东新华电脑学院夏秋季招生,山东新华夏秋季招生火热进行中,学互联网技术，就来山东新华,山东新华yyds,新时代 新技能 新青年,好学校、好专业、好老师、好就业",0,0,1,2022/9/9 19:10,微博 weibo.com,"['https://wx1.sinaimg.cn/large/5fe93f9dly1h60kc6z3qpj21110op0zj.jpg', 'https://wx2.sinaimg.cn/large/5fe93f9dly1h60kc71j5lj21110opabc.jpg', 'https://wx1.sinaimg.cn/large/5fe93f9dly1h60kc73qucj21110optb3.jpg', 'https://wx3.sinaimg.cn/large/5fe93f9dly1h60kc7c3ruj21110opjxg.jpg', 'https://wx4.sinaimg.cn/large/5fe93f9dly1h60kc7jm3nj21110op100.jpg', 'https://wx3.sinaimg.cn/large/5fe93f9dly1h60kc7smb2j21110op7a7.jpg', 'https://wx4.sinaimg.cn/large/5fe93f9dly1h60kc7zcr9j21110opwlr.jpg', 'https://wx4.sinaimg.cn/large/5fe93f9dly1h60kc85xtdj21110op3zl.jpg', 'https://wx1.sinaimg.cn/large/5fe93f9dly1h60kc8e1hij21110opdjr.jpg']",,
4.81184E+15,M4XTX8jsE,1609121693,山东新华电脑学院官方微博,#教师节##教师节快乐#热烈庆祝第38个教师节学院领导亲切慰问老师们致以美好的节日礼物与祝福教育是我们共同奋斗的事业山东新华祝全体教师节日快乐在线咨询：O网页链接#山东新华电脑学院##山东新华技工学校##山东新华电脑学院夏秋季招生##山东新华夏秋季招生火热进行中##学互联网技术，就来山东新华##山东新华yyds##新时代新技能新青年##好学校、好专业、好老师、好就业#,,,,"教师节,教师节快乐,山东新华电脑学院,山东新华技工学校,山东新华电脑学院夏秋季招生,山东新华夏秋季招生火热进行中,学互联网技术，就来山东新华,山东新华yyds,新时代 新技能 新青年,好学校、好专业、好老师、好就业",0,1,0,2022/9/9 17:08,微博 weibo.com,"['https://wx3.sinaimg.cn/large/5fe93f9dly1h60gqssozhj20tg0m8773.jpg', 'https://wx4.sinaimg.cn/large/5fe93f9dly1h60gqst4f4j20tg0m80wo.jpg', 'https://wx3.sinaimg.cn/large/5fe93f9dly1h60gqt1n7nj20tg0m8q6g.jpg', 'https://wx3.sinaimg.cn/large/5fe93f9dly1h60gqt0rlaj20tg0m8437.jpg', 'https://wx3.sinaimg.cn/large/5fe93f9dly1h60gqt7tzyj20tg0m8go7.jpg', 'https://wx2.sinaimg.cn/large/5fe93f9dly1h60gqtf327j20tg0m8q6y.jpg', 'https://wx4.sinaimg.cn/large/5fe93f9dly1h60gqtlpvmj20tg0m8jw7.jpg', 'https://wx1.sinaimg.cn/large/5fe93f9dly1h60gqttcbdj20tg0m8wgr.jpg', 'https://wx3.sinaimg.cn/large/5fe93f9dly1h60gqu0di9j20tg0m8whe.jpg']",,
4.81182E+15,M4Xn0o0As,3904762344,平安南江,【#新时代我在中国#｜#法国摄影师用巧克力表达中国文化#】蒂埃里·博尔尼耶从法国来到中国已经至少16年了，从摄影到巧克力艺术品，蒂埃里用他特有的方式记录和描绘着中国。游历不同的城市，拍摄不同的风景、体验不同的人文风情，他将所见的中国之美用相机记录下来，把中国传统文化用巧克力表达出来，浪漫与中国文化的结合在蒂埃里手中花样百出，凝结成独一无二的中国之美。L人民视频的微博视频,,,,"新时代 我在中国,法国摄影师用巧克力表达中国文化",0,0,0,2022/9/9 15:47,微博视频号,,"http://f.video.weibocdn.com/o0/erQlFSnqlx07Z4Sakq4M010412034tmT0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199927&ssig=bX6cZEbACz&KID=unistore,video",
4.81181E+15,M4Xecx4rm,2057327125,人民视频,【#新时代我在中国#｜#法国摄影师用巧克力表达中国文化#】蒂埃里·博尔尼耶从法国来到中国已经至少16年了，从摄影到巧克力艺术品，蒂埃里用他特有的方式记录和描绘着中国。游历不同的城市，拍摄不同的风景、体验不同的人文风情，他将所见的中国之美用相机记录下来，把中国传统文化用巧克力表达出来，浪漫与中国文化的结合在蒂埃里手中花样百出，凝结成独一无二的中国之美。L人民视频的微博视频,,,,"新时代 我在中国,法国摄影师用巧克力表达中国文化",1,0,9,2022/9/9 15:25,微博视频号,,"http://f.video.weibocdn.com/o0/erQlFSnqlx07Z4Sakq4M010412034tmT0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199927&ssig=bX6cZEbACz&KID=unistore,video",
4.8118E+15,M4X3M5v7t,1784473157,中国新闻网,#新时代我在中国#【克罗地亚退休夫妇在中国的“第二春”】维托米拉?隆查尔是来自克罗地亚的演员和制片人，她创造了大约60个戏剧影视角色，制作了超过80场戏剧演出。她的丈夫伊维萨?西米奇是儿童剧导演。原本已经退休的夫妻二人在中国又迎来了他们人生和事业的“第二春”。2016年维托米拉?隆查尔和伊维萨?西米奇收到中国多个城市的工作邀请，他们在中国各地畅游，领略中国的风土人情，了解中国文化，最终选择在西安定居，并在西安的一所高校授课。充满活力和热情的维托米拉?隆查尔也被学生们亲切地称为“维塔奶奶”。维塔还在国外一视频平台开通了“Vita’slifeinChina”频道，分享在西安的日常有趣生活以及在中国各地的旅行日记等。随着她的镜头可以游览中国景点、地道美食，云端“品尝”街边“麻辣烫”等本地小馆。来自多个国家的网民都通过她的分享了解着中国。同时，她通过自己的努力将更多克罗地亚与中国的青年联系起来，建立沟通桥梁，不遗余力地宣传自己认知中的中国，让更多克罗地亚民众了解更为真实的中国。未来两人也计划继续在此生活，“探索”更多美好。此外，也将源源不断地从中国文化中“吸收能量”并带着文化交流的使命再创作、再出发。L中国新闻网的微博视频,,,,新时代 我在中国,13,3,48,2022/9/9 14:59,微博视频号,,"http://f.video.weibocdn.com/o0/yp7Gkq92lx07Z4QoQ95u01041203Ntsg0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199927&ssig=U613TdfYei&KID=unistore,video",
4.81175E+15,M4VKD3LQH,1609121693,山东新华电脑学院官方微博,王者荣耀邀请赛火热来袭～PK赛体验高端炫酷设备，专业导师面对面咨询解答。9月10日来校尽情体验吧！在线咨询：O网页链接#山东新华电脑学院##山东新华技工学校##山东新华电脑学院夏秋季招生##山东新华夏秋季招生火热进行中##学互联网技术，就来山东新华##山东新华yyds##新时代新技能新青年##好学校、好专业、好老师、好就业#,,,,"山东新华电脑学院,山东新华技工学校,山东新华电脑学院夏秋季招生,山东新华夏秋季招生火热进行中,学互联网技术，就来山东新华,山东新华yyds,新时代 新技能 新青年,好学校、好专业、好老师、好就业",0,1,0,2022/9/9 11:40,微博 weibo.com,['https://wx3.sinaimg.cn/large/5fe93f9dly1h6072i0d9hj20hs1ixn4o.jpg'],,
4.8117E+15,M4UtfBdFR,1609121693,山东新华电脑学院官方微博,#赏心乐“师”嘉年华#中秋节校园开放日9月10日精彩开启打卡科技校园，抢占热门专业更有名师公开课，专家面对面全方位体验，让你收获满满在线咨询：O网页链接#山东新华电脑学院##山东新华技工学校##山东新华电脑学院夏秋季招生##山东新华夏秋季招生火热进行中##学互联网技术，就来山东新华##山东新华yyds##新时代新技能新青年##好学校、好专业、好老师、好就业#,,,,"赏心乐“师”嘉年华,山东新华电脑学院,山东新华技工学校,山东新华电脑学院夏秋季招生,山东新华夏秋季招生火热进行中,学互联网技术，就来山东新华,山东新华yyds,新时代 新技能 新青年,好学校、好专业、好老师、好就业",0,0,0,2022/9/9 8:24,HUAWEI P40 5G,['https://wx1.sinaimg.cn/large/5fe93f9dly1h601njd6tkj20hc2pjai5.jpg'],,
