id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81085E+15,M4yj9EIE3,5983912189,烂剧斗士,#校服##时尚#国外小姐姐试穿高中校服这是她的高中校服对于我来说是需要购买的时尚穿搭L烂剧斗士的微博视频,,,,"校服,时尚",0,0,12,2022/9/6 23:59,微博视频号,,"http://f.video.weibocdn.com/u0/lhJx9b91gx07Z0ELp7E4010412009dx90E010.mp4?label=mp4_720p&template=720x1046.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665146402&ssig=ypwvC1Dws9&KID=unistore,video",
4.81085E+15,M4yiw5e5y,7538669104,HT纯原,开发了很长时间让各位等待了很久也恰逢开学季HT决定将这两个款式福利回馈给各位价格远低于核算成本还有一个原因让你们等了这么久因为这款原厂材料实在太难调配所以这两个配色只调了一批材料后期没办法补货既然有个不完美的开始那就有个完美的结束吧#dunk##潮流生活##潮流##Dunk白红##时尚##ootd##王一博#HT纯原,,抚顺,,"dunk,潮流生活,潮流,Dunk白红,时尚,ootd,王一博",0,0,0,2022/9/6 23:57,HT纯原超话,"['https://wx2.sinaimg.cn/large/008ebudagy1h5xbrty541j31qg1qgnpd.jpg', 'https://wx3.sinaimg.cn/large/008ebudagy1h5xbry7np4j31zc1zc4qq.jpg']",,
4.81085E+15,M4yhwExcF,7538669104,HT纯原,HT与铁粉们的相爱相杀总是在漫长的等待中开始我们的故事#dunk##Dunk复古氧化绿##时尚##潮流资讯##秋冬穿搭#HT纯原,,哈尔滨,,"dunk,Dunk复古氧化绿,时尚,潮流资讯,秋冬穿搭",0,0,2,2022/9/6 23:55,HT纯原超话,"['https://wx4.sinaimg.cn/large/008ebudagy1h5xbnmk3v4j30u01i64et.jpg', 'https://wx3.sinaimg.cn/large/008ebudagy1h5xbnmwvklj30u01hc7bg.jpg']",,
4.81085E+15,M4yeP3K4x,1940031172,冷芸时尚,#时尚##商业#中国时尚品牌走向全球，其实就两条路比较可行：用资本并购，以及跨境电商。千万别想着自己花钱去国外开实体店。先花钱学习。并购和跨境就是相对小的成本踏入国际市场的手段。不过，中国企业家的管理思维如果不改变，并购后还是很难产生价值，现在鞋服跨国并购案例中有还没听到过并购后运营成功的案例。O华裔设计师品牌AlexanderWang获雅戈尔集团和挑战者创投投资，北美和全球零售拓展计划已经启动,,,,"时尚,商业",0,0,1,2022/9/6 23:48,微博 weibo.com,,,
4.81084E+15,M4y7G8irm,2740236754,扑拉拉飞V,听说“辛巴达”要去土耳其开厂，那么是否意味着shein也要开始全球供应链了#服装##时尚##跨境电商##亚马逊##国际贸易#,,,,"服装,时尚,跨境电商,亚马逊,国际贸易",0,0,0,2022/9/6 23:30,iPhone客户端,,,
4.81084E+15,M4y3cE0cJ,2740236754,扑拉拉飞V,alexanderwang周一宣布获得来自挑战者创投与雅戈尔集团的少数股权投资。alexanderwang将在挑战者创投和雅戈尔集团的投资助力下，继续进行全球化扩张，并加大对电商、市场营销和创新领域的投资。截至目前，alexanderwang在全球拥有44家自营门店和合作门店，数字渠道业务已实现高双位数的增长。#服装##时尚##新消费#,,,,"服装,时尚,新消费",0,0,2,2022/9/6 23:19,iPhone客户端,,,
4.81084E+15,M4xUo1Mzs,2558010341,時光古典,拉夫劳伦2022秋季紫标系列时尚微电影作品以率性摩登感，开启秋日穿搭序幕吧。于服饰中，体会典雅英伦与恣肆风土的碰撞。#时尚##拉夫劳伦##服装#L時光古典的微博视频,,,,"时尚,拉夫劳伦,服装",0,0,0,2022/9/6 22:58,iPhone客户端,,"http://f.video.weibocdn.com/u0/1NONrHeggx07Z0Azm16U01041200Cnq50E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665146402&ssig=vwioNgfVQN&KID=unistore,video",
4.81083E+15,M4xPuv7lQ,3971551366,穿搭时尚精选,御姐仔裙肉丝，#时尚穿搭##时尚##时尚##ootd#穿搭喜欢的可以学习下,,,,"时尚穿搭,时尚,ootd",118,15,423,2022/9/6 22:46,iPhone客户端,"['https://wx4.sinaimg.cn/large/ecb91086ly1h5qvp92qjcj21jk2bpwzs.jpg', 'https://wx1.sinaimg.cn/large/ecb91086ly1h5qvp9m7mij21jk2bckan.jpg', 'https://wx3.sinaimg.cn/large/ecb91086ly1h5qvpa1p3cj21jk2dadzv.jpg', 'https://wx2.sinaimg.cn/large/ecb91086ly1h5qvpak01sj21jk2aanib.jpg', 'https://wx1.sinaimg.cn/large/ecb91086ly1h5qvpb332qj21jk2cc4pv.jpg', 'https://wx4.sinaimg.cn/large/ecb91086ly1h5qvp86ajvj21jk2aa1f4.jpg', 'https://wx3.sinaimg.cn/large/ecb91086ly1h5qvpbmvucj21jk2bcx19.jpg', 'https://wx4.sinaimg.cn/large/ecb91086ly1h5qvpcagp7j21jk2ejwv7.jpg', 'https://wx2.sinaimg.cn/large/ecb91086ly1h5qvpcwl5fj21jk2bch1w.jpg']",,
4.81083E+15,M4xIbhtf8,5353640427,魔界红魔鬼,请叫我灵魂画师#请叫我灵魂画师##绘画##画画##手绘##彩绘##水彩##插画##水粉##简笔画##素描##白描##国画##水墨##彩铅##每日一画##想画就画##画画其实很简单##画画教学##绘画教学##零基础学画画##零基础画画##画画的日常##画展##画家##画画打卡##自学画画##我的随手画##画册##板绘##绘画日常##板绘练习##绘画过程##画画过程##绘本##原创##美##美女##颜值##美景##约拍##记录##创意##灵感##创作灵感##设计##设计师##我是原创插画师##画师##萌宠##动漫##旅行##旅游##摄影##情感##艺术##美图##美食##时尚#L魔界红魔鬼的微博视频,,北京,,"请叫我灵魂画师,绘画,画画,手绘,彩绘,水彩,插画,水粉,简笔画,素描,白描,国画,水墨,彩铅,每日一画,想画就画,画画其实很简单,画画教学,绘画教学,零基础学画画,零基础画画,画画的日常,画展,画家,画画打卡,自学画画,我的随手画,画册,板绘,绘画日常,板绘练习,绘画过程,画画过程,绘本,原创,美,美女,颜值,美景,约拍,记录,创意,灵感,创作灵感,设计,设计师,我是原创插画师,画师,萌宠,动漫,旅行,旅游,摄影,情感,艺术,美图,美食,时尚",0,0,0,2022/9/6 22:28,微博视频号,,"http://f.video.weibocdn.com/o0/RkOvJjDMlx07Z0yvJLtK01041200cxlL0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665146402&ssig=td4jjw7fvX&KID=unistore,video",
4.81082E+15,M4xtF8YwM,5692573988,Lena丽娜娜娜,收藏一波轻奢实用卧室阳台设计#室内设计##阳台##时尚##家装设计#,,,,"室内设计,阳台,时尚,家装设计",0,0,0,2022/9/6 21:52,iPhone,"['https://wx4.sinaimg.cn/large/006dfsxuly1h5x82az2o9j30kt0q0tbx.jpg', 'https://wx1.sinaimg.cn/large/006dfsxuly1h5x82be5qtj30go0ktmxn.jpg', 'https://wx3.sinaimg.cn/large/006dfsxuly1h5x82aekqkj30ku0q0ta3.jpg', 'https://wx3.sinaimg.cn/large/006dfsxuly1h5x82bri1uj30kt0pwq3r.jpg', 'https://wx1.sinaimg.cn/large/006dfsxuly1h5x82c1eb1j30go0p076x.jpg', 'https://wx2.sinaimg.cn/large/006dfsxuly1h5x82ccwslj30kt0pt74u.jpg']",,
