id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.80904E+15,M3N90gchE,2322834472,邓知世yvonne,小知网星座每日运势查询?双鱼座运势好事连连状态很在线2022年9月1号日运?O网页链接#星座##星座指南##小知网星座#一起来传播宇宙的星座能量吧！?转发点赞评论好运连连?,,,,"星座,星座指南,小知网星座",0,0,0,2022/9/1 23:55,荣耀20S,"['https://wx2.sinaimg.cn/large/8a73a428gy1h5rjloa3xxj20x95dox6q.jpg', 'https://wx2.sinaimg.cn/large/8a73a428gy1h5rjlsl9h4j20x95ei1kz.jpg', 'https://wx3.sinaimg.cn/large/8a73a428gy1h5rjlz40frj20x95dtx6q.jpg']",,
4.80904E+15,M3N8PlgPs,2322834472,邓知世yvonne,【小知网星座爱情揭秘】双鱼座：浪漫主义。很多双鱼座是典型的浪漫主义者，他们一直都在渴望与真爱邂逅，希望自己能拥有一份真挚而浪漫的爱情，因此，他们其实很容易掉入别人的爱情陷阱。#星座##爱情##星座指南##小知网星座#,,,,"星座,爱情,星座指南,小知网星座",0,0,1,2022/9/1 23:54,荣耀20S,"['https://wx1.sinaimg.cn/large/8a73a428gy1h5rjlikzjzj20sg0sgtcm.jpg', 'https://wx1.sinaimg.cn/large/8a73a428gy1h5rjlj98lpj20sg0sggpl.jpg']",,
4.80904E+15,M3N8HqYgE,2322834472,邓知世yvonne,小知网星座每日运势查询?狮子座运势勇气可嘉状态斗志昂扬2022年8月31号日运?O网页链接#星座##星座指南##小知网星座#一起来传播宇宙的星座能量吧！?转发点赞评论好运连连?,,,,"星座,星座指南,小知网星座",0,0,0,2022/9/1 23:54,荣耀20S,"['https://wx4.sinaimg.cn/large/8a73a428gy1h5rj4aisdwj20x95q3kjn.jpg', 'https://wx3.sinaimg.cn/large/8a73a428gy1h5rjkzq1z3j20x95pohdv.jpg', 'https://wx3.sinaimg.cn/large/8a73a428gy1h5rjl71qr2j20x95rthdv.jpg']",,
4.80904E+15,M3N8x15l9,2322834472,邓知世yvonne,漫漫奋斗路学会张弛有度白天纵有千难万事夜晚也要喘息驻足好好休息，才能重整旗鼓晚安~祝您好梦！#星座##星座指南##小知网星座#,,,,"星座,星座指南,小知网星座",0,0,0,2022/9/1 23:53,荣耀20S,['https://wx4.sinaimg.cn/large/8a73a428gy1h5rjkrus3jj20yi0yiwjx.jpg'],,
4.80904E+15,M3N8quO8X,2322834472,邓知世yvonne,小知网星座每日运势查询?天秤座运势挺融洽找到生活的节奏2022年8月30号日运?O网页链接#星座##星座指南##小知网星座#一起来传播宇宙的星座能量吧！?转发点赞评论好运连连?,,,,"星座,星座指南,小知网星座",0,0,0,2022/9/1 23:53,荣耀20S,"['https://wx4.sinaimg.cn/large/8a73a428gy1h5rjk4bdtqj20x95j97wj.jpg', 'https://wx4.sinaimg.cn/large/8a73a428gy1h5rjkbzv9ej20x95hi4qr.jpg', 'https://wx4.sinaimg.cn/large/8a73a428gy1h5rjkhpriwj20x95hk4qr.jpg']",,
4.80904E+15,M3N5kqERq,7353595775,李青秋,争强好胜，得理不饶人的星座！巨蟹座：记仇巨蟹座人是属于那种睚眦必报的人，一点亏都不肯吃。他们分得非常淸，他们不会主动招惹别人。但是，要是有人欺负他们的话，他们一点就会爆发的，把人死死的咬住，绝不松口。他们的心眼真的挺小的，绝不会轻易妥协，要是一时无法找回场子，他们也会慢慢筹谋，等待最佳时机给人迎头一击，让人毫无招架之力。他们总是得理不饶人，一点余地都不给人留。狮子座：总想赢狮子座凡事就想做得最好，赢过别人。他们很明确自己的立场和态度，不该吃的亏绝对不会吃。特别是在他们占理的时候，变得更是较真。千万不要跟他们吵架，肯定是赢不过他们的，他们争强好胜，绝不会轻易妥协。其实能不跟狮子座起矛盾冲突最好，不然他们会像变个人似的，会很严厉的捍卫自己的尊严。他们不会理睬别人的态度，他们眼中只有胜负，没有朋友之说。天蝎座：强势天蝎座人十分强势，一旦跟他们吵架，那将是一件非常糟糕的事情，他们是属于无理都要辩三分，要是占理，他们的口水随时都有可能将人淹死。他们的性格强势，从来都是只图自己心里痛快，从不在乎他们感受，更何况是饶恕对方。所以，当有人试图跟天蝎座人争论的时，永远是没有胜算的，一点反击的余地都没有，相处久了之后，大家也只会对他们敬而远之。水瓶座：固执水瓶座人不要看平时温文而雅的，要是固执起来，八头牛都拉不回来。他们非常的认死理，就算是强词夺理，也绝不会退一步，他们非常的倔，一旦跟他们起争执，爆发起来是非常可怕的事情。他们怼人的功力，那绝对是一等一的高手，仅仅是几句话，就能把别人弄崩溃。所以，对于水瓶座这样的人，能不招惹就不招惹。如果不小心踩到他们，绝对是活受罪的事。#幸运星指南##失恋分手复合##星座#,,,,"幸运星指南,失恋分手复合,星座",3,0,6,2022/9/1 23:46,微博 weibo.com,['https://wx4.sinaimg.cn/large/0081EWbtgy1h5r20hzwxkj30xc0feq51.jpg'],,
4.80903E+15,M3MZtjkBL,5615861068,液体锈汽精灵九,狮子女与白羊男的cp让我想到了这幅画。“我发誓将对所爱矢志不渝。”国王与她忠诚的骑士。#星座#星座#狮子座##白羊座#,,,,"星座,狮子座,白羊座",0,0,0,2022/9/1 23:31,iPhone客户端,['https://wx1.sinaimg.cn/large/00683A0kgy1h5rjpwpjxrj30hs0tpn1r.jpg'],,
4.80903E+15,M3MZ4dtXy,7335075554,爱哭泣的小松鼠,身边好朋友被我带的以前从来不信的哈哈哈哈#星座#,,,,星座,0,0,0,2022/9/1 23:30,iPhone客户端,"['https://wx1.sinaimg.cn/large/0080peeely1h5rivvmmyij30qh1i3drp.jpg', 'https://wx4.sinaimg.cn/large/0080peeely1h5rivuu92wj30pu0rn78c.jpg']",,
4.80903E+15,M3MWqbowk,1880045983,洛阳的水瓶座,神都日常#水瓶座##星座#其实水瓶一点都不傻，看透不说透就是我们的真实写照，好多事在心里早有结论，无须你的虚情假意，该走该留，我们心中有数。不要以为我们优柔寡断，我们往往比任何人都极端。水瓶其实理性的可怕，再大的事也影响不了我们纯正快乐的心。L洛阳的水瓶座的微博视频,,,,"水瓶座,星座",0,0,0,2022/9/1 23:24,神都日常超话,,"http://f.video.weibocdn.com/o0/hO5TWDrYlx07YSDTOtnO010412008MGg0E010.mp4?label=mp4_720p&template=720x720.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665162868&ssig=oW11abNc%2BM&KID=unistore,video",
4.80903E+15,M3MQKx5Tx,7502349318,YYuov,猜猜谁是天蝎座#星座#,,,,星座,0,0,1,2022/9/1 23:10,iPhone客户端,"['https://wx4.sinaimg.cn/large/008bJ5Maly1h5rianno4sj31r03401kx.jpg', 'https://wx2.sinaimg.cn/large/008bJ5Maly1h5riakqwa0j31r12sahbo.jpg']",,
4.8152E+15,M6nn6a7Po,1641067523,占星塔罗凌菲,9.19-9.25白羊座爱情运:本周有伴的人在感情中十分缺乏安全感，也不太敢表达真正的自己，很难把真正的心事告诉对方，也总觉得彼此之间没什么未来。桃花运:这时候容易突然出现情感，可能是你没有预料到的人，但关系很脆弱，随时会结束。工作运:本周在工作中的人比较特立独行，也只是把自己的事情做好，也不想去负担什么责任，这时候也不会把心思放在工作上。财运:这时候的财务状态容易出现一些转机，如果好好把握的话，有可能咸鱼翻身哦，有可能出现意外得财的情况哦。建议:不要总看到自己的缺点，而忽视了自己的优点，把握自己的优点好好发挥的人，才能发现自己的能力。（参考上升星座和太阳星座）#星座#塔罗#十二星座##白羊座#白羊座,,,,"星座,十二星座,白羊座",1,0,1,2022/9/18 23:49,vivo X60Edge蔡司影像,['https://wx1.sinaimg.cn/large/61d0b403gy1h6b6yx44jpj22b42b4dno.jpg'],,
4.8152E+15,M6nm16EIO,1641067523,占星塔罗凌菲,9.19-9.25双鱼座爱情运:本周有伴的人经常发生争吵，但仍然爱着对方，会以激烈的方式来表达自己的爱意，这时候的脾气不好。桃花运:现在有机会发生感情，也容易遇到有好感的人，但应该等待对方主动比较好。工作运:本周在工作中的人状况十分混乱，常常发生各种错误，这时候的组织架构也很容易出现比较大的变化，不是稳定的时期，部分人会考虑在这时候辞职。财运:这时候在金钱上比较稳定，现在也会有很多购买东西的想法，但应该要量力而为哦，不要一下子支出太多。建议:放下自己内心的情绪，就会发现很多事情并不是那么难以解决。（参考上升星座和太阳星座）#星座#塔罗#十二星座##双鱼座#,,,,"星座,十二星座,双鱼座",1,0,0,2022/9/18 23:46,vivo X60Edge蔡司影像,['https://wx2.sinaimg.cn/large/61d0b403gy1h6b6w9b5c6j22b42b4hdt.jpg'],,
4.8152E+15,M6nlMk4Wa,3965497016,星座先生Z,【12星座女生荣获宠爱的秘方--双子座】#星座#【哪些星座最害怕被甩】NO.1巨蟹座-性格天生就很敏感，生怕自己一不留神恋情破裂。NO.2天蝎座-恨不得每天都跟对方腻在一起，很害怕自己被分手，成为不幸的一方。NO.3双鱼座-希望与你无时无刻都在一起，一分一秒都不愿意分开。L星座先生Z的微博视频,,,,星座,0,0,0,2022/9/18 23:46,微博视频号,,"http://f.video.weibocdn.com/o0/RyAPE5Iilx07ZdopweM0010412007axg0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665162876&ssig=pn%2BJQBPr5Q&KID=unistore,video",
4.8152E+15,M6nkOohFP,1641067523,占星塔罗凌菲,9.19-9.25水瓶座爱情运:本周有伴的人在感情中需要调节两个人沟通上的一些问题，这时候有很多的想法需要整合，容易出现一些分歧。桃花运:这时候若想要发生新的恋情，应该多参加朋友之间聚会，也许很快会认识新的感情对象。工作运:本周在工作中的人很有执行力，但有时候容易自我中心，而忽视了别人的问题，所以容易和同事起冲突。财运:这时候在金钱上还算平稳，但也没什么进展，这时候能节省一点比较好，保持现状哦。建议:不要把失败和不顺利归咎于命运的捉弄。（参考上升星座和太阳星座）#星座##十二星座##水瓶座#塔罗,,,,"星座,十二星座,水瓶座",1,0,0,2022/9/18 23:43,vivo X60Edge蔡司影像,['https://wx1.sinaimg.cn/large/61d0b403gy1h6b6ssp9yjj22b42b4qcg.jpg'],,
4.81519E+15,M6nhIfI4q,2522660422,易翔先生,摩羯是出了名的贤内助，不仅自身实力非常强大，还擅长带老公一起飞。她聪明的双商可以为老公提供点子，她勤劳的温度能够为家人照亮方向，她会尊敬长辈、善待同辈、爱护晚辈，把家打理得紧紧有条，不需要老公过度的操心。两个人相互扶持、彼此成长、共同经营，家庭就会越来越兴旺，日子也会越过越富强。请相信，摩羯会是你温柔且可靠的支柱，也会是你一生中最大的财富！#星座#,,,,星座,0,0,0,2022/9/18 23:36,,,,
4.81519E+15,M6nhA3NXw,2522660422,易翔先生,巨蟹座温柔又迷人的蟹是做梦都想娶的人，有很多男人倾其一生去努力，只为能娶到这个小天使。如果你是个追求安定的人，那选择蟹，肯定不会失望，她的温柔体贴和全心全意会让你觉得真没白活！她会用无微不至的关怀，照顾你的一点一滴，也会用细腻温暖的感情，滋养你的一生一世。在你累的时候，有一张温柔的笑脸等着你；在你疲惫的时候，有一个温暖的拥抱等着你，这种幸福感是无法用金钱来衡量的，可以说，选了巨蟹做妻子绝对是你一生最好的投资！#星座#,,,,星座,0,1,1,2022/9/18 23:35,,,,
4.81519E+15,M6nhiBwtI,3965497016,星座先生Z,【星座QQ的个性签名】#星座#【当12星座在路上遇到初恋-巨蟹座】哎？这不是幻觉吧！之前还在不经意间想起他（她）的事，这会儿竟就真的遇到啦。不知道他（她）之后过得好不好呢？有没有再谈一场新的恋情，新的恋人比我好吗？他（她）有后悔吗？啊，他（她）看过来了，还是先闪人吧。L星座先生Z的微博视频,,,,星座,0,0,0,2022/9/18 23:35,微博视频号,,"http://f.video.weibocdn.com/o0/4PsrnWo7lx07Z9RhWkSA01041200abAn0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665162876&ssig=rhAoxtfltg&KID=unistore,video",
4.81519E+15,M6nhgeKlu,2522660422,易翔先生,白羊怕不是八字就旺夫吧！她乐观勇敢的为人能助你驱赶生活的阴霾，日子会越过越红火，娶了她以后，家庭质量瞬间提升几个档次，不光极具幸福感，而且还稳定了大后方。她是一个家的风向标，也是老公坚强的后盾，更是家人最硬的底牌，让人觉得安心、满足、幸福！她就像个大火炉一样，永远会发光发热，滋养出温润如玉的日子，整个家都显得和谐可爱，娶了白羊是一种什么体验？总结起来就四句话：善良大方，热情开朗，有妻如羊，奔向小康。#星座#,,,,星座,0,0,0,2022/9/18 23:34,,,,
4.81519E+15,M6ngg7aoj,3803709752,塔罗占卜師麗麗,一恋爱“零智商”的星座：内心单纯善良，总被渣男伤害你有没有那种闺蜜，平时清醒冷静，理性客观，总能分析明白你感情中的各种问题，提出各种意见。然而轮到自己时，却智商下降，随随便便就和别人在一起，连对方是好是坏都分不清，最后还会被渣男伤害。你跟她说她也不相信，总觉得自己的眼光没错，对方是个好人，是能和自己最终走向婚姻殿堂的人。快来看看哪些星座的女孩最容易上当受骗，掉入渣男的陷阱中。Top3：水瓶座水瓶座拥有理性的智慧，独立，有很强的个人风格。平时的她们乐于助人，你有什么情感上的问题都可以来找水瓶，她们善于发掘真相，总能把问题分析得头头是道。可是一旦轮到自己恋爱时，却理不清头绪，轻信对方的花言巧语。正因为她们平时的智慧，所以有些过于相信自己的判断。在她们眼中，这个人好坏与否自己已经观察过，怎么可能会出差错。但实际上只是有的渣男更善于伪装罢，他们在你面前时，善良勇敢、热情大方，其实都是骗你的。水瓶座在恋爱时的想法有些过于理想化。她们会觉得自己眼前的人应该能和自己一直走下去。爱情中的她们有些盲目，会觉得终于找到可以供她们停泊的港口。希望她们能擦亮双眼，同时也听取一下周围人的建议，不要轻而易举就相信其他人。最好相处时间也长点，毕竟日久见人心。Top2：双鱼座双鱼座的女孩子浪漫，富有幻想。爱情是她们的必需品，拥有一段甜甜的恋爱是她们非常向往的事情。也正因如此，她们才总会上当受骗。她们在恋爱中表现得天真烂漫，爱幻想的她们希望对方是白马王子，而自己是白雪公主，所以总会将一些他们根本就没有的美好品质在自己的想象中加在他们身上。她们希望自己能是对方的掌上明珠，十分需要保护。因此，对方只要稍稍给双鱼座女孩子一些甜头，她们马上就会心花怒放，并在心中认定对方。但其实对方所付出的东西甚至不及双鱼座付出的十分之一。双鱼座应变能力差，所以一旦她们与对方的恋情出现裂痕时，她们会措手不及，反思自己是不是哪里做得不好，从来没想过可能是对方的原因。她们会在分手时十分伤心。所以，希望双鱼座的女孩子要认清追求自己的人，不能把自己的幻想代入现实中。此时不拿出你对爱情、对伴侣的严要求，更待何时？Top1：白羊座白羊座热情坦率，为人真诚。在很多时候固执己见，她们认定了什么便是什么，不会轻易放手。然而在爱情中的她们是卑微的。她们在爱情里就是温顺的小绵羊，会对恋人百依百顺。她们会付出自己的真心，付出一切。虽然有时候她们也意识到了感情中的不平等，但是她们依旧不会放弃。她们就是这样，天真地以为如果自己再对他好一点，他是不是就不会这样。实则不然，你越对他好，他就越觉得理所当然，认为这是应该的，越会把你的真心视若无物，到头来还是会“渣”你。不过好在白羊座天性乐观，她们会为这段失败的感情伤心，但伤心没一段时间也就好。她们还是比较豁达的，认为人与人之间都是彼此的过客，能在一起就在一起，不在一起就是缘分不到，没什么大不。#塔罗牌占卜情感分手复合爱情##星座#,,,,"塔罗牌占卜情感分手复合爱情,星座",0,0,0,2022/9/18 23:32,占卜師Android,['https://wx3.sinaimg.cn/large/e2b80138gy1h6b6g7px5yj208c0ee75m.jpg'],,
4.81519E+15,M6nfg6cfe,2036669743,思绮小姐_绮月命理,对宫星座本质上是一体两面，对宫的两端，分别维系着各个生命领域的低阶版本和高阶版本，从低阶到高阶，是一种逐渐成熟的过程。很多人觉得白羊自我，实际上成熟的白羊，为了自己想达到的目的，姿态可以放得相当低，甚至比天秤还天秤。而如果你把天秤逼急了，翻脸的时候，绝对能感受到不输给白羊的愤怒。金牛和天蝎修炼的课题，是人生最值得拥有的究竟是什么。当金牛历经千辛万苦，终于拥有了美食和财富，享受了感官和物欲的满足之后，会发现人间极乐，恰恰是看不见摸不着的情感满足。家财万贯的孤独，是无法带来真正的幸福的。而天蝎的内心十分清楚，要维系人与人之间的关系，只有汹涌澎湃的感情是不够的，没有资源互换和分享，就不能长久。双子和射手掌管着知识和精神议题。双子兴趣广泛，多才多艺，什么都要学一下。但总有一天会发现，空有一身武艺，却没有目标，是毫无意义的。射手是天生的浪人，追求的是“美人在侧，兄弟并肩，江山如画皆看遍”的快意恩仇。但射手的梦想不能脱离双子式的积累，没有实力，追梦之路势必举步维艰。巨蟹和摩羯诠释了小家和大家的关系。这两星座，一个是母亲，一个是父亲；一个以阴柔的水象能量，滋润照料着日常生活，另一个以踏实的土象能量，源源不断地提供着物质保障。巨蟹着眼于单个家族，摩羯则懂得各自为营只会力量分散，只有组织起来，建立有序的规则，才是长治久安。脱离了巨蟹的摩羯，只能是光杆将军。没有值得守护的人，哪怕万人之上，繁华落尽就只剩空虚。狮子和水瓶的课题，是如何安放自己在人群中的位置。水瓶的内心其实很狮子，特别自傲，有种居高临下、一览众山小的清高。但水瓶不像狮子表现得那么明显，逢人便张牙舞爪，从狮子到水瓶，他们学会了如何戴着亲切的面具，低调地展露才华，不着痕迹地赢得喝彩。处女和双鱼关注的是行为智慧，是修行的最后一步。处女认为算计好每一步，抓住每一个细节，事情就能尽在掌握，而双鱼明白难得糊涂，反而会有意外收获。处女认为理性分析可以战胜一切，而双鱼明白很多事情都有天意，没有那么容易说清楚。处女只相信物理世界，而双鱼则学会了敬畏神灵。星盘中的对宫星座，是人生的六大课题。有能力融合对宫星座，才能修得圆满，成就真正圆融的人生。#星座##星盘##星座爱情#,,,,"星座,星盘,星座爱情",0,0,2,2022/9/18 23:29,星座密语超话,['https://wx4.sinaimg.cn/large/79651d2fly1h6b6f3m6itj20u013zq3s.jpg'],,
4.81484E+15,M6dVMvIf2,5349976738,图灵塔罗v,图灵塔罗??金最近都有点找茬的气氛不是你找别人的茬就是别人找你们的茬庚金很敏感容易因为事业上别人的阴阳怪气暗自生气但是整体更有大局观，可以忍耐辛金也是对于某些同事非常看不惯对领导也有意见内心会有想离开的想法但是要注意不要把心思全写在脸上#今年四六级难吗##星座##超能新星汇#,,,,"今年四六级难吗,星座,超能新星汇",3,5,28,2022/9/17 23:47,图灵塔罗超话,['https://wx3.sinaimg.cn/large/005Q3Xloly1h6a1a7y1czj31jk0v9aww.jpg'],,
4.81484E+15,M6dVrtCVk,2638020483,向左腾,【双鱼座-今日运势-09月17日】#双鱼座运势##星座##今日运势#星座在线[整体运势]历遍山河觉得人间值得:今天的你整体运势相对一般，需要担心的地方不多，但也不是可以心大的一天。或许你的自由度比较高，但自控能力却差那么一点，所以星运猫提醒小可爱们，你自己安排的计划总是不大有利。[恋爱运势]不要堆积问题:恋爱中的你，今天感情中的误会、矛盾点一定要及时解决，否则只会导致之后的问题越来越多，最后根本没有办法处理。[桃花运势]天降桃花:单身党的你，今天有机会遇到自己十分看好的人选，或者发现很吸引你的对象，喜欢的话不妨勇敢出击，有闪恋脱单的可能。[人际关系]早做打算:今天的你容易受到他人的陷害或者背黑锅的情况，让你对眼前的情景失望，如果避无可避，那就不如早做打算。[学业运势]保持虚心态度:今天对学生党来说，学习方面你会有成绩上的进步，容易得到老师的表扬，要保持虚心的姿态继续往前冲，趁着成就感满满的时候很适合进行加强难度的学习。[事业运势]整体进度放缓:今天对于上班族来说，合作上可能会遇到整体进度缓慢的情形，需要跟合作者好好沟通、交流，确保每一步计划的落实。[健康运势]做好外出保暖:今天的你说，出远富门需要留意目的地的天气情况，尽量做好未雨绸缪的准备，不要说走就走，免得自己应付不过来，尤其是降温的时候要及时添衣。[财富运势]避免盲目:今天的你要避免胡乱的购物、消费、玩乐。同时也尽可能避免盲目的投资、理财行为，可能会踩坑而造成较大的金钱流逝。,,,,"星座,今日运势",0,0,1,2022/9/17 23:46,星座在线超话,,,
