id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4811572087622719,M4R2EvZ15,6084645368,于亿亿,青春本就像风一样不被定义#校园#L于亿亿的微博视频,,天津·天津工业大学,,校园,0,0,2,2022-09-08 23:40,iPhone客户端,,"http://f.video.weibocdn.com/o0/WB4bty5Tlx07Z3Phpt6E01041200nCwq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154492&ssig=6xs6FvKTf2&KID=unistore,video",
4811570591567313,M4R0f6zJf,1269731254,李英俊律师,集美大学2022新生开学典礼校长硬核“喊话”！有多少人禁得起测谎？#孩子教育##校园##知识改变命运##拼搏的青春##社会热点##B站二季度净亏损20亿#L李英俊律师的微博视频,,成都,,"孩子教育 ,校园 ,知识改变命运 ,拼搏的青春 ,社会热点,B站二季度净亏损20亿",1,0,1,2022-09-08 23:34,微博视频号,,"http://f.video.weibocdn.com/o0/gPj4ZWxmlx07Z3ORVjl6010412008L8B0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154492&ssig=NgOc2IkOai&KID=unistore,video",
4811570380543705,M4QZU2hrr,5264494927,xxlei_,要当学姐啦#大学生活##开学##校园#,,乌鲁木齐,,"大学生活,开学,校园",0,5,5,2022-09-08 23:33,iPhone客户端,"['https://wx2.sinaimg.cn/large/005KhhCvly1h5zm9jevzej32801o01ky.jpg', 'https://wx3.sinaimg.cn/large/005KhhCvly1h5zm9dyfyuj32801o0u0x.jpg']",,
4811568749216350,M4QXgCFAO,7076301142,诸川千世,#微博##校园##唐山##学校##中秋##假期##放假##高中生活#@中国妇女报@Vista看天下@人民日报@人民网@央视新闻@九派新闻@电商报学校中秋放假放一天，实打实的一天，晚上回去晚上回来，还说什么团圆？时间都花在路上了，还有什么时间团圆？本来就应该是三天，凭什么不让我们在家里多待会儿！！对，法律上是写一天是法定节假日，但是他们连晚上都不给我们！占了我们当天的时间了，学生都挺惨了，凭什么啊！,,,"中国妇女报,Vista看天下,人民日报,人民网,央视新闻,九派新闻,电商报","微博,校园,唐山,学校,中秋,假期,放假,高中生活",2,0,1,2022-09-08 23:27,OPPO R9s Plus,,,
4811566845789764,M4QUcoibi,6989799515,小魚干pp_,#校园##爆美好的生活#,,,,"校园,爆美好的生活",0,2,2,2022-09-08 23:19,Android,"['https://wx3.sinaimg.cn/large/007D2u9Rgy1h5zlu4a1wbj335s35sqs0.jpg', 'https://wx2.sinaimg.cn/large/007D2u9Rgy1h5zlukkmvdj30sg23u4qp.jpg', 'https://wx2.sinaimg.cn/large/007D2u9Rgy1h5zlu5tkfyj30yk0sgjso.jpg', 'https://wx4.sinaimg.cn/large/007D2u9Rgy1h5zluqj3q1j32c0340qv5.jpg', 'https://wx3.sinaimg.cn/large/007D2u9Rgy1h5zluhew8oj32c0340gtb.jpg', 'https://wx1.sinaimg.cn/large/007D2u9Rgy1h5zluzoivxj326t2x2u0y.jpg']",,
4811560843746107,M4QKwfIx5,3022874197,九云祥瑞99,"#校园河南一学校安排80个学生住一间宿舍,不是个别现象,更不是成本问题!#校园河南一学校安排80个学生住一间宿舍,不是个别现象,更不是成本问题!",,,,"校园 河南一学校安排80个学生住一间宿舍,不是个别现象,更不是成本问题! ",0,0,0,2022-09-08 22:56,UC浏览器Android,"['https://wx3.sinaimg.cn/large/b42d6655ly1h5zl7n3iuvj20k00zkmxm.jpg', 'https://wx2.sinaimg.cn/large/b42d6655ly1h5zl8en0qzj20dx0ilq4a.jpg']",,
4811559186996622,M4QHQtm8K,6041091654,楠柯一梦YG,#校园#慢煮岁月与陪伴，随遇随喜随安…L楠柯一梦YG的微博视频,,,,校园,0,0,2,2022-09-08 22:49,iPhone 13,,"http://f.video.weibocdn.com/o0/vSD5iwqElx07Z3LMf0EE01041200EAC40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154492&ssig=GkSv8XknFE&KID=unistore,video",
4811556480619141,M4QDu2B49,7718528669,暴躁的大飞飞,这样的白色polo衫小时候也穿过，你长成了我能想象到的最好的样子！#向全世界安利#严浩翔#校园#颜值#流量@DOU+小助手L暴躁的大飞飞的微博视频,,,DOU,"向全世界安利,校园",0,0,0,2022-09-08 22:38,微博视频号,,"http://f.video.weibocdn.com/o0/9y3pE6Zklx07Z3L1brfi010412001cW20E010.mp4?label=mp4_720p&template=966x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154492&ssig=5DEwT1SbBZ&KID=unistore,video",
4811556280602801,M4QDa2wOB,5979423517,李冰一程,我在改卷子，给李晓歌改完了，她考了93分怕有人比她分高，就在旁边看着我改卷子，正好改到靳朝善卷子，她就一直在说错错错，靳朝善就跪地上给她磕了个头说，姐求求你别咒我了。这一行为惊呆了一众小伙伴#校园#,,,,校园,0,0,1,2022-09-08 22:37,OPPO Reno4 Pro 5G,,,
4811553688522763,M4QyYzL9V,1698079852,广州校园事,#法考延期#，一些城市法考已确定延期，延期少则一月，多则一年！分享法考30天高性价比抢分攻略这个时候分秒必争，抢分复习攻略来啦#校园#,,,,校园,75,36,99,2022-09-08 22:27,校园超话,"['https://wx2.sinaimg.cn/large/6536a46cgy1h5zkf1yqroj20qo0eldhf.jpg', 'https://wx1.sinaimg.cn/large/6536a46cgy1h5zkf2b89tj20u014f0uc.jpg', 'https://wx2.sinaimg.cn/large/6536a46cgy1h5zkf2pzobj20u014qq5f.jpg', 'https://wx3.sinaimg.cn/large/6536a46cgy1h5zkf34ze1j20u014qmzf.jpg', 'https://wx1.sinaimg.cn/large/6536a46cgy1h5zkf1p4qrj20u014dmzh.jpg', 'https://wx1.sinaimg.cn/large/6536a46cgy1h5zkf3i7kmj20u014zdi8.jpg', 'https://wx4.sinaimg.cn/large/6536a46cgy1h5zkf3vw1yj20u014wgnm.jpg', 'https://wx4.sinaimg.cn/large/6536a46cgy1h5zkf10xqjj20u014ptb2.jpg', 'https://wx2.sinaimg.cn/large/6536a46cgy1h5zkf46tvkj20u014qmxd.jpg']",,
4811208325335390,M4HzWmnYG,7091544516,CH001317,希望永远年轻，永远热泪盈眶！#音乐节##校园##蹦迪#LCH001317的微博视频,,,,"音乐节,校园,蹦迪",0,0,0,2022-09-07 23:35,微博视频号,,"http://f.video.weibocdn.com/o0/NdT4Dr23lx07Z2e0HZ8s01041200s6Dh0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154505&ssig=4zivaaKZYi&KID=unistore,video",
4811204990599457,M4Huz2vWF,6090644843,燃爆视界,竟然有这么多作弊手段，感觉这么多年学白上了影视解说#搞笑##喜剧##日剧##校园#L燃爆视界的微博视频,,,,"搞笑,喜剧,日剧,校园",0,0,0,2022-09-07 23:21,微博视频号,,"http://f.video.weibocdn.com/o0/fsA7uvjRlx07YPZ5ydva01041200kClt0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154505&ssig=zthmPsZNv5&KID=unistore,video",
4811197893052307,M4Hj7cO2L,5966653894,雷牧歌,报告快乐在加载#校园#,,,,校园,0,0,0,2022-09-07 22:53,iPhone客户端,['https://wx1.sinaimg.cn/large/006vNtf8ly1h5yfj6ag3pj30u0140dnh.jpg'],,
4811186350590291,M4H0v2tyP,3222945932,大展鸿图英才教育智能家居,我发布了：营山希望中学开展2022级新生思想文化专题教育活动#校园时光#校园文化#校园##快手#@快手L大展鸿图英才教育恒温泳池的快手视频,,,快手,"校园时光 ,校园 ,快手",0,0,0,2022-09-07 22:07,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3x2f32ixis289x6&a=3xrm7v2j7a8qbq4&f=3xrm7v2j7a8qbq4&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5246693648829602695&shareResourceType=PHOTO_SELF&shareToken=X5xqFzeuRbjW1Xo,
4811186162109966,M4H0c8QTI,3639495185,我爱螺gjx,真的很想回学校，谁懂#校园#,,西安·MOMO PARK,,校园,0,4,12,2022-09-07 22:07,HUAWEI Mate 30 5G,"['https://wx4.sinaimg.cn/large/d8ee4a11ly1h5ye6ixt3cj22402tcb2a.jpg', 'https://wx3.sinaimg.cn/large/d8ee4a11ly1h5ye6k0gmzj22402tcqv6.jpg', 'https://wx2.sinaimg.cn/large/d8ee4a11ly1h5ye6lknn1j22tc2rl150.jpg', 'https://wx4.sinaimg.cn/large/d8ee4a11ly1h5ye6mascpj21nc2bpgnf.jpg', 'https://wx4.sinaimg.cn/large/d8ee4a11ly1h5ye6mslicj22402tcgno.jpg', 'https://wx3.sinaimg.cn/large/d8ee4a11ly1h5ye6nhr2hj21kf27ahav.jpg', 'https://wx1.sinaimg.cn/large/d8ee4a11ly1h5ye6pbcppj22tc2tcnpf.jpg', 'https://wx1.sinaimg.cn/large/d8ee4a11ly1h5ye6tm5zlj22tc2nax75.jpg', 'https://wx1.sinaimg.cn/large/d8ee4a11ly1h5ye6v1bjqj22tc240e81.jpg']",,
4811179102306937,M4GOO9G8F,3236981763,日落而息后看海,朋友圈有老师不能更的太频繁，于是转战微博#校园#,,,,校园,0,0,1,2022-09-07 21:39,Note 10 Pro,"['https://wx4.sinaimg.cn/large/c0f06c03ly1h5yddzl6ukj23kg2ogqv6.jpg', 'https://wx3.sinaimg.cn/large/c0f06c03ly1h5yde9tu7mj23kg2og148.jpg', 'https://wx4.sinaimg.cn/large/c0f06c03ly1h5ydebgdxij23kg2ogx6q.jpg', 'https://wx3.sinaimg.cn/large/c0f06c03ly1h5ydedqjfvj23kg2ogqb8.jpg']",,
4811174057347075,M4GGFuPjd,6571149472,十二夜的猫,刷抖音（dy孜罗拉）看这个想起来我小学期末考数学（小时候最怕数学）下午考数学害怕的当场吐在考场，我班主任看到我惨白的脸快吓死了，叫我别考了，结果我也不知道哪来的倔强非要坚持考完，考完班主任把我妈喊来接我就是这种感觉#校园##内容过于真实#O网页链接,,,,"校园,内容过于真实",0,2,1,2022-09-07 21:19,iPhone客户端,,,
4811172722771777,M4GEwbD45,7743206608,先锋文宣乐山,#校园##你好新同学##校园生活#校园正能量摄影露从今夜白，月是故乡明#plog纪念册#,,,,"校园,你好新同学,校园生活,plog纪念册",1,2,10,2022-09-07 21:13,摄影超话,['https://wx3.sinaimg.cn/large/008s1HLaly1h5ycnzp0s2j30j60y115a.jpg'],,
4811169398000416,M4Gz9xzgY,7766099232,卓涵影视,《老师来了》正式定档9月11，有梦想的青春，让我们一起追寻吧！#青春##校园##跳水##教师节#,,达州,,"青春,校园,跳水,教师节",0,0,0,2022-09-07 21:00,Note 9 Pro 一亿像素,"['https://wx2.sinaimg.cn/large/008tzLb2ly1h5yc7dtdx6j30u00gv455.jpg', 'https://wx3.sinaimg.cn/large/008tzLb2ly1h5yc7g3inkj30u00k1jsl.jpg', 'https://wx2.sinaimg.cn/large/008tzLb2ly1h5yc7ilrp8j30u00k1dlg.jpg', 'https://wx2.sinaimg.cn/large/008tzLb2ly1h5yc7khod8j30u00k1q51.jpg', 'https://wx2.sinaimg.cn/large/008tzLb2ly1h5yc7lpiy1j30u00k1wex.jpg']",,
4811168935315684,M4GypmiQQ,7032216660,Todo_el_tiempo,#hi九月##校园#黑龙江中医药大学清相册内存了，先发出来一波～,,,,"hi九月,校园",0,0,0,2022-09-07 20:58,iPhone客户端,"['https://wx3.sinaimg.cn/large/007FUsNmly1h5yc7o9781j30ty1400v7.jpg', 'https://wx3.sinaimg.cn/large/007FUsNmly1h5yc7oifzrj30u01hc7k6.jpg', 'https://wx4.sinaimg.cn/large/007FUsNmly1h5yc7opl8jj30u01hcai4.jpg', 'https://wx3.sinaimg.cn/large/007FUsNmly1h5yc7p0s8ej30rp0v73zf.jpg', 'https://wx4.sinaimg.cn/large/007FUsNmly1h5yc7nydo3j30u01hcjud.jpg']",,
4810849749046670,M4yfABXs2,7317488918,瓦罐香锅,#2022##校园##鬼片#,,,,"2022,校园,鬼片",0,0,0,2022-09-06 23:50,iPhone XR,['https://wx2.sinaimg.cn/large/007Zdr8Ogy1h5xbkaddgrj30g50ofjuf.jpg'],,
4810848499139075,M4ydzClur,6461120391,捧人间月,“真正喜欢的人和事都值得我们去坚持”#情侣##校园#L捧人间月的微博视频,,,,"情侣,校园",0,0,1,2022-09-06 23:45,微博视频号,,"http://f.video.weibocdn.com/o0/ls27jHnslx07Z0DOuZMA010412007MGs0E010.mp4?label=mp4_720p&template=592x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665154515&ssig=7Q8PRtBfzb&KID=unistore,video",
