id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.8123E+15,M59TZhhCb,5120025748,股市人生牛股多多,【碳酸锂逼近50万元/吨能源金属、电池行业景气度最高】电池级碳酸锂价格再次逼近50万元/吨关口，截至9月9日，华东地区价格已连续6日保持在49.98万元/吨。两年前，电池级碳酸锂价格仅为4万元/吨，两年间涨幅达1149.50%。锂价格高企带动A股相关行业景气度。据iF-i-nd金融终端数据，申万二级行业中，能源金属、电池成为行业景气度第一、第二的细分领域，且未来一段时间的行业景气度预计保持领先。记者梳理发现，新能源汽车产业链400多家上市公司中，多数企业订单实现环比同比双增长。（天齐锂业和赣锋锂业赚大了）#你会因为别人的看法改变自己吗##分享欲真的很重要吗##汽车#,,,,"你会因为别人的看法改变自己吗,分享欲真的很重要吗,汽车",0,0,0,2022/9/10 23:41,Redmi K40 Pro,['https://wx4.sinaimg.cn/large/005Av6Asly1h61xshkdx7j30z80h4q4a.jpg'],,
4.81229E+15,M59QfChzG,1989351964,车界亮点,在沈阳与老友叙旧，打卡当地的美食小馆。本想第二天打卡沈阳故宫，不曾想因为天气、停车等原因只能遗憾放弃。最终一天奔袭近1000公里，晚上10点返回济南。至此，一揽万里之旅全部目标达成。感谢大家关注和支持。#汽车##车界亮点##一揽万里之旅##汽车资讯##一汽大众##揽境#L车界亮点的微博视频,,,,"汽车,车界亮点,一揽万里之旅,汽车资讯,一汽大众,揽境",0,0,2,2022/9/10 23:32,微博视频号,,"http://f.video.weibocdn.com/o0/0zta6bZVlx07Z70tRwUU01041201XisA0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145809&ssig=s0ggVvzaAC&KID=unistore,video",
4.81229E+15,M59NBkOsC,6063043126,打开引擎盖的男人,#汽车##汽车资讯#很喜欢的一句话：上天让你承受的一定是你可以承受的！！L打开引擎盖的男人的微博视频,,,,"汽车,汽车资讯",0,0,1,2022/9/10 23:25,微博视频号,,"http://f.video.weibocdn.com/o0/sHzGXHSilx07Z6ZKtYQo010412009ji30E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145809&ssig=mi3LJGAQ32&KID=unistore,video",
4.81229E+15,M59Iv4OAg,5945397528,车评人-王佑俊,新能源是我们的未来，但在油价不低的今天，仍有很多人就是不买纯电车，因为他们卡在了这六点上！#汽车##微博视频号计划#L车评人-王佑俊的微博视频,,,,"汽车,微博视频号计划",0,1,1,2022/9/10 23:13,微博视频号,,"http://f.video.weibocdn.com/o0/ERgo10Gnlx07Z6ZaGTg401041200UwaQ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145809&ssig=WbZI1Kwn%2FB&KID=unistore,video",
4.81228E+15,M59n671Gc,5714719345,Oneline科技,比亚迪：你们真tm坚持不住了吗？据统计，22年上半年，蔚来每卖出一辆亏损10.89万，净亏损45.70亿元，小鹏每卖出一辆亏损6.39万，净亏损44.02亿元，理想每卖出一辆车亏1.04万元，净亏损5.95亿元。可以看到，新势力车企混的也不行，尤其是理想，前两天理想总裁直接抛售60万股，持股比例由1.71%降至1.68%，但截至目前并未有人对此公开回应。大概率是因为理想One停产的事儿吧，毕竟整个汽车全都传遍了，车主们也是人心惶惶，但作为公司高层，这时应该增持公司股份增加公司信心啊，他这种操作着实看不懂，估计股价没几天也会大跌。我还是那句话：理想不理想，蔚来没未来。也有网友庆幸，幸亏我没有买他们的车，看来还是为他们省钱了！想想我的伟大都为他们三家高兴。对此你们怎么看？#汽车##科技#,,,,"汽车,科技",0,2,4,2022/9/10 22:20,iPhone 13,['https://wx1.sinaimg.cn/large/006eKnyFly1h61u42b6d1j30z80nh7im.jpg'],,
4.81227E+15,M59eM7X0z,6183820841,热力发动机,劳斯莱斯浮影，价值1.8亿，全球限量3台#汽车##我与汽车日常#L热力发动机的微博视频,,,,"汽车,我与汽车日常",0,0,0,2022/9/10 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/gEFgB3kjlx07Z6yvmO8E01041202kmOZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145809&ssig=PRCRjLF5%2By&KID=unistore,video",
4.81226E+15,M5944ttLb,3917381263,木糖纯-Sun,喂，交警大队么，前方多部车辆连续变道，反复穿插！你们管不管？#汽车##我与汽车的日常#L木糖纯-Sun的微博视频,,,,"汽车,我与汽车的日常",2,7,7,2022/9/10 21:33,微博视频号,,"http://fb.video.weibocdn.com/u8/FWt5WZ9fgx07Z6SnzCOc01041201a5m20E018.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145809&ssig=9V4Qod1RUf&KID=unistore,video",
4.81226E+15,M591p05tD,7020063315,轩奇街拍,夜晚下的广州塔偶遇大晶哥的#法拉利拉法#原厂#排气声浪#听到耳朵怀孕系列#汽车#L轩奇街拍的微博视频,,佛山,,"法拉利拉法,排气声浪 ,汽车",0,1,2,2022/9/10 21:27,iPhone客户端,,"http://fb.video.weibocdn.com/u8/Nl6bb0gegx07Z6RTDpIQ01041200eXJ80E018.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145809&ssig=UUTW4KfiEg&KID=unistore,video",
4.81225E+15,M58LD9GEN,1633909557,bbbbbbbb103,爆笑喷车:酷路泽车主还是向生活低下了头…#酷路泽#越野#汽车#搞笑O网页链接,,,,"酷路泽 ,汽车 ",0,0,0,2022/9/10 20:48,荣耀30 Pro 5G,,,
4.81225E+15,M58zPAKhM,5534976700,天邢者一踏雪寻牛,蔚来汽车，卖一辆车，蔚来公司亏损10.9万小鹏汽车，卖一辆车，小鹏公司亏损6.4万理想汽车，卖一辆车，理想公司亏损1.1万比亚迪，卖一辆车，利润0.56万特斯拉，卖一辆车，利润6.8万人民币五菱宏光mini，卖一辆车，利润几百元，不管是汽车，手机，家电，都存在规模效应，比亚迪，特斯拉，规模上去了平均每辆车的成本降低了。其他特斯拉的每辆车利润超过了奔驰，宝马丰田，大众，本田单车利润快要接近保时捷了。保时捷因为在德国生产人工成本很高，保时捷汽车工人平均年薪在40万人民币左右，导致了保时捷的净利润不高。特斯拉上海工厂的产量最近两年接近全球产量的一半，特斯拉上海的汽车工人，平均年薪在11万左右但工作效率比保时捷工人还要高。这是特斯拉取得高利润的原因之一。而比亚迪，五菱宏光mini，采取的都是薄利多销的策略。#汽车##财经#,,,,"汽车,财经",3,4,11,2022/9/10 20:19,,['https://wx1.sinaimg.cn/large/0062AchKgy1h61ry3hp5sj30no0frwhe.jpg'],,
