id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81229E+15,M59N5C5BX,6527558059,法律资料馆_看置顶找我,"上世纪80年代的粪坑案#法律咨询##法律#【法律资料馆，全/网法律资料汇总，法律人必-备！】《法税同审(李建峰》《律师必学营销实务:手把手教你重-塑品牌,提升案源》《—版<刑诉法解释>新旧对照表》《何为证据确实充分-》《资产证券化核心问题法律实务探讨》L法律资料馆_看置顶找我的微博视频",,,,"法律咨询,法律",0,0,0,2022/9/10 23:24,微博视频号,,"http://f.video.weibocdn.com/o0/lN12dy31lx07Z6ZWUztC01041200jaFV0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=Aa5VlFNPMY&KID=unistore,video",
4.81227E+15,M59amcDDF,6527558059,法律资料馆_看置顶找我,"年轻的时候真帅#律师##法律#【法律资料馆，全/网法律资料汇总，法律人必-备！】《“活-化”的网络时代著作权保护多板块攻读三大著作权保护案例结合探讨具体保护方式》《国有企业资产交易中的法律风险及防范》《权益性投融-资各种税收优惠政策的解析与适用》《私人财富保护与传承一法律风险防范及保险法律实务》《并gou重组班课件,音频》L法律资料馆_看置顶找我的微博视频",,,,"律师,法律",0,0,0,2022/9/10 21:49,微博视频号,,"http://f.video.weibocdn.com/o0/JHop5rkblx07Z6ToxxbO0104120064bl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=sLXByZjluu&KID=unistore,video",
4.81222E+15,M57Snj3NA,6527558059,法律资料馆_看置顶找我,不仅违反道德，而且还是犯zui#法律##法律咨询#【法律资料馆，全/网法律资料汇总，法律人必-备！】《地方政-府融-资监管与实务全体系》《<律师保险业务基本技能>》《家族财富风险应对律师如何服务VIP高净值客户？》《并gou重组及证-监会相关法律汇编》《借贷性投融-资及股债融-合投-资方式的实懆要领》L法律资料馆_看置顶找我的微博视频,,,,"法律,法律咨询",0,0,0,2022/9/10 18:32,微博视频号,,"http://f.video.weibocdn.com/o0/SqbqP2ATlx07Z6FRzDni01041200dtt50E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=T5ftJE%2BY2d&KID=unistore,video",
4.81221E+15,M57zi6OKY,6527558059,法律资料馆_看置顶找我,公平和正义，不仅仅要在书上得到体现，更重要的是要在每个个案中得到回响。#法律咨询##法律#【法律资料馆，全/网法律资料汇总，法律人必-备！】《刑事案件》《跨境业务律师如何做好债务重组安排？》《法律检索》《公司控制权设计与法律纠-纷实务16课视-频》《刑事法庭上辩护律师如何占据优势》L法律资料馆_看置顶找我的微博视频,,,,"法律咨询,法律",0,0,0,2022/9/10 17:45,微博视频号,,"http://f.video.weibocdn.com/o0/PFUvdHKylx07Z6CDmrVu01041200idyk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=TeDQryAt3f&KID=unistore,video",
4.81219E+15,M57deezUV,6527558059,法律资料馆_看置顶找我,“虽不能至，心向往之”#法律咨询##法律#【法律资料馆，全/网法律资料汇总，法律人必-备！】《专家名家法律讲座视-频》《<手把手教尽调>》《上市公司流通股协议转让要点》《老路看得清的职业发展》《60分钟新型案例详解，应对美国反垄断法5大实用技巧》L法律资料馆_看置顶找我的微博视频,,,,"法律咨询,法律",0,0,0,2022/9/10 16:50,微博视频号,,"http://f.video.weibocdn.com/o0/G9ImGMuolx07Z6yTVI5G01041200sSdO0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=%2BSoDJNi7kq&KID=unistore,video",
4.81218E+15,M56Oz9RPK,6527558059,法律资料馆_看置顶找我,为什么坏人看似没有事，罗老师用一本书来告诉你。#法律##律师#【法律资料馆，全/网法律资料汇总，法律人必-备！】《律师函模板》《中伦合伙人解读阿-里巴巴集团垄断案》《现行民事法律汇编》《建设工程法律实务与技巧4视-频》《股权转让法律原理、法律适用、典型案例与风险规避》L法律资料馆_看置顶找我的微博视频,,,,"法律,律师",0,0,0,2022/9/10 15:49,微博视频号,,"http://f.video.weibocdn.com/o0/GqAk5aoAlx07Z6uJcsPK01041200enBQ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=265Ca4%2FML%2B&KID=unistore,video",
4.81215E+15,M5664mwtN,6527558059,法律资料馆_看置顶找我,"我是开五金店的老板，张三杀气腾腾来买东西。#法律##律师#【法律资料馆，全/网法律资料汇总，法律人必-备！】《公司股权、控制权结构顶层设计实务》《刑事案件代理全流程:助你掌握办案要点,学完即用》《民事诉讼证据运用理论与实务技巧》《刑案庭前准备和庭前会议技巧》《要件诉讼九步法》L法律资料馆_看置顶找我的微博视频",,,,"法律,律师",0,0,0,2022/9/10 14:00,微博视频号,,"http://f.video.weibocdn.com/o0/LJGMedIulx07Z6ncu080010412007qa10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=TkumzCoGau&KID=unistore,video",
4.81214E+15,M55NXvnWf,6527558059,法律资料馆_看置顶找我,律师为什么要为坏人做辩护。#法律咨询##法律#【法律资料馆，全/网法律资料汇总，法律人必-备！】《实用易上手的案件取证指南，让你一次性学透取证技巧！》《建设工程施工合同履行抗辩权浅析2022》《律师调查取证能力系统讲座3课视-频》《律师的诉讼思路》《股权激励机制》L法律资料馆_看置顶找我的微博视频,,,,"法律咨询,法律",0,0,0,2022/9/10 13:15,微博视频号,,"http://f.video.weibocdn.com/o0/CjuFXICslx07Z6k8uxoI01041201eUwh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=givG7O8BUj&KID=unistore,video",
4.81212E+15,M55gP0sAe,1789725061,天津张黎明律师,裸奔会受到什么处罚？#法律咨询#离婚律师在线法律诊断#离婚##法律咨询##法律##律师##v光计划#L天津张黎明律师的微博视频,,,,"法律咨询 ,离婚,法律咨询,法律,律师,v光计划",0,1,0,2022/9/10 11:54,微博视频号,,"http://f.video.weibocdn.com/o0/cWcRLD29lx07Z6ewZvBe010412006QNo0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=lq5pQrbyj3&KID=unistore,video",
4.81211E+15,M5575yinK,7500219428,三方律师事务所,劳动仲裁需要哪些证据？#普法宣传##法律##法律常识##劳动仲裁#L三方律师事务所的微博视频,,,,"普法宣传,法律,法律常识,劳动仲裁",0,0,0,2022/9/10 11:30,微博视频号,,"http://f.video.weibocdn.com/o0/oQVM69hylx07Z4KOb4Uw01041200lk820E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665150747&ssig=diKo0cUfx%2F&KID=unistore,video",
