id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.82203E+15,M9f4B4P7b,5078793066,十月船长丶,#英雄联盟#英雄联盟#游戏##lol#上来就是团战5杀，这波船长是真的秀十月船长精彩集锦62L十月船长丶的微博视频,,,,"英雄联盟,游戏,lol",0,1,1,2022/10/7 20:13,微博视频号,,"http://f.video.weibocdn.com/o0/va7QCgaplx07ZNQOf0ME01041201IZ0m0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148694&ssig=%2BIi2CjZ%2B2%2F&KID=unistore,video",
4.82202E+15,M9eLA42tS,3217695997,看众生逍遥,今天一个朋友有点沮丧地打电话给我，告诉我他把玩了10年的游戏账号删除了。因为，不删除他老婆不同意复婚。没错，1年前，朋友就是因为游戏中找了一个老婆和现实的老婆离婚的。朋友后悔了求了他老婆大半年，直到他承诺删除游戏账号。现在，很多人都喜欢沉浸在虚拟世界（或者别人给你的虚拟世界）无法自拔。却忘了真实世界的人，直到把自己变的一团糟。#婚姻##游戏##虚拟#,,,,"婚姻,游戏,虚拟",0,0,0,2022/10/7 19:26,vivo Y50 闪充强续航,,,
4.82201E+15,M9eGKlJ7T,7497698803,陈皓解说youku,晚上好！！！#游戏##游戏博主##陈皓解说#,,,,"游戏,游戏博主,陈皓解说",0,0,0,2022/10/7 19:13,新版微博 weibo.com,,,
4.822E+15,M9epvCmkG,7382535180,TRENDBEAT潮玩生活,万代南梦宫今日公开了《海贼王：时光旅诗》新预告，游戏将于2023年1月13日推出，登陆PS4、PS5、XboxSeriesX/S以及Steam平台。原著及动画皆深受大众喜爱的“ONEPIECE”，纪念连载25週年推出全新改编RPG！#潮玩生活##游戏##海贼王#,,,,"潮玩生活,游戏,海贼王",0,0,1,2022/10/7 18:31,iPhone 14 Pro Max,"['https://wx1.sinaimg.cn/large/0083CmE4gy1h6wwj5t53hj30he09stex.jpg', 'https://wx4.sinaimg.cn/large/0083CmE4gy1h6wwj5fsf8j30he09swjp.jpg']",,
4.822E+15,M9eoX22Q0,5540452645,dsm大司马解说,你们看这个人多捞哦！#大司马##游戏#Ldsm大司马解说的微博视频,,,,"大司马,游戏",2,24,90,2022/10/7 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/f0Cb5Z6rlx07ZNnUu3Ak01041200c3JM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1665148666&ssig=toNMRLeiVp&KID=unistore,video",
4.82199E+15,M9e6xdYRz,5426571460,不知名的心痛,有没有厉害姐姐带我打游戏啊，我不想努力了，我是小菜狗王者荣耀#游戏##交友#,,,,"游戏,交友",0,1,0,2022/10/7 17:44,Redmi K50 Pro,,,
4.82199E+15,M9e22kAJK,6248069428,永劫无间菌,一个喜欢拼刀的玩家的想法#游戏##永劫无间#,,,,"游戏,永劫无间",0,0,0,2022/10/7 17:33,微博 weibo.com,['https://wx2.sinaimg.cn/large/006OQghmly1h6wuv4yvlbj30o40gowif.jpg'],,
4.81629E+15,M6PHtun5R,5820047591,爱蓉蓉-,注意看左上角危险警告#游戏视频##游戏#游戏L爱蓉蓉-的微博视频,,,,"游戏视频,游戏",0,3,1,2022/9/21 23:56,游戏超话,,"http://f.video.weibocdn.com/o0/zLD5WUuulx07ZozWhrLq01041200Fwiv0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665148795&ssig=Yt1tSrZkdY&KID=unistore,video",
4.81628E+15,M6PA633up,3034686537,听话小宝宝·,江南百景1??1??6??登高画碑|弄水轩|夕照石|民宅|芭蕉树扬州府?花灯边江南百景图#江南百景图布局##游戏#,,,,"江南百景图布局,游戏",0,0,0,2022/9/21 23:38,iPhone客户端,['https://wx2.sinaimg.cn/large/b4e1a449ly1h6enilulpij21400u0jv4.jpg'],,
4.81628E+15,M6PA3pxqr,6294866731,阿门很凶,#游戏#小向说好吃鸡，结果加班，只有我和辣辣吃鸡。第一局两个队友死太早了，我们最后被迎面两个人杀了。辣辣说都怪队友没用。我说他们一千的伤害，起码是打出乐园的人。第二局捡了好多物资结果被杀了。辣辣也被毒死了，有个队友也开麦还挺有意思的。后面小向一起过来玩，跟上局队友一起，还捡了一辆自行车。王者又是一如既往地没有我们想要的英雄，越越玩个米莱狄上去就残血，不过老是关键清兵就卡顿，提出批评。小向沉迷于，这是些什么英雄。确实，都是些什么英雄,,,,游戏,0,2,1,2022/9/21 23:38,OPPO Reno7 SE 5G,,,
