id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81339E+15,M5Cgx0igU,5346220205,Gialita,#电影#KateWinslet1997年《泰坦尼克号》是值得用放大镜反复观摩的美貌,,,,电影,15,2,55,2022/9/13 23:53,,"['https://wx3.sinaimg.cn/large/005POc69ly1h65ex3kh0dj31200sigok.jpg', 'https://wx1.sinaimg.cn/large/005POc69ly1h65ex3rh5vj30hs0q5ta1.jpg', 'https://wx3.sinaimg.cn/large/005POc69ly1h65ex3zlu0j30u011htbv.jpg', 'https://wx3.sinaimg.cn/large/005POc69ly1h65ex4a7a4j30hu0mnk9e.jpg', 'https://wx1.sinaimg.cn/large/005POc69ly1h65ex4p8msj30dw0i2409.jpg', 'https://wx4.sinaimg.cn/large/005POc69ly1h65ex4hsidj310k19ptes.jpg', 'https://wx4.sinaimg.cn/large/005POc69ly1h65eyb8phjj30zk0o2gmp.jpg', 'https://wx3.sinaimg.cn/large/005POc69ly1h65eybsp7jj31g51oujyc.jpg', 'https://wx4.sinaimg.cn/large/005POc69ly1h65ex4y03ej30fc0n0wfn.jpg']",,
4.81339E+15,M5CdhvS41,5937005400,电影半漫谈,#一千零一部好电影#男女被迫参加sw游戏，过程烧脑刺激#电影##电视剧##电影推荐##电影找出处#L电影半漫谈的微博视频,,,,"一千零一部好电影,电影,电视剧,电影推荐,电影找出处",0,0,0,2022/9/13 23:46,微博视频号,,"http://f.video.weibocdn.com/o0/NSmNShT9lx07Z7OneFVm01041200siFg0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665144482&ssig=3KLb%2BYNO1x&KID=unistore,video",
4.81339E+15,M5CcOhQXx,2711780105,我叫肖肖呀,这是我见过最有爱心的劫匪#电影#韩版罗马假日L我叫肖肖呀的微博视频,,,,电影,0,0,0,2022/9/13 23:44,微博视频号,,"http://f.video.weibocdn.com/o0/iDvqoT3Dlx07ZbO0EV2001041200qXyD0E010.mp4?label=mp4_720p&template=1080x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665144482&ssig=bwa%2Bq59LYc&KID=unistore,video",
4.81338E+15,M5CbAkf49,7359581645,代号i66,电影#电影##余华##活着#在人间有谁活着不像是一场炼狱L代号i66的微博视频,,,,"电影,余华,活着",0,0,0,2022/9/13 23:41,电影超话,,"http://f.video.weibocdn.com/o0/qeUHEhdSlx07ZbNOqBvW01041202eauB0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665144482&ssig=Yo%2BAbWTUQ8&KID=unistore,video",
4.81338E+15,M5Cbqgm85,7714225326,高飞的纸篓,美学《思想主宰生命的人》（上）讓-呂克·戈達爾（Jean-LucGodard，1930年12月3日-2022年9月13日），出生於法國巴黎，導演、編劇、制作人，畢業於索幫大學，是法國“新浪潮”電影的奠基人，其一生執導的主要作品：1960年，個人執導首部電影《精疲力盡》，獲第10屆柏林國際電影節銀熊獎-最佳導演獎。1962年，劇情片《随心所欲》，獲第27屆威尼斯國際電影節主競賽單元-評審團特别獎。1965年，執導犯罪片《狂人皮埃羅》，獲第30屆威尼斯國際電影節主競賽單元-金獅獎。1969年，執導愛情片《愛情與憤怒》。1972年，執導劇情片《萬事快調》。1980年，執導劇情片《人人為己》，獲第33屆戛納國際電影節主競賽單元-金棕櫚獎提名。1983年，執導愛情喜劇片《芳名卡門》，獲第40屆威尼斯國際電影節主競賽單元-金獅獎。#读书超话#/#美学#/#文学#/#哲学#/#电影#/#我们读书吧#/#读书笔记#,,杭州·浙大华家池校区,,"读书超话,美学,文学,哲学,电影,我们读书吧,读书笔记",0,0,0,2022/9/13 23:41,美学超话,"['https://wx1.sinaimg.cn/large/008q46p8gy1h65ekr58kuj30820c83yr.jpg', 'https://wx3.sinaimg.cn/large/008q46p8gy1h65ekrhswzj30go0m80ud.jpg', 'https://wx4.sinaimg.cn/large/008q46p8gy1h65ekrubzaj30j00p1q7e.jpg', 'https://wx2.sinaimg.cn/large/008q46p8gy1h65eks4k7gj309q0d6t91.jpg']",,
4.81338E+15,M5C7hsc6T,5346220205,Gialita,#电影#KateWinslet1996年《绝恋》书卷氛围感,,,,电影,26,3,53,2022/9/13 23:31,,"['https://wx1.sinaimg.cn/large/005POc69ly1h65ea3qr1fj30mp12m77m.jpg', 'https://wx2.sinaimg.cn/large/005POc69ly1h65ea3ingwj30ov12mjuf.jpg', 'https://wx4.sinaimg.cn/large/005POc69ly1h65ea3y40rj30i70rsab1.jpg', 'https://wx2.sinaimg.cn/large/005POc69ly1h65ea3ag1wj30ji0sgafq.jpg', 'https://wx4.sinaimg.cn/large/005POc69ly1h65ea46aoaj30u019hjyo.jpg', 'https://wx4.sinaimg.cn/large/005POc69ly1h65ea32a1bj30h80a0weu.jpg', 'https://wx4.sinaimg.cn/large/005POc69ly1h65ea4ggldj30u00j5wik.jpg', 'https://wx4.sinaimg.cn/large/005POc69ly1h65ebfqbumj30u00jz78s.jpg', 'https://wx1.sinaimg.cn/large/005POc69ly1h65ebfzj35j30u011pjsu.jpg']",,
4.81338E+15,M5C6h7rkj,6005978352,凤成一,今年看的第163部电影《甘草披萨》与164部电影《消失的爱人》...两部佳作，风格迥异而又极其精彩.#电影#,,,,电影,0,0,0,2022/9/13 23:28,荣耀畅玩20,"['https://wx1.sinaimg.cn/large/006ystkAgy1h65ea9l99tj318g0k0q3t.jpg', 'https://wx4.sinaimg.cn/large/006ystkAgy1h65eaa934wj318g0k03yr.jpg']",,
4.81338E+15,M5C1K7KSb,1862032612,小天--王巍,"早晨不错，中午很累，下午手打人打肿了且没有鸡腿?咔#电影##健美##我要变身,你要跟我一起么?##艺人健身力上加力##艺术来源于生活#",,,,"电影,健美,我要变身,你要跟我一起么?,艺人健身力上加力,艺术来源于生活",0,4,3,2022/9/13 23:17,HUAWEI Mate Xs 5G,"['https://wx4.sinaimg.cn/large/6efc5ce4ly1h65dnyspxgj22402tcaf4.jpg', 'https://wx2.sinaimg.cn/large/6efc5ce4ly1h65dnxlwi6j22402tce81.jpg', 'https://wx1.sinaimg.cn/large/6efc5ce4ly1h65do1bf2xj22402tc4qp.jpg', 'https://wx2.sinaimg.cn/large/6efc5ce4ly1h65dq3eyghj21400u0nbt.jpg', 'https://wx3.sinaimg.cn/large/6efc5ce4ly1h65dya7kivj21810pj0u3.jpg', 'https://wx1.sinaimg.cn/large/6efc5ce4ly1h65dpfvhwyj20u0140anm.jpg', 'https://wx4.sinaimg.cn/large/6efc5ce4ly1h65dqulro7j22402tchdt.jpg', 'https://wx3.sinaimg.cn/large/6efc5ce4ly1h65dxfdpe7j22112i3q5x.jpg', 'https://wx4.sinaimg.cn/large/6efc5ce4ly1h65dugguwmj21401400xk.jpg']",,
4.81338E+15,M5BYu30iJ,5403688168,cooooooolseven,人生大事#电影#,,,,电影,0,0,0,2022/9/13 23:09,nova7SE 5G你在焦点在,,,
4.81338E+15,M5BXRh2wi,5944230989,爱电影的小靓仔,#电影##电影推荐#《世间有她》女性电影，分别聚焦在婆媳关系、婚姻和爱情上，激起观众共鸣。,,,,"电影,电影推荐",0,0,0,2022/9/13 23:08,微博 weibo.com,"['https://wx1.sinaimg.cn/large/a7eb583dly1h5zinil4lmj20u0160qgt.jpg', 'https://wx1.sinaimg.cn/large/a7eb583dly1h5zinibudsj20u0160q53.jpg', 'https://wx2.sinaimg.cn/large/a7eb583dly1h5zio3qzyfj20qy0z3ads.jpg', 'https://wx4.sinaimg.cn/large/a7eb583dly1h5zinixs4oj20u0160wg8.jpg']",,
