id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4810850089045841,M4yg8BXeF,7646583717,那年追过的剧,#骄阳伴我#肖战的新剧《骄阳伴我》会成为下一部像“沉香如屑”一样火的电视剧吗？#电视剧#｜#给视频加buff#L那年追过的剧的微博视频,,,,"骄阳伴我,电视剧,给视频加buff",0,1,3,2022-09-06 23:51,CiPhone客户端,,"http://f.video.weibocdn.com/u0/hLeSqmz0gx07Z0EfJ6Gk010412009rMP0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152076&ssig=mrZzbf%2BwWI&KID=unistore,video",
4810849741702163,M4yfA78Of,5535578752,小科来吖,#电视剧##我的团长我的团#虞啸卿放下了师座的高傲和面子，向龙文章下跪去求南天门的破解之法，眼神从充满希望到满是失望，看的我好难受O网页链接,,,,"电视剧,我的团长我的团",0,0,0,2022-09-06 23:50,微博视频号,,,
4810849417431128,M4yf3vbaU,6785322198,jg齐玉轩,英文版《西游记》电视剧，别有一番味道。#电视剧##西游记##影视剪辑#L章晓华微博的微博视频,,,,"电视剧,西游记,影视剪辑",0,0,0,2022-09-06 23:49,影视剪辑 · 视频社区,,"http://f.video.weibocdn.com/o0/pfpbsH9Qlx07VEc3vTfW01041201rVg60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152076&ssig=wmKCR%2BsuVY&KID=unistore,video",
4810848508052684,M4ydAxMS0,5583823216,影娱桥头堡,高手办事真的是八面玲珑，说话滴水不漏#精彩片段##青瓷##王志文##人际关系##电视剧#L影娱桥头堡的微博视频,,,,"精彩片段,青瓷,王志文,人际关系,电视剧",62,16,323,2022-09-06 23:45,微博视频号,,"http://f.video.weibocdn.com/o0/uM5c6Pimlx07Z0DOFTji01041201DeOf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152076&ssig=nLG6fOqD5d&KID=unistore,video",
4810847413603706,M4ybPf7ui,2492887220,苏soisoU,好先生#电视剧##时间可以磨平遗憾吗#L苏soisoU的微博视频,,,,"电视剧,时间可以磨平遗憾吗",0,0,0,2022-09-06 23:41,好先生超话,,"http://f.video.weibocdn.com/u0/HAlBOZ32gx07Z0DxeLde01041201QzsQ0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152076&ssig=mOllfB7%2FK5&KID=unistore,video",
4810847106633328,M4ybkrPDa,5696955409,小小柠檬呢i,火锅店只接待男人，酒足饭饱之后老板娘就开始挖心掏肺#金牌混剪##电视剧##影视剪辑#L小小柠檬呢i的微博视频,,,,"金牌混剪,电视剧,影视剪辑",0,0,0,2022-09-06 23:39,iPhone 11,,"http://f.video.weibocdn.com/o0/KZMAn6TPlx07Z0DsyeIM01041200Rb910E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152076&ssig=BHpBvnUp11&KID=unistore,video",
4810846154523765,M4y9NiYPX,5696955409,小小柠檬呢i,有个豪气的舅舅是什么体验～#金牌混剪##电视剧##影视剪辑#L小小柠檬呢i的微博视频,,,,"金牌混剪,电视剧,影视剪辑",0,0,0,2022-09-06 23:36,iPhone 11,,"http://f.video.weibocdn.com/o0/CucdqtjSlx07Z0DaL9PG01041201kd1W0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152076&ssig=VF5iy3Xh7P&KID=unistore,video",
4810843923422092,M4y6cemf2,5696955409,小小柠檬呢i,以为得到了富婆的青睐，结果没想到...#金牌混剪##电视剧##影视剪辑#L小小柠檬呢i的微博视频,,,,"金牌混剪,电视剧,影视剪辑",0,0,0,2022-09-06 23:27,iPhone 11,,"http://f.video.weibocdn.com/o0/fgYmmkqNlx07Z0CAi3Jm01041200mjbB0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152076&ssig=esavtN14W1&KID=unistore,video",
4810843612516506,M4y5HayEO,3702164407,追剧当家人,#剧综汇精彩#赵丽颖杨幂刘诗诗唐嫣85🌸各有各的美#电视剧#,,,,"剧综汇精彩,电视剧",18,19,19,2022-09-06 23:26,爱爱的追剧基地超话,"['https://wx1.sinaimg.cn/large/dcaa8bb7gy1h5xaul88oeg21600u0b2h.jpg', 'https://wx4.sinaimg.cn/large/dcaa8bb7gy1h5xaupuhg3g20r80gwe89.jpg', 'https://wx1.sinaimg.cn/large/dcaa8bb7gy1h5xauvbbbdg20nc0ncnpm.jpg', 'https://wx1.sinaimg.cn/large/dcaa8bb7gy1h5xauz8e3hg20ji0d0qva.jpg', 'https://wx1.sinaimg.cn/large/dcaa8bb7gy1h5xav2xmimg20qo0pj7wn.jpg', 'https://wx3.sinaimg.cn/large/dcaa8bb7gy1h5xav79awzg20l00fru14.jpg', 'https://wx2.sinaimg.cn/large/dcaa8bb7gy1h5xavafqk2g20qo0l6x6t.jpg', 'https://wx1.sinaimg.cn/large/dcaa8bb7gy1h5xaugf2r0g20qo0l91l2.jpg']",,
4810843407253715,M4y5mur1p,5696955409,小小柠檬呢i,警察酒驾罪加一等#金牌混剪##电视剧##影视剪辑#L小小柠檬呢i的微博视频,,,,"金牌混剪,电视剧,影视剪辑",0,0,1,2022-09-06 23:25,iPhone 11,,"http://f.video.weibocdn.com/o0/cbW6n7RYlx07Z0CqY4NW01041200BTbo0E010.mp4?label=mp4_720p&template=1080x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152076&ssig=AlvpJcG8KG&KID=unistore,video",
