id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.78765E+15,LAMiKkey7,6185411566,神奇的老嫂子,#新闻##社会#男子完成一亿销售额，却遭公司强制辞退，副总：不服从安排！！！L神奇的老嫂子的微博视频,,,,"新闻,社会",0,1,1,2022/7/4 23:42,微博视频号,,"http://f.video.weibocdn.com/o0/rJbuRxnXlx07XhfUZDEk01041200tO160E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198934&ssig=aLDA%2FQBXQH&KID=unistore,video",
4.78765E+15,LAMbzkG9R,7204820690,柚娜格达冰,#社会主义核心价值观##社会#我们青年一代一定要好好学习天天向上，不辜负老一辈的谆谆教诲，为下一代树立榜样！,,,,"社会主义核心价值观,社会",0,0,2,2022/7/4 23:24,iPhone客户端,,,
4.78764E+15,LALOu08yF,2813626304,子非鱼qweasd,社会的发展最根本的是人自身的发展。#社会#发展#迷失##快手#@快手LMBA与EMBA的快手视频,,,快手,"社会 ,迷失 ,快手",0,0,0,2022/7/4 22:27,快手极速版,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3x5pht36iz5v2au&a=3xvewx275hszbms&f=3x2auskxjd6hqrc&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5214324022044963404&shareResourceType=PHOTO_OTHER&shareToken=X8faEYSweauJFjP,
4.78763E+15,LALFc1X1b,2356802375,醉里挑灯看瓜,这娃未戒奶就来中国了，真可笑。幼稚，中国不是你撒野的地方。青岛机场一外国人不配合防疫还辱骂保安，警方：他喝酒了，已带走处理。#社会#L醉里挑灯看瓜的微博视频,,,,社会,1,2,2,2022/7/4 22:04,微博视频号,,"http://f.video.weibocdn.com/u0/9AKvxO2Vgx07XmrTljzi010412008yXX0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198934&ssig=E38ocQ4%2BDI&KID=unistore,video",
4.78763E+15,LALCbgN5S,5727197281,火星的主人,现在各行各业都在实行外包，你们听听我说的对不对？#职场#行业#社会##快手#@快手L说职场的快手视频,,,快手,"职场 ,社会 ,快手",0,0,0,2022/7/4 21:57,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xznp9gqf6m5rzs&a=3xk3yqhyi8jqjy9&f=3xxj8ygae782ny2&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5193776348757848993&shareResourceType=PHOTO_OTHER&shareToken=X4i9GmcjESQgPnf,
4.78763E+15,LALAu43Sj,6360563405,济南房产热闻,又是一起校园暴力，济南一男孩被多人殴打暴摔，只见视频里男孩被人一脚踹在地，其力度之大，简直残暴，还有男子把男孩抱起来，直接往地上摔，男孩手捂着头很痛苦的样子。目前涉案人员已经全部到案，等待警方通知。铅笔点评：我看了一下那个视频，心里真的不好受，这要被父母看到多心疼啊，从未见过如此残暴的校园暴力，简直就是把男孩往死里打，这伙人一定要严惩，如果不严惩的话，他们长大后就会发展成唐山那帮人，打起人来一点都不手软！#社会#,,,,社会,3,2,4,2022/7/4 21:53,iPhone 13,['https://wx1.sinaimg.cn/large/006Wsh6lly1h3v8is7h4ig308k0e81l3.jpg'],,
4.78763E+15,LALAn0N8M,2520106745,楼市搜索,又是一起校园暴力，济南一男孩被多人殴打暴摔，只见视频里男孩被人一脚踹在地，其力度之大，简直残暴，还有男子把男孩抱起来，直接往地上摔，男孩手捂着头很痛苦的样子。目前涉案人员已经全部到案，等待警方通知。铅笔点评：我看了一下那个视频，心里真的不好受，这要被父母看到多心疼啊，从未见过如此残暴的校园暴力，简直就是把男孩往死里打，这伙人一定要严惩，如果不严惩的话，他们长大后就会发展成唐山那帮人，打起人来一点都不手软！#社会#,,,,社会,3,4,4,2022/7/4 21:52,iPhone 13,['https://wx3.sinaimg.cn/large/9635c6f9ly1h3v8ihcgaag208k0e81l3.jpg'],,
4.78763E+15,LALzyrJtq,2520106745,楼市搜索,怎样通过自己的努力进入到高级阶层？看完这篇文章，我豁然大悟！其实穷人唯一的选择就是把一件事做到极致，这是最简单的路，而且找到自己的定位也很重要。任何一件小事，到了极致的层面已经不是这件事了。#社会#,,,,社会,46,2,51,2022/7/4 21:50,iPhone 13,['https://wx2.sinaimg.cn/large/9635c6f9ly1h3v8gee5sej20n04js7qr.jpg'],,
4.7876E+15,LAKUoj0w2,7741492335,听沧海观世界,性质极其恶劣！无意中刷到山东济南长清多名男子殴打一男生的视频。视频令人触目惊心的是：一是至少两次以上的抱摔，甚至还能听到男孩的痛苦声音；二是打人者的年纪看上去都不大，感觉是只比受害男生大个几岁；三是据知情人说受害男生父母离异和爷爷奶奶生活在一起。而从现场视频来看，无疑是令人心焦的。因为看样子，被打男生的情况不容乐观。希望被打男生无大碍，也希望当地及时公布详细情况。#社会##济南身边事#O网页链接,,,,"社会,济南身边事",1,4,13,2022/7/4 20:09,微博视频号,,,
4.7876E+15,LAKRP5802,2520106745,楼市搜索,多年前，作者带着一群工人，雄赳赳气昂昂地准备抓小偷，没想到阴差阳错之下却成全了一桩婚事，改变了三个人的人生。看完这个故事，我不禁泪流满面。一是为作者的善良所感动，二是为男孩多年后的报恩所动容。他们让我再一次相信，勿以善小而不为，可能你的一时善念就能改变别人的人生。（图片来源于网络，侵删）#社会#,,,,社会,0,0,7,2022/7/4 20:02,iPhone 13,['https://wx1.sinaimg.cn/large/9635c6f9ly1h3v5c9t554j20u03fbk8t.jpg'],,
4.78729E+15,LACPP1K98,6484247699,我姓陈名亮,#现实##社会#最好的关系是没有关系，维系关系最好的方法是用心工作，提升自身价值，给人好处！L我姓陈名亮的微博视频,,,,"现实,社会",0,0,0,2022/7/3 23:36,微博视频号,,"http://fb.video.weibocdn.com/u8/Wy3rwJazgx07XkXhaNwA01041200f9eS0E018.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665198943&ssig=v0XwmZFuYT&KID=unistore,video",
