id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81592E+15,M6G7uBAl1,2638854671,一只凌乱的猪,推荐一个好用的流量卡#你为省钱做过哪些努力##科技#615,,,,"你为省钱做过哪些努力,科技",0,0,0,2022/9/20 23:33,微博 weibo.com,['https://wx3.sinaimg.cn/large/9d49ba0fly1h6dhqwm3pxj20s217w3zx.jpg'],,
4.81591E+15,M6G0O4qOI,5578257175,清新Xp,#热门微博#日本宇航公司ispace计划11月使用猎鹰九号火箭将Hakuto-R着陆器送往月球，计划着陆在月球正面梦之湖区域，同时搭载阿联酋10千克重拉希德月球车。#科技##微博公开课#L清新Xp的微博视频,,,,"热门微博,科技,微博公开课",0,0,2,2022/9/20 23:16,微博视频号,,"http://f.video.weibocdn.com/u0/zKtnhRNugx07ZmWiJkly01041200cLka0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665146128&ssig=0ILHAi1Y7I&KID=unistore,video",
4.81591E+15,M6FO7oXiz,1880163944,若希欧美升学指导,?09.20｜当晦暗散尽，终星河长明。?今日份「若希留学-早报快讯」来啦?看看今天有哪些最新的欧美亚留学、科技金融、海外工作和生活资讯?#国际新闻##国际##科技##美国##加拿大##分享##留学##留学生#,,,,"国际新闻,国际,科技,美国,加拿大,分享,留学,留学生",0,0,0,2022/9/20 22:45,,['https://wx2.sinaimg.cn/large/70110668gy1h6dgc2tl2wj20uk6deu0x.jpg'],,
4.81591E+15,M6FNRelCg,5714719345,Oneline科技,告诉大家一个不好的消息，红米K50真的要停产下架了，我去其他平台看了下，K50全系列都没货了，而且大部分已经下架了，估计以后想买也买不到了。说真的，K50真的是一代神机，天玑8100+三星2k120Hz直屏、5500mAh、67w直接封神，2199元更是不赚钱，我实在找不出可以吐槽的地方，这种神机现在下架真的太可惜了。不过也有网友说，小米这种性价比真的不行，太low了。但你可能不知道，在雷军心里，性价比早就是小米的代名词了，雷军在《小米创业思考》里说过：“创办小米，不想做一个坑人的人，而且我也非常不喜欢把稻草卖成金条的人。我们每天就像农民种地一样，一分耕耘一分收获。我们不做坑人的事情，哪怕这种人在市场上非常妥欢迎。”咱也不多说了，反正现在我看主流平台已经没货了，哪儿有货兄弟们可以说一声啊！对此你们怎么看？你们觉得这款手机咋样？#数码资讯##科技#,,,,"数码资讯,科技",1,56,73,2022/9/20 22:44,iPhone 13,"['https://wx4.sinaimg.cn/large/006eKnyFly1h6dgcjkeyyj30wi1ho47x.jpg', 'https://wx3.sinaimg.cn/large/006eKnyFly1h6dgcjuiuej30wi1i049k.jpg', 'https://wx4.sinaimg.cn/large/006eKnyFly1h6dgck4ywej30wi1sagof.jpg', 'https://wx2.sinaimg.cn/large/006eKnyFly1h6dgckiwz9j318g0tndgg.jpg']",,
4.8159E+15,M6FGlcGUy,5714719345,Oneline科技,比亚迪唐DMI到手200天，今天是用车最狠的一天！这位网友120块钱跑了160km，油电双双见底，对于这个数据，你们觉得还满足预期吗？据说这位网友是全程高速120km/h，但也有人说你这不是190km/h吗？因为这个是不计算混动的。多出来那30km是纯电跑出来的。你们对于这个花费以及里程有啥看法吗？对此你们怎么看？#汽车##科技#,,,,"汽车,科技",0,2,6,2022/9/20 22:26,iPhone 13,"['https://wx4.sinaimg.cn/large/006eKnyFly1h6dftamxj3j30u01h0gn4.jpg', 'https://wx1.sinaimg.cn/large/006eKnyFly1h6dftaclgwj30u01ixn2r.jpg', 'https://wx2.sinaimg.cn/large/006eKnyFly1h6dftaylyqj30u01h2wkm.jpg']",,
4.8159E+15,M6FCjfHLB,5714719345,Oneline科技,后悔买iPhone14Pro了！前天刚到手，加价200买的，本以为能超出我的预期，结果瞬间凉凉，来说说使用感受。1.灵动岛很难用，现在很多应用都不支持灵动岛，这功能就像个摆设，而且非常突兀。2.48MP拍照是牛，比我之前用的华为好很多，唯一缺点就是还有鬼影。3.信号差，我坐在同一个位置打游戏，华为有信号，苹果卡到爆炸，而且在家打电话还没信号…4.充电也太慢了，我华为都几十瓦快充，苹果还是20w，而且充电时手机非常烫，必须要用散热器才行。没啥办法，现在我要原价出了，真的用不惯，尤其是打开微信，光是接收信息就要几十秒…我还不如买华为。对此你们怎么看？#数码资讯##科技#,,,,"数码资讯,科技",20,567,1513,2022/9/20 22:16,iPhone 13,"['https://wx1.sinaimg.cn/large/006eKnyFly1h6dfixs1aaj30zk1behdt.jpg', 'https://wx3.sinaimg.cn/large/006eKnyFly1h6dfiwumw8j30zk0qox0h.jpg', 'https://wx3.sinaimg.cn/large/006eKnyFly1h6dfiympqaj30zk1benln.jpg']",,
4.8159E+15,M6Fvqc9ET,5714719345,Oneline科技,你觉得最伟大的中国企业是哪家？1.华为2.比亚迪3.小米4.腾讯5.阿里巴巴6.贵州茅台7.字节跳动8.美团9.百度10.宁德时代个人觉得华为是最伟大的中国企业，虽说现在手机价格高到离谱以外，在技术研发、芯片能力以及通信技术上，华为都是世界顶级的，而且他确实是以一己之力抗下了芯片产业中的所有压力，这样的企业值得让人尊敬。对此你们怎么看？你们觉得最伟大的中国企业是哪家？#科技##数码资讯#,,,,"科技,数码资讯",1,6,6,2022/9/20 21:59,iPhone 13,['https://wx3.sinaimg.cn/large/006eKnyFly1h6df1au77ij30go0ciq3s.jpg'],,
4.81589E+15,M6FsOCkOd,1286293690,孙永杰,乌军在被夺回的伊久姆和巴拉克利亚等地进行排雷和排爆！#俄乌局势最新进展##军事##科技##排雷##排爆##伊久姆##巴拉克利亚#L孙永杰的微博视频,,,,"俄乌局势最新进展,军事,科技,排雷,排爆,伊久姆,巴拉克利亚",1,0,2,2022/9/20 21:52,微博视频号,,"http://f.video.weibocdn.com/o0/GWGyIBQzlx07ZmQypNfa01041200GLWG0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665146128&ssig=1Hn6ZPQbll&KID=unistore,video",
4.81589E+15,M6Frq4Vaj,5714719345,Oneline科技,比亚迪：我们超过特斯拉了！网友：比亚迪你就装吧！华为：我们超过苹果了！网友：华为没5G，千万不要买！好像咱们国产越好，有些国人就越看不惯，这不C919马上就可以投入使用了，结果又有一批人来吐槽。这位网友更是说，希望以后买机票的时候标明，想坐就去坐，不想坐的还得有备选，毕竟命是自己的。搞得就好像我们国产飞机就一定会有事一样，也不知道这兄弟坐过飞机没？现在飞机型号都会写清楚，你坐不坐没人强迫你，就为了带节奏说这种错话有意思吗？那些专门喷国产的人真是太可恶了！令人气愤！对此你们怎么看？#科技##数码资讯#,,,,"科技,数码资讯",0,4,7,2022/9/20 21:49,iPhone 13,['https://wx2.sinaimg.cn/large/006eKnyFly1h6der150g7j30ro0b5tet.jpg'],,
4.81589E+15,M6FoMmDeB,7578765156,辰星科技迷,vivoXFold+的配置规格：内屏为2K/120HzLTPO大屏，内外均支持120Hz刷新率，体验上不用担心会有割裂感，还配备了双超声波屏下指纹。补齐了上代火龙芯片的短板，搭载了骁龙8+处理器，性能/能效表现有较大的升级。背部依然延续了上代天圆地方的设计，影像系统有不错的堆料：5000万大底主摄+4800万超广角+1200万2X人像+800万5X潜望式长焦。电池容量4730mAh，支持80W有线+50W无线。新增了红色素皮后盖，新配色可能会命名为华夏红，估计是为了迎接国庆，质感还是不错的#科技#,,,,科技,0,0,0,2022/9/20 21:42,互联网科技iPhone 12,"['https://wx1.sinaimg.cn/large/008gTJ1Gly1h6dejzanjnj30u00lu0ti.jpg', 'https://wx4.sinaimg.cn/large/008gTJ1Gly1h6dejzpx0rj30u00mudii.jpg']",,
4.81555E+15,M6wqEdqCh,1807019022,名之成,【从0到1的突破国产大飞机C919有望飞向全球：只要1个条件】取证成功不仅意味着C919可以飞国内航线，还有望执飞国际航线，只需要一个条件——有业内人士表示，理论上只要对方国家认可我国民航局的认证，C919就可以飞往以及出口至相关国家。（转摘）#大飞机##国产大飞机c919首飞##科技#O网页链接,,,,"大飞机,国产大飞机c919首飞,科技",0,0,0,2022/9/19 22:52,,['https://wx3.sinaimg.cn/large/6bb4ec0egy1h6cayosl31j20go08rwen.jpg'],,
4.81554E+15,M6woo9ERY,5714719345,Oneline科技,黄牛：PDD，你断我财路！夕夕：这tm不是来捣乱的吗？黄牛恐怕想鲨了PDD的心都有了，发财的梦就此破灭！这个价格真的很香，就是不知道有多少备货，便宜1000可还行？我之前也抢过，耳机倒还好，手机是真的抢不到，但我身边却有人能抢到，有时候点进去了，结果网络瞬间卡顿，然后就销售一空了，也不知道是套路还是真的很抢手。你们都抢到了吗？当初你们怎么看？#数码资讯##科技#,,,,"数码资讯,科技",0,2,2,2022/9/19 22:47,iPhone 13,['https://wx1.sinaimg.cn/large/006eKnyFly1h6casvvlcsj30tt1jmn73.jpg'],,
4.81554E+15,M6wmBBusP,7478483114,z340216339,汲取自然灵感，臻储食材新鲜本味！最浓不过人间情，最美不过人间味。#海信真空冰箱#能鲜养活鱼?，能鲜养豆苗?，能生腌海鲜???……简直无所不能，和你一起探鲜金秋食宴，共享每个团圆时刻?#真空·才是真保鲜##保鲜##海信真空冰箱##科技##家居美学#Lz340216339的微博视频,,,,"海信真空冰箱,真空·才是真保鲜,保鲜,科技,家居美学",1,0,5,2022/9/19 22:42,iPhone客户端,,"http://f.video.weibocdn.com/o0/YQncwlftlx07Zlj68WoU010412009Y300E010.mp4?label=mp4_720p&template=720x1166.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665146139&ssig=mFyDbe7WJ%2B&KID=unistore,video",
