id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4811207942348461,M4Hzk9QWp,5224329123,长征六号的小粉丝,宇宙有多大？看完睡不着了人类实在过于渺小#科普##宇宙#L下一颗星球见的微博视频,,,,"科普,宇宙",0,0,1,2022-09-07 23:33,微博视频号,,"http://f.video.weibocdn.com/o0/ClIdGgB8lx07Z1NJNn7y01041200JfQz0E010.mp4?label=mp4_720p&template=720x1282.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=%2FYshEC%2BFjf&KID=unistore,video",
4811207569314893,M4HyID5ed,5224329123,长征六号的小粉丝,如果没有月球，还会有中秋节吗？#探索宇宙##科普#L下一颗星球见的微博视频,,,,"探索宇宙 ,科普",0,0,2,2022-09-07 23:32,微博视频号,,"http://f.video.weibocdn.com/o0/oBcZ62wllx07Z1NOzLby01041201Ag9t0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=BPDhR5urRT&KID=unistore,video",
4811207510595216,M4HyD2uQg,5224329123,长征六号的小粉丝,冥王星为何被除去九大行星之名#科普##银河系#L下一颗星球见的微博视频,,,,"科普,银河系",0,0,1,2022-09-07 23:32,微博视频号,,"http://f.video.weibocdn.com/o0/fxzBbrCWlx07Z1NPp0A8010412016ROk0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=WdHNjAQSvJ&KID=unistore,video",
4811207419107007,M4HytCd9d,1904386234,吴茜茜钢琴,【#刚出生的蜗牛是透明的#！】刚出生的小蜗牛通体透明，而且是软软的。小蜗牛出生后的第一餐就是吃掉自己的卵壳，这是为了补充钙质，让外壳坚硬。一起近距离看新生蜗牛宝宝的吃播。#科普##生物#@央视三农L央视三农的微博视频,,,央视三农,"刚出生的蜗牛是透明的,科普,生物",2,1,5,2022-09-07 23:31,微博视频号,,"http://f.video.weibocdn.com/o0/SwScXzoMlx07YwnJ7MIE01041200wo2h0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=gUsECiM0lw&KID=unistore,video",
4811207331285564,M4Hyl5oqU,5224329123,长征六号的小粉丝,从月亮上看地球原来这么诡异，难怪很多人都觉得害怕#探索宇宙##科普#L下一颗星球见的微博视频,,,,"探索宇宙 ,科普",0,0,1,2022-09-07 23:31,微博视频号,,"http://f.video.weibocdn.com/o0/1AhVm5oVlx07Z1NWiy5O010412002Vmk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=vcFInJTLT%2B&KID=unistore,video",
4811206969529268,M4HxKDYZS,5224329123,长征六号的小粉丝,宇宙知识科普#科普##探索宇宙#L下一颗星球见的微博视频,,,,"科普,探索宇宙",0,0,1,2022-09-07 23:29,微博视频号,,"http://f.video.weibocdn.com/o0/iLVqZEwplx07Z1O3bcYo01041200Kg7c0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=4sNly5uG7b&KID=unistore,video",
4811206827967391,M4HxwxqGj,5224329123,长征六号的小粉丝,新型恒星释放超级闪焰，试图将地球毁灭，但地球被磁场保护着？#科普##银河系#L下一颗星球见的微博视频,,,,"科普,银河系",0,0,1,2022-09-07 23:29,微博视频号,,"http://f.video.weibocdn.com/o0/I3zdynkRlx07Z1OevBoY01041202JqPa0E010.mp4?label=mp4_720p&template=1048x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=F6Wv%2F55Q58&KID=unistore,video",
4811206768724795,M4HxqABIv,5224329123,长征六号的小粉丝,儿童知识科普，你知道多少？北极星为什么不动！南极星是否存在？#天文科普##科普#L下一颗星球见的微博视频,,,,"天文科普,科普",0,0,1,2022-09-07 23:29,微博视频号,,"http://f.video.weibocdn.com/o0/BApMA9U9lx07Z1OoJlgQ01041200dlgy0E010.mp4?label=mp4_720p&template=1082x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=h%2BnFQCGtzG&KID=unistore,video",
4811206701356419,M4Hxk5GRJ,5224329123,长征六号的小粉丝,旅行者号向地球传回故障数据！它遇到什么麻烦了？#探索宇宙##科普#L下一颗星球见的微博视频,,,,"探索宇宙 ,科普",0,0,1,2022-09-07 23:28,微博视频号,,"http://f.video.weibocdn.com/o0/ugNAfPTUlx07Z1OpQPI401041200fEjh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=SQdLCSaUUZ&KID=unistore,video",
4811206575522619,M4Hx7naGv,5224329123,长征六号的小粉丝,不太阳的寿命还有50亿年。但留给人类的时间，为何只有10亿年？#科普##宇宙#L下一颗星球见的微博视频,,,,"科普,宇宙",0,0,1,2022-09-07 23:28,微博视频号,,"http://f.video.weibocdn.com/o0/YUyOdJEulx07Z1Ov76aA010412016LXj0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152361&ssig=6Mod6M6bF%2B&KID=unistore,video",
4810850990819196,M4yhB3r6Q,2458743132,慕容沁瑜,慕容de番杏家园无论人生上到哪一层台阶，阶下有人在仰望你，阶上亦有人在俯视你，你抬头自卑，低头自得，唯有平视，才能看见真实的自己。——杨绛#科普##秋天de番杏#晚安，各位友友！L慕容沁瑜的微博视频,,,,"科普,秋天de番杏",0,0,3,2022-09-06 23:55,慕容de番杏家园超话,,"http://f.video.weibocdn.com/o0/cz0dVI8elx07Z0EvhiTC01041200cOog0E010.mp4?label=mp4_720p&template=1268x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152373&ssig=MfMZ7NcqHV&KID=unistore,video",
4810849430537850,M4yf52fV0,5224329123,长征六号的小粉丝,为什么宇航员不能实现往返火星？其中有着什么困难急需解决？#探索宇宙##科普#L下一颗星球见的微博视频,,,,"探索宇宙 ,科普",0,0,1,2022-09-06 23:49,微博视频号,,"http://f.video.weibocdn.com/o0/wikg0iEDlx07Z0eTSuPK01041200E7zk0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152373&ssig=U5AptmA%2B2N&KID=unistore,video",
