id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4790124225497209,LBOxEn44F,1210634183,胡景晖,发布了头条文章：《【长租视点】补上长租房领域的四块短板》#长租公寓##长租房##楼市##经济#O【长租视点】补上长租房领域的四块短板,http://t.cn/A6a93NHm,,,"长租公寓,长租房,楼市,经济",0,1,1,2022-07-11 19:14,微博 weibo.com,,,
4790120328725194,LBOrmABOW,2469589237,财经达人Joke,【什么是投行？最接地气的九个经济学段子】一投行菜鸟问：“什么是投行？”前辈拿了一些烂水果问他：“你打算怎么把这些水果卖出去？”菜鸟想了半天说：“我按照市场价打折处理掉。”这位前辈摇头，拿起一把水果刀，把烂水果去皮切块，弄个漂亮的水果拼盘:“按照几十倍的价格卖掉。”#经济#,,,,经济,1,0,0,2022-07-11 18:59,即刻笔记,"['https://wx3.sinaimg.cn/large/005zphlbgy1gqeaw69v8rj30c8096t95.jpg', 'https://wx3.sinaimg.cn/large/005zphlbgy1gqeaw68qq2j30c80963yy.jpg', 'https://wx4.sinaimg.cn/large/005zphlbgy1gqeaw69gnvj30c8096dgd.jpg', 'https://wx2.sinaimg.cn/large/005zphlbgy1gqeaw68yboj30c80960t7.jpg', 'https://wx3.sinaimg.cn/large/005zphlbgy1gqeaw68yyyj30c8096jrv.jpg', 'https://wx1.sinaimg.cn/large/005zphlbgy1gqeaw6a1ouj30c8096t8x.jpg', 'https://wx4.sinaimg.cn/large/005zphlbgy1gqeaw6ghhwj30c809674p.jpg', 'https://wx1.sinaimg.cn/large/005zphlbgy1gqeaw6e7frj30c8096wey.jpg', 'https://wx1.sinaimg.cn/large/005zphlbgy1gqeaw6e3u0j30c8096mxq.jpg']",,
4790106685443528,LBO5mmQ6Q,2604682313,财经飞说不可,房企40强的现状#房企##房子##经济#,,,,"房企,房子,经济",4,8,5,2022-07-11 18:04,iPhone客户端,['https://wx3.sinaimg.cn/large/9b404c49ly1h4358rgh8cj20l80jlh0f.jpg'],,
4790102809905868,LBNZ6FyY4,6229458043,CoinW_Global,"碳中和背后的运作逻辑也是个金融问题，它一旦运行成功可以取代美元霸权。本来碳中和是欧盟搞出来的，按照最初的设计，我们属于被收割的一方，结果中国光伏新能源大力出奇迹。短短十几年，通过产业升级成了列强，全球70%的光伏面板是中国造。欧盟搞碳中和想薅美元羊毛，结果美国拱火俄乌冲突，把欧盟打回烧炭的原始社会了,欧洲多国陆续重启煤电。#财经##经济##掏金股挖龙头#要知道，美元霸权靠和石油挂钩，所以全球国家都要买美元换石油，所谓的买美元本质上也就是拿自己的产品或者资源去换成美元。碳中和一样的，中国的工业品是全球人人都需要的，我给工业产能征收碳排放税，只收人民币，你想买中国的工业品，你就要付这部分税，甭管你绕了几道买的，流通环节总要有一个人支付人民币来购买这些工业品生产时所需要的碳排放额度，那么我们人民币在全球就有了统一的锚：工业产能。可见，碳中和也是一门生意，原来对于我国是可能是弊大于利，现在显然是利大于弊，我们在碳中和上反将西方一军，不是吗？",,,,"财经,经济,掏金股挖龙头",0,0,0,2022-07-11 17:49,微博 weibo.com,,,
4790092785256624,LBNIWm3ug,1322980291,机械操盘手检,【M2超预期，要考虑通胀的对冲措施】6月份货币供应M2同比增长11.4%，预期11.0%。多发的货币有利于经济增长，也要考虑引发的通货膨胀效应，需要一定的对冲措施。#财经##经济##M2#,,,,"财经,经济,M2",0,8,17,2022-07-11 17:09,微博 weibo.com,,,
4790088036784596,LBNBhssYY,1661676222,宗贵升,熬过寒冬，正经历酷暑，担心秋天只有落叶。#经济##创业#,,,,"经济,创业",0,1,1,2022-07-11 16:50,iPhone 13 Pro Max,,,
4790087839383566,LBNAXDn5Q,5910167072,智通财经,按照惯例，实际业绩应该超出盈利预期，但在目前对#经济#前景恶化和成本压力的担忧下，前瞻性指导变得至关重要。O经济前景恶化二季度财报将有哪些前瞻性看点？,,,,经济,0,1,0,2022-07-11 16:49,微博 weibo.com,,,
4790087252184057,LBNA19aaJ,2079631622,清泉Talk,朱少平：中国改开大部分利润被外资拿走了。#经济##股票#L清泉Talk的微博视频,,,,"经济,股票",106,202,680,2022-07-11 16:47,HarmonyOS设备,,"http://f.video.weibocdn.com/o0/cT6wbUpslx07XxgmB54Y01041200fM3l0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199647&ssig=SKvoRBNm9D&KID=unistore,video",
4790072497668910,LBNcdwb26,6141656203,温酒待故人il,老板从公司提走100万，到底要交多少税呢？其实这个问题没有标准答案，老板提走这100万，关键是看以什么形式拿出来？如果以分红的形式：按规定要缴纳20%的分红个税，交掉20万直接到手80万。#财经##经济##掏金股挖龙头#其次：老板以股东借款的形式将钱从公司拿出来，这样做的好处是一分税费都不用付，但缺点是每年的12月30日前必须归还，否则视同股东分红要缴纳20%的个税；还有：老板还可以在外面成立一家个人独资企业或者个体工商户，并以这家个体户跟公司做业务，综合税负也就两个点，100万开票额税费合计2万，比20万的分红个税低多了；另外：老板如果不想注册公司那么麻烦，也可以以业务咨询或市场推广的方式走一笔自然人代开，100万开票和综合税负三个点，但是呢，这种方式税费比个独略高一点，可后面的操作更简单，省了维护公司的很多烦恼；最后：还有一种税费最低的方式，税费几乎低到忽略不计，在讲这个大招之前，我建议各位老板，不妨先将该内容点赞加收藏，以便大家日后查找，这公转私的大招就是老板不妨将自己名下的二手车以100万的价格卖给公司，按照规定二手车转让的价格低于车辆原值，个人无需缴纳增值税，也不用缴纳个人所得税，只需缴纳1000元的印花税，印花税的税率是合同金额的5%，买卖双方均需缴纳，这样老板实际到手99.9万，小车专卖后依旧是老板自己在使用，而且小车的过路费、油费、保险费、车辆维护费等都可以记录公司名下，做税前扣除，是不是超级划算！,,,,"财经,经济,掏金股挖龙头",0,0,0,2022-07-11 15:49,微博 weibo.com,,,
4790069297153578,LBN73u0Yi,3028247604,券商万一免五开户o,水电业绩普亮眼，中报有望超预期近日，长江电力披露公告，由于来水同比偏丰，经优化联合调度运行后，公司2022年第二季度总发电量约610.70亿千瓦时，较上年同期增加53.46%。受经营数据利好提振，公司股价也连日走高。国海证券认为，假设公司上网电价与2021年持平、投资收益同比增长40%，在发电量同比增长超50%的情况下，测算2022Q2公司净利润或为87.61亿元，同比增长53%，2022H1公司净利润或为118.98亿元，同比增长39%。英大证券指出，水电具有明显债券属性兼具成长性。水电业务模式清晰，盈利能力稳定，在收入端，水电属于优先发电范畴，优先发电计划内发电保量保价，优先发电计划外发电有电量保障；在成本端，在水电投运后，运营成本主要来自固定资产的折旧费用、财务费用等，受外部环境影响相对较小，成本相对稳定。此外，水电投运后固定资产折旧带来稳定的现金流，大坝实际运营时间高于折旧期限，随着折旧年限到期后，将进一步释放利润增长空间，同时一般水电具有较高的现金分红比例和股息率，债券属性明显，另一方面我国水电流域梯度整体开发，装机增长带来收益边际贡献增加和价值提升。目前，已有多家水力发电上市公司披露中报预告，其中，黔源电力以164%至194%的业绩增速（归母净利润同比增长）暂列第一，公司表示，业绩大增源于2022年上半年来水较上年同期偏多，使发电收入及发电利润增加。此外，桂冠电力、川投能源上半年净利润预计分别增长52%、19%。分析指出，今年来水偏丰背景下水电发电量均实现较大幅度提升，有望带动相关企业中期业绩大幅增长。受益标的方面，安信证券指出，2022年水电板块业绩有望向好，建议关注国内水电龙头长江电力、华能水电。#财经##股票##经济##投资理财##今日看盘#,,,,"财经,股票,经济,投资理财,今日看盘",0,0,0,2022-07-11 15:36,iPhone客户端,['https://wx1.sinaimg.cn/large/b47f6434ly1h430yz6e0nj20u01qqdly.jpg'],,
