id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81266E+15,M5joOmbzs,1573919467,星冰乐kiki,#综艺#小me回应了为什么最近不营业，因为这几个月都在养脚伤，小屋里的友情一直都在，她与baby私下也是很好的朋友#方彬涵##陈思铭方彬涵分手#L星冰乐kiki的微博视频,,,,"综艺,方彬涵,陈思铭方彬涵分手",0,0,3,2022/9/11 23:52,iPhone客户端,,"http://f.video.weibocdn.com/o0/bZN2Nr3Vlx07Z8CJisuY010412007PAy0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163678&ssig=lcMk4JN9a7&KID=unistore,video",
4.81266E+15,M5jo9l7FV,2890391854,就知道你喜欢看,没想到左航年纪轻轻就能够有这样大的觉悟，看到父母为了自己也在拼命生活，他很懂事不过度依赖父母，不让父母有太大的负担，他在用自己的实际行动去帮助父母减轻压力并且充实自己，相信这么努力的左航一定能够靠自己的努力去承担起自己的人生呀！#综艺二创榜##综艺#L就知道你喜欢看的微博视频,,,,"综艺二创榜,综艺",0,0,0,2022/9/11 23:50,微博视频号,,"http://f.video.weibocdn.com/o0/tBXUHZUglx07Z8CCUkbC010412004j9T0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163678&ssig=kiV0e%2Bb3jl&KID=unistore,video",
4.81266E+15,M5jnwDweE,7492967156,小羊失重,娱乐博主#娱乐博主认证##娱乐##娱乐博主认证#??#娱乐#我就不信了#娱乐博主认证##娱乐##娱乐#快亮！！#综艺#@微博小秘书@微博小秘书@微博小秘书可以吗可以吗可以吗求你了求你了#娱乐博主怎么认证#@曹国伟！让我亮起来快点安排！@微博会员小秘书@微博小秘书好吧，我明天再来签到打卡，让我亮起来吧，每天都来爱你呀宝贝@微博客服@微博客服中心小秘书#娱乐博主认证#??,,,"微博小秘书,曹国伟,微博会员小秘书,微博客服,微博客服中心小秘书","娱乐博主认证,娱乐,综艺,娱乐博主怎么认证",0,0,0,2022/9/11 23:49,娱乐博主超话,,,
4.81266E+15,M5jlUscdJ,7747647644,爆笑脱口秀名场面,河南豫剧综艺搞笑高光时刻笑岔气，脱口秀大会名场面高光时刻#鸟鸟##亿点曝光计划##脱口秀##综艺搞笑##综艺##搞笑趣事##搞笑微博##搞笑幽默##搞笑不寻常#L爆笑脱口秀名场面的微博视频,,,,"鸟鸟,亿点曝光计划,脱口秀,综艺搞笑,综艺,搞笑趣事,搞笑微博,搞笑幽默,搞笑不寻常",0,0,2,2022/9/11 23:45,微博视频号,,"http://f.video.weibocdn.com/u0/LGO7fJ4Xgx07Z8CelBWo01041200uTlu0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163678&ssig=613coq9%2B7Q&KID=unistore,video",
4.81266E+15,M5jkX5Qmz,6660269370,等愿,这不是花儿与少年这是姐姐们的茶话会杨幂刘敏涛#暑期视频创想季##综艺#L等愿的微博视频,,,,"暑期视频创想季,综艺",0,1,1,2022/9/11 23:42,微博视频号,,"http://f.video.weibocdn.com/o0/icXdYiV8lx07Z8C5kcBO010412007INs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163678&ssig=fkyBh46xOJ&KID=unistore,video",
4.81266E+15,M5jje5wqa,6054752164,vrooommm,有没有什么超超超超超好看的剧和综艺给我推荐推荐吧（有点想看能磕到cp的但又喜欢玻璃渣里找糖的）PS：最近爱看的类型（有相似的姐妹可以交流一下追剧心得）电视剧1??与君初相识恰似故人归2??香蜜沉沉烬如霜3??少年派2综艺1??密室大逃脱2??明星大侦探3??青春环游记#电视剧##综艺#,,,,"电视剧,综艺",0,10,1,2022/9/11 23:38,iPhone客户端,,,
4.81266E+15,M5jhUgA8c,2890391854,就知道你喜欢看,张天爱徐开聘十指相扣玩游戏，张天爱满脸害羞到脸红不敢对视......#综艺二创榜##综艺#L就知道你喜欢看的微博视频,,,,"综艺二创榜,综艺",0,1,8,2022/9/11 23:35,微博视频号,,"http://f.video.weibocdn.com/o0/nJMr0NvWlx07Z8BzlJby01041200lO170E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163678&ssig=KpvFMt%2B%2FjZ&KID=unistore,video",
4.81265E+15,M5jb6jUbC,2890391854,就知道你喜欢看,肖杰跟锁锁说只把他养到18岁，锁锁反驳：家还是得住啊！！哈哈哈哈这孩子关注点真好玩#综艺二创榜##综艺#L就知道你喜欢看的微博视频,,,,"综艺二创榜,综艺",0,0,0,2022/9/11 23:18,微博视频号,,"http://f.video.weibocdn.com/o0/qpYjgDc6lx07Z8ApXToY01041200pUbj0E010.mp4?label=mp4_720p&template=1024x576.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163678&ssig=UGTMMwN4d1&KID=unistore,video",
4.81265E+15,M5j9OaPHG,5526071461,一直走便不回头,周柏豪演唱《你还怕大雨吗》。披荆斩棘的哥哥#披荆斩棘初舞台表现##综艺#L一直走便不回头的微博视频,,,,"披荆斩棘初舞台表现 ,综艺 ",0,0,0,2022/9/11 23:15,微博视频号,,"http://f.video.weibocdn.com/u0/CeGbaQLtgx07Z8AcHPdm01041200iW8s0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163678&ssig=uAImkjWb18&KID=unistore,video",
4.81265E+15,M5j5X6Ajg,6647308683,王周洲2013,刚看完脱口秀最新一期赶忙过来看这些领笑员和脱五的微博了，原来从第一期开始互联网的这些嘴替就没有让我失望哈哈哈。该说不说很多已经淘汰的脱口秀演员真的很棒，可能就是每个人get的点不一样吧。#脱口秀大会##脱五##综艺#,,,,"脱口秀大会,脱五,综艺",0,0,0,2022/9/11 23:05,iQOO Z1 5G性能先锋,,,
