id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81158E+15,M4R8uxXnr,5867390462,小小芸说体育,大厨这颠勺的高境界，服气#美食##向往的美食#L挖图志的秒拍视频,,,,"美食,向往的美食",0,0,0,2022/9/8 23:55,微博 weibo.com,,"http://f.us.sinaimg.cn/003myZvulx07lFOOi60E010402003Fth0k010.mp4?label=mp4_hd&template=360x640.28&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145389&ssig=GskC7KzXxC&KID=unistore,video",
4.81158E+15,M4R8tBqpl,6008238571,青山平人,火爆街头的mini糖葫芦，在家也能轻松复刻，比外面卖的还好吃呢～美的会员日#美食##向往的美食#L思想牢笼的微博视频,,,,"美食,向往的美食",0,0,0,2022/9/8 23:55,微博 weibo.com,,"http://f.video.weibocdn.com/o0/KB9zfAXQlx07RtUayEg801041200sfRv0E010.mp4?label=mp4_720p&template=1024x576.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145389&ssig=GV1VacTl%2B6&KID=unistore,video",
4.81158E+15,M4R8tpjmq,5706480250,小迪是你爹,看了这些切水果的我感觉我不会吃水果了。。。?#美食##向往的美食#L让你逗我笑的微博视频,,,,"美食,向往的美食",0,0,0,2022/9/8 23:55,微博 weibo.com,,"http://f.video.weibocdn.com/WCzt5NDglx07NP7PKr0401041200SE0a0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145389&ssig=QeCw6Ii47f&KID=unistore,video",
4.81158E+15,M4R8sci3K,5867390462,小小芸说体育,日本节目：日本女孩说只吃日本食物，被打脸。后面的小伙子更逗?#美食##向往的美食#L这个要火的节奏的微博视频,,,,"美食,向往的美食",0,0,0,2022/9/8 23:55,微博 weibo.com,,"http://f.video.weibocdn.com/rRkM5q1Mlx07NTZcA8Xu01041200jZKH0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145389&ssig=HholDkNoqc&KID=unistore,video",
4.81158E+15,M4R8sbb4w,3963184341,微笑3963184341,第一次吃这个，过程有点繁琐。?#美食##向往的美食#L笑趴了的微博视频,,,,"美食,向往的美食",0,0,0,2022/9/8 23:55,微博 weibo.com,,"http://f.video.weibocdn.com/V6esRAUalx07OUWhNTEk01041200xixf0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145389&ssig=pIESe0LZiB&KID=unistore,video",
4.81158E+15,M4R7DEjRF,2200568864,广州博森量化交易,暴雨和烧烤应该更搭#美食#L广州博森量化交易的微博视频,,,,美食,0,1,0,2022/9/8 23:53,d5335b微信Android,,"http://f.video.weibocdn.com/u0/7v60siPegx07Z3Q7G77a01041200bnx00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145389&ssig=v6nxfgbxPZ&KID=unistore,video",
4.81157E+15,M4R6IhEJA,5713406138,男的确实不行,微博就不发拼图版的了#美食#晚安,,绵阳,,美食,0,3,3,2022/9/8 23:50,晚安超话,"['https://wx1.sinaimg.cn/large/006eERVUgy1h5zmsyio4wj32tc2tcdvr.jpg', 'https://wx3.sinaimg.cn/large/006eERVUgy1h5zmt1btxaj335s23ub29.jpg', 'https://wx2.sinaimg.cn/large/006eERVUgy1h5zmt305oej31vx1vxk2z.jpg', 'https://wx1.sinaimg.cn/large/006eERVUgy1h5zmshi3a8j30op0dw78g.jpg', 'https://wx1.sinaimg.cn/large/006eERVUgy1h5zmsgokw1j30q40epdkx.jpg', 'https://wx4.sinaimg.cn/large/006eERVUgy1h5zmshwfeaj30ts0grmy6.jpg', 'https://wx3.sinaimg.cn/large/006eERVUgy1h5zmsh3yf4j30sb0fx0xw.jpg', 'https://wx1.sinaimg.cn/large/006eERVUgy1h5zmskmtt6j30r30f73yw.jpg', 'https://wx1.sinaimg.cn/large/006eERVUgy1h5zmsk5i4fj30nq0dc0ux.jpg']",,
4.81157E+15,M4R5A2ymj,2486524754,糊涂说释,#美食#假期就这么简单。,,,,美食,0,0,1,2022/9/8 23:47,爱你99Android,"['https://wx3.sinaimg.cn/large/94355b52gy1h50xqoi72aj22bc334kjn.jpg', 'https://wx4.sinaimg.cn/large/94355b52gy1h50xqq2xtoj22bc334qv7.jpg', 'https://wx4.sinaimg.cn/large/94355b52gy1h50xqsyge3j22bc334hdw.jpg', 'https://wx4.sinaimg.cn/large/94355b52gy1h50xquot63j22bc334npf.jpg', 'https://wx2.sinaimg.cn/large/94355b52gy1h5zmqlhyuuj22bc334qv7.jpg', 'https://wx2.sinaimg.cn/large/94355b52gy1h5zmqn6k3gj22bc3341l0.jpg', 'https://wx4.sinaimg.cn/large/94355b52gy1h5zmqosxi0j22bc334u0z.jpg']",,
4.81157E+15,M4R5dcTlq,7331883337,不二日食,"""炸茄盒""小酥肉粉#不可辜负的美食##美食##新星v计划#L不二日食的微博视频",,,,"不可辜负的美食,美食,新星v计划",11,9,19,2022/9/8 23:47,微博视频号,,"http://f.video.weibocdn.com/o0/MIJ23FMSlx07Z2PiTdhm01041200GMdV0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145389&ssig=KlXMatoBIl&KID=unistore,video",
4.81157E+15,M4R4pm3Ca,5069559638,黔灵山上称霸王,火爆街头的mini糖葫芦，在家也能轻松复刻，比外面卖的还好吃呢～美的会员日#美食##向往的美食#L思想牢笼的微博视频,,,,"美食,向往的美食",0,0,0,2022/9/8 23:45,微博 weibo.com,,"http://f.video.weibocdn.com/o0/KB9zfAXQlx07RtUayEg801041200sfRv0E010.mp4?label=mp4_720p&template=1024x576.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1665145389&ssig=GV1VacTl%2B6&KID=unistore,video",
