id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4812301474202832,M5a15hDlC,6183821381,我给你炫一个,#大学##考研##罗翔#人生没有完美选择L我给你炫一个的微博视频,,,,"大学,考研,罗翔",0,0,0,2022-09-10 23:59,微博视频号,,"http://f.video.weibocdn.com/o0/KFzbi2YQlx07Z6WaGzaU01041200pf880E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665200850&ssig=FMu6jysaHe&KID=unistore,video",
4812301464767061,M5a14k085,6617957427,法硕资料小王子,全网独家：2023年华东师范大学法律硕士历年复试真题、2023年华东师范大学法硕复试历年真题#华东师范大学#华东师范大学（17年至22年：部分真题分享，每年更新至最新版本）真题总量超180道1.范冰冰逃税案件中，崔永元利用微博爆料是否侵犯隐私权2.很多人说张扣扣的律师写的辩词把舆论带偏了，你怎么看3.你如何看待个人登记中要求写明民族、籍贯、年龄等个人情况？4.欧洲国家认为我国不是市场经济，你认为我国哪些地方不符合市场经济标准？5.如何看待法律的作用#法硕复试##法律硕士#法硕#法硕##2022法硕##考研#法硕非法学#高考##法考#法考考研,,,,"华东师范大学,法硕复试,法律硕士,法硕,2022法硕,考研,高考,法考",2,0,1,2022-09-10 23:59,微博 weibo.com,"['https://wx2.sinaimg.cn/large/007dSh2Pgy1h5wpsxxsavj30aw0p9dhv.jpg', 'https://wx1.sinaimg.cn/large/007dSh2Pgy1h5wpsxxx88j30aw0p90w2.jpg', 'https://wx2.sinaimg.cn/large/007dSh2Pgy1h5wpsxw85gj30av0p8763.jpg', 'https://wx4.sinaimg.cn/large/007dSh2Pgy1h5wpsy45hyj30gk0nwact.jpg', 'https://wx3.sinaimg.cn/large/007dSh2Pgy1h5wpsxx0skj30bu0c1t9d.jpg', 'https://wx2.sinaimg.cn/large/007dSh2Pgy1h5wpsy2ppmj30bk0jtabz.jpg', 'https://wx1.sinaimg.cn/large/007dSh2Pgy1h5wpsxxr8aj30an0p8gnn.jpg', 'https://wx4.sinaimg.cn/large/007dSh2Pgy1h5wpsxx24hj30bc0p0mz2.jpg', 'https://wx1.sinaimg.cn/large/007dSh2Pgy1h5wpsxyl9qj30bd0opmz6.jpg']",,
4812301158846797,M5a0zB7sh,7721578609,小奶牛lsl,打卡53天，今天做模拟检测受到打击了，后面100天全力以赴，加油！@桃子的小教鞭儿@MPAcc会计专硕桃子学姐#考研##老生研路学习打卡#会计专硕,,,"桃子的小教鞭儿,MPAcc会计专硕桃子学姐","考研,老生研路学习打卡",0,0,0,2022-09-10 23:57,Redmi K20 Pro 真旗舰,['https://wx2.sinaimg.cn/large/008qyXktgy1h61y8pdqcyj30u01t0dme.jpg'],,
4812301095403592,M5a0tmFII,6074921951,这只兔子有点咸,（2022.9.10）打卡第（47）天复习专八单词gre百科复习@老生研路@Coco学姐push专用翻译硕士MTI#老生研路学习打卡##2023考研##考研#考研,,,"老生研路,Coco学姐push专用","老生研路学习打卡,2023考研,考研",0,0,1,2022-09-10 23:57,nova6 5G自拍大不一样,,,
4812300764321007,M59ZWi85F,2756939307,tjlcy2019,2022/09/10打卡第79天具体学习内容:专业课:看商行资产负债管理英语:背单词;听石雷鹏小作文课政治:看腿姐马原刷题班反思/总结:中秋节休息日，明日恢复正常，冲冲冲!@金融专硕K哥的小教鞭@老生研路@金融专硕K哥_老生研路@K哥的396督学小书包#老生研路考研辅导##老生研路学习打卡##老生研路396课程##396数学##396写作##396逻辑##396经济类联考##2023考研##金融专硕##考研##431金融专硕##湖南大学#金融专硕考研大本营湖南大学金融专硕考研,,,"金融专硕K哥的小教鞭,老生研路,金融专硕K哥_老生研路,K哥的396督学小书包","老生研路考研辅导,老生研路学习打卡,老生研路396课程,396数学,396写作,396逻辑,396经济类联考,2023考研,金融专硕,考研,431金融专硕,湖南大学",0,0,0,2022-09-10 23:56,nova4自拍极点全面屏,['https://wx2.sinaimg.cn/large/a4538e2bgy1h61y7w26zpj20u01s6n3z.jpg'],,
4812300551458125,M59ZB67k9,6252148869,小方同学Amber,9.9#考研#106天9.10#考研#105天双节日快乐啊！人生中第一个教师节当“皓月”遇见“教师”🥮是团圆撞上了感恩💐节日过掉了，明天要好好淦了戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机戒手机,,,,考研,0,2,0,2022-09-10 23:55,OPPO Reno Z,"['https://wx2.sinaimg.cn/large/006P7nwNly1h61y1i99caj32bc334hdw.jpg', 'https://wx3.sinaimg.cn/large/006P7nwNly1h61y3x1s5fj32bc334x6p.jpg', 'https://wx2.sinaimg.cn/large/006P7nwNly1h61y1usv1ij32bc334k3e.jpg', 'https://wx2.sinaimg.cn/large/006P7nwNly1h61y1j3ikdj30u00rz0yr.jpg', 'https://wx3.sinaimg.cn/large/006P7nwNly1h61y1jf9qjj30tz0q9dg2.jpg', 'https://wx2.sinaimg.cn/large/006P7nwNly1h61y1l0b7ej33342bctl6.jpg']",,
4812300257335137,M59Z7uMcF,5762964922,他鱼的鱼,不要内耗你没有烦恼你的痛苦来源于做不对题的绝望人就是来受苦的人另外一个名字就叫做苦难做好计划执行完毕我们终将上岸#考研#,,南京·三江学院南校区,,考研,0,0,1,2022-09-10 23:54,iPhone客户端,"['https://wx1.sinaimg.cn/large/006i0Or8ly1h61y0ziuwcj32c02c07wh.jpg', 'https://wx3.sinaimg.cn/large/006i0Or8ly1h61y116wuzj32c02c0b1p.jpg', 'https://wx3.sinaimg.cn/large/006i0Or8ly1h61y12nax2j33402c0b2a.jpg']",,
4812299641031743,M59Y84kp1,6563153047,考研的小曾曾,考研曾曾，投稿，今天是中秋节，研究生入学已经好几天了，本来升学应该是很开心的事，但是最近退学的想法越来越强烈。读研学校位于某一线城市211，虽然学校该专业全国第一，但是是一个天坑专业。首先是因为就业前景不好，对女生有性别歧视，工资低经常熬夜，我觉得我未来很有可能不会从事这个行业。其次是导师不喜欢我，给他的资源分给了同门其他的同学。再由于自己有点社恐，和同门，师兄师姐也没有打成一片。当时本科还对这个专业满眼期待，学校位于自己梦寐以求的城市，甚至第一年没考上还二战了，现在想来还是觉得当时没有想好，只是为了逃避就业而考研。我不知道我退学是不是一个理智的选择，也不知道退学后我该干什么，但是如果我不从事该行业，会不会浪费三年时间？我其实没有那么大的勇气退学，想起考上研父母高兴的样子，有点于心不忍，但是怕自己这样下去会抑郁。希望大家给给些意见，谢谢！#考研#,,,,考研,0,45,358,2022-09-10 23:51,考研超话,['https://wx3.sinaimg.cn/large/007aajVdgy1h61y3ar0obj30pi1dqwi8.jpg'],,
4812299422931926,M59XMciJ8,7667082442,19泼墨画霓裳ing,2022/9/10@老生研路@MPAcc会计专硕桃子学姐#2023考研##考研##会计专硕#,,,"老生研路,MPAcc会计专硕桃子学姐","2023考研,考研,会计专硕",0,0,0,2022-09-10 23:50,nova4e 3200W立体美颜,['https://wx3.sinaimg.cn/large/008mSio2gy1h61y2aiy7gj30jg16qtfq.jpg'],,
4812299364211510,M59XGhFBA,5776852358,用户5776852358,#考研#/'ɪɡnərənt/adj.无知的Betteranintelligentenemythananignorantfriend.聪明的敌人胜于无知的朋友。,,,,考研,0,1,0,2022-09-10 23:50,乐词,['https://wx4.sinaimg.cn/large/006iX5c2gy1h61y26298vj30qe17tq4r.jpg'],,
