id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.80904E+15,M3N5Q65gF,2167974290,大久野岛的兔子酱,小朋友今天正式入园，前面上了四天亲子班，每天一个小时，可以有一位家长陪同。路上我送给她一袋糖果，她又想吃又舍不得，百般纠结下我干脆喂了一颗到她嘴里——“好吃！”她很开心地说。我轻声告诉她“今天去幼儿园和每次去巧虎一样，宝宝自己进去上课，妈妈在外面等你，一下课你就看到妈妈了”，她答应了。心中设想了各种分离焦虑场面，没想到老师拉着小朋友很顺利地就走进去了，没有迟疑、没有回头，剩下我在园外泪眼婆娑。托班第一周11:45下课，早早候在园外，听见园内有孩子哭，更加急切地想要见到小朋友。进去时，孩子们站成了一排，老师发着酸奶，小朋友正在和相邻的女孩子凑在一起小声嘀咕。我喊了她好几声，她才疑惑地转过身，继而惊喜、随即委屈、最终恢复平静，带着点小情绪。老师说今天没有哭，自己乖乖吃饭。我拿出提前准备好的果汁和贴纸告诉她今天表现太棒了，她终于又开心地蹦哒起来。走到路口的时候，还给同学分享了糖果。回家后小朋友告诉我今天坐了滑滑梯、玩了沙子，还自己上了厕所。明天也要棒棒哦#育儿#,,,,育儿,0,0,6,2022/9/1 23:47,iPhone 12,"['https://wx4.sinaimg.cn/large/8138a992ly1h5rioup6jwj20u0140k2x.jpg', 'https://wx4.sinaimg.cn/large/8138a992ly1h5rjbn46unj20tu13uk2z.jpg', 'https://wx1.sinaimg.cn/large/8138a992ly1h5riovph3zj20tu13uqau.jpg', 'https://wx2.sinaimg.cn/large/8138a992ly1h5rjbmedkfj20qp10cn46.jpg', 'https://wx3.sinaimg.cn/large/8138a992ly1h5riou9q53j20u01407b5.jpg', 'https://wx3.sinaimg.cn/large/8138a992ly1h5riowj3cjj20u0140thm.jpg']",,
4.80903E+15,M3MZbl9oR,5270499207,舜舜麻麻,育儿知识(收藏好总有用）母婴护理准备工作：1.剪指甲。2.每次喂奶前用肥皂洗手。3.用温水毛巾清洁乳头和乳晕。4.用温水毛巾敷乳房3分钟，按摩乳房，促进血液循环，有助乳汁分泌。5.如果妈妈感冒要带口罩。6.两侧乳房交替排空，佩戴棉质胸罩。#育儿##宝宝##育儿知识#,,,,"育儿,宝宝,育儿知识",0,0,0,2022/9/1 23:30,,['https://wx3.sinaimg.cn/large/005KGtBJgy1h5riv7al6ej30ks0cd78o.jpg'],,
4.80903E+15,M3MXcDVoq,7405373993,人总要仰望些什么,是不是每个妈妈都是这样！打过之后就心疼得要命，尤其看她已睡着，而打过的痕迹就更刺心了#育儿#,,,,育儿,0,0,0,2022/9/1 23:26,iPhone客户端,['https://wx3.sinaimg.cn/large/0085ac41gy1h5rirp09wqj32c03404qq.jpg'],,
4.80903E+15,M3MWSBEW8,1313307885,恬言田雨,#育儿#大晚上的学习育儿经#当你帮小学生辅导作业时#累心,,,,"育儿,当你帮小学生辅导作业时",0,0,0,2022/9/1 23:25,HUAWEI Mate30 Pro 5G,"['https://wx4.sinaimg.cn/large/4e477cedly1h5riqc2kvjj22402tcnpd.jpg', 'https://wx2.sinaimg.cn/large/4e477cedly1h5riqcryd5j22402tckjl.jpg']",,
4.80903E+15,M3MVcjhGa,7366671201,酒窝妈妈育儿经,#酒窝妈妈育儿经##育儿#【育儿知识分享】一定要给孩子立得的七个规矩！via：L亲子育儿好时光的微博视频,,,,"酒窝妈妈育儿经,育儿",0,1,2,2022/9/1 23:21,育儿超话,,"http://f.video.weibocdn.com/u0/7x8t7KTDgx07UydoGwiY01041200c0qy0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665203187&ssig=RKQbs4jKU1&KID=unistore,video",
4.80903E+15,M3MNCoSKH,1720567801,伊然逗逗,九月开学的第一天6:20起来简单的收拾一下自己7:00叫醒姐姐7:30一起上学8:00送姐姐到学校8:15和大叔一起吃个早餐8:50到家逗逗刚刚好醒了陪她玩11:00逗逗困了小睡一会———————-14:50交接逗逗给家婆我出门和朋友们约个短暂下午茶16:30接姐姐放学奖励去吃蛋糕17:30到家带逗逗———————-一天都处于一个清净和充实的状态时间都刚刚好九月新的开启愿一切如意顺心#生活的模样##育儿#,,,,"生活的模样,育儿",0,0,2,2022/9/1 23:02,二胎超话,"['https://wx4.sinaimg.cn/large/668dc7f9gy1h5rhqyjj8ij22bc3341ky.jpg', 'https://wx2.sinaimg.cn/large/668dc7f9gy1h5rhr03oxfj22c0340hdw.jpg', 'https://wx2.sinaimg.cn/large/668dc7f9gy1h5rhr16nvsj22c0340e82.jpg', 'https://wx1.sinaimg.cn/large/668dc7f9gy1h5rhr2yl80j22c0340npf.jpg', 'https://wx4.sinaimg.cn/large/668dc7f9gy1h5rhr5493mj22c0340kjn.jpg', 'https://wx4.sinaimg.cn/large/668dc7f9gy1h5rhqxckm7j23342bce82.jpg', 'https://wx3.sinaimg.cn/large/668dc7f9gy1h5rhr6ytkkj22bc334e82.jpg', 'https://wx3.sinaimg.cn/large/668dc7f9gy1h5rhr7zndqj22bc3341ky.jpg', 'https://wx2.sinaimg.cn/large/668dc7f9gy1h5rhr9dr2pj21sc1sc7wh.jpg']",,
4.80902E+15,M3MM0fIP1,7277294335,小欣欣欣欣欣欣欣欣欣欣欣,?小学#育儿#?,,,,育儿,0,0,0,2022/9/1 22:58,nova5Pro人像超级夜景,"['https://wx4.sinaimg.cn/large/007WuMH5gy1h5rhxrlbjjj30u00k0q7w.jpg', 'https://wx2.sinaimg.cn/large/007WuMH5gy1h5rhxuj2juj30u01t7wly.jpg', 'https://wx3.sinaimg.cn/large/007WuMH5gy1h5rhxs3iylj30u01t7aib.jpg', 'https://wx3.sinaimg.cn/large/007WuMH5gy1h5rhxtgim9j31f43344qq.jpg', 'https://wx1.sinaimg.cn/large/007WuMH5gy1h5rhxtz5cyj30u01t7jzj.jpg']",,
4.80902E+15,M3MKy7bhN,7329921786,祝贺草,新学期新学习，我们告诉孩子四句话#家庭教育#家庭教育#育儿#L祝贺草的微博视频,,,,"家庭教育,育儿",0,0,0,2022/9/1 22:54,微博视频号,,"http://f.video.weibocdn.com/o0/t9PM8qFBlx07YSBTdXEk01041200MCWL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665203187&ssig=gnhPzeTQG%2F&KID=unistore,video",
4.80902E+15,M3MJ07jSp,7252652498,家庭育儿知识分享,孩子更快乐家庭更幸福，与孩子平等对视#育儿#育儿L家庭育儿知识分享的微博视频,,,,育儿,0,0,0,2022/9/1 22:51,微博视频号,,"http://f.video.weibocdn.com/o0/8IrgjpF1lx07YN54O3tm01041200pRmn0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665203187&ssig=awjmgPAZnt&KID=unistore,video",
4.80902E+15,M3MHU8oNG,5029233107,lucky諪大大,家有过敏性鼻炎的孩子看过来?让你“瑟瑟发抖”的季节开学季也是“过敏性鼻炎”发作季#带着微博去旅行##生活的模样##育儿#,,泉州·惠安县,,"带着微博去旅行,生活的模样,育儿",0,0,0,2022/9/1 22:48,iPhone客户端,['https://wx4.sinaimg.cn/large/005um9h1gy1h5rhnp5ujrj30my0k30us.jpg'],,
4.81846E+15,M7KfuDiLv,7252652498,家庭育儿知识分享,你的命运由此展开#育儿#育儿L家庭育儿知识分享的微博视频,,,,育儿,4,1,6,2022/9/27 23:54,微博视频号,,"http://f.video.weibocdn.com/o0/dLZXhaoclx07ZnTYqPoQ01041200shsA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665203198&ssig=%2BE3VP7v7ek&KID=unistore,video",
4.81846E+15,M7Kfdw9hB,6939134457,莹雪心理,要多可爱才会被看见#育儿#L莹雪心理的微博视频,,,,育儿,0,0,0,2022/9/27 23:53,微博视频号,,"http://f.video.weibocdn.com/o0/sBhzh0Q1lx07Zy94wlna010412005yiN0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665203198&ssig=1x%2F5KVPdFu&KID=unistore,video",
4.81846E+15,M7KdspzeD,5750496755,离离离不开,我宝必备??撕不烂的抽纸玩具来咯『面包超人｜动物抽纸巾盒』满足宝宝爱抽纸的乐趣。双面图案，颜色认知，动物认知，数字认知，启蒙又益智?响纸设计，捏一捏会发出沙沙响声，有趣又好玩?促进大脑发育，手眼协调，肌肉锻炼???水洗，??啃咬，宝宝玩它妈妈超安心！家里的纸巾省了省了哈哈哈哈~#育儿##生活##带娃日常##宝妈#,,,,"育儿,生活,带娃日常,宝妈",0,0,0,2022/9/27 23:49,iPhone客户端,"['https://wx1.sinaimg.cn/large/006hauTFgy1h6lljavgtaj31hc1hctdz.jpg', 'https://wx3.sinaimg.cn/large/006hauTFgy1h6lljb8wjtj31hc1hcdit.jpg']",,
