id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4790555822787856,LBZLMbHfq,5804608756,艺术舞,afTV贝拉#摄影##美女##女主播##舞蹈#O网页链接,,,,"摄影,美女,女主播,舞蹈",0,0,0,2022-07-12 23:49,微博视频号,,,
4790555424592952,LBZL8jgPS,5293725771,划水的评审,舞蹈#舞蹈#萌七啊丶20220629L划水的评审的微博视频,,,,舞蹈,0,0,0,2022-07-12 23:48,微博视频号,,"http://f.video.weibocdn.com/u0/4aDUpY6Zgx07Xz6mqxeg01041218RbRH0E0p0.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199327&ssig=3kfUnDXVpy&KID=unistore,video",
4790555387363597,LBZL4uTBH,5768168516,AF专用录制,【AfreecaTV-二月】#美女##韩国女主播##舞蹈##女神#O网页链接,,,,"美女,韩国女主播,舞蹈,女神",0,0,0,2022-07-12 23:47,微博视频号,,,
4790554423198372,LBZJwdq2E,5293725771,划水的评审,舞蹈#舞蹈#养成系小真真20220711O网页链接,,,,舞蹈,0,0,0,2022-07-12 23:44,微博视频号,,,
4790552781917698,LBZGS82SC,1886167491,yejoo莓莓,#舞蹈#,,,,舞蹈,0,0,1,2022-07-12 23:37,Note 9 Pro 一亿像素,"['https://wx1.sinaimg.cn/large/706ca1c3ly1h44khcvb67j223p34wb2f.jpg', 'https://wx3.sinaimg.cn/large/706ca1c3ly1h44khi67lxj222v35sb2e.jpg', 'https://wx3.sinaimg.cn/large/706ca1c3ly1h44khizgbsj20u00rldhz.jpg']",,
4790552657400787,LBZGFv3hx,5804608756,艺术舞,afTV贝拉#摄影##美女##女主播##舞蹈#L艺术舞的微博视频,,,,"摄影,美女,女主播,舞蹈",0,0,0,2022-07-12 23:37,微博视频号,,"http://f.video.weibocdn.com/o0/TDYu21wZlx07XzjmcJgk01041206mgmE0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199327&ssig=yn77xeo66m&KID=unistore,video",
4790550232565120,LBZCLaLiU,5804608756,艺术舞,afTV艾琳#摄影##美女##女主播##舞蹈#O网页链接,,,,"摄影,美女,女主播,舞蹈",0,0,0,2022-07-12 23:27,微博视频号,,,
4790548970081456,LBZAJ0lbO,7365850069,南鹊古典舞,复閤重楼向浦开，秋风明月度江来。故人故情怀故宴，相望相思不相见。#舞蹈##中国舞##古典舞#L南鹊古典舞的微博视频,,,,"舞蹈,中国舞,古典舞",0,0,0,2022-07-12 23:22,微博视频号,,"http://f.video.weibocdn.com/o0/pstDzusFlx07XzimKrNu01041200oBTu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199327&ssig=B8l%2Bk2bSLx&KID=unistore,video",
4790547418712904,LBZydAyCI,5804608756,艺术舞,afTV艾琳#摄影##美女##女主播##舞蹈#O网页链接,,,,"摄影,美女,女主播,舞蹈",0,0,0,2022-07-12 23:16,微博视频号,,,
4790546125555028,LBZw8nj7e,5984343509,成都BUBL舞蹈工作室,浅浅打一下铁吧！快节奏的音乐🎵简直太适合打铁啦～#爵士舞##舞蹈室##舞蹈#L成都BUBL舞蹈工作室的微博视频,,成都·BUBL DANCE舞蹈室,,"爵士舞,舞蹈室,舞蹈",0,0,0,2022-07-12 23:11,iPhone客户端,,"http://f.video.weibocdn.com/o0/Ujjl2ZDclx07XzhAgXGg01041200frUy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665199327&ssig=Z2SkkfuV5N&KID=unistore,video",
