id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81193E+15,M50tVizKb,1778488742,今天_金丰,#艺术##油画##遇见艺术#徐东林油画作品欣赏,,,,"艺术,油画,遇见艺术",0,0,3,2022/9/9 23:42,HUAWEI P40 5G,"['https://wx3.sinaimg.cn/large/6a0195a6gy1h60b0zwx7jj20dw0bdta5.jpg', 'https://wx4.sinaimg.cn/large/6a0195a6gy1h60b10r8z4j20fa0ciq42.jpg', 'https://wx1.sinaimg.cn/large/6a0195a6gy1h60b0zn4jdj20dw0bdgmt.jpg', 'https://wx1.sinaimg.cn/large/6a0195a6gy1h60b111mrmj20fa0ci0ty.jpg', 'https://wx2.sinaimg.cn/large/6a0195a6gy1h60b0ytvqmj20fa0ci75l.jpg', 'https://wx3.sinaimg.cn/large/6a0195a6gy1h60b0zd0lpj20hi0dwn6m.jpg', 'https://wx4.sinaimg.cn/large/6a0195a6gy1h60b0ygvz9j20dw0a7gml.jpg', 'https://wx1.sinaimg.cn/large/6a0195a6gy1h60b105ja0j20dw0b0t9o.jpg', 'https://wx1.sinaimg.cn/large/6a0195a6gy1h60b10ggftj20dw0bd3zi.jpg']",,
4.81193E+15,M50oGvvv6,3902041683,天歇作,素描402。20220909#素描##插画#素描#艺术#,,,,"素描,插画,艺术",0,0,1,2022/9/9 23:29,HUAWEI Mate30 Pro 5G,['https://wx4.sinaimg.cn/large/e8946e53ly1h60rty8534j20u01d4qlc.jpg'],,
4.81193E+15,M50nKzomA,2479514620,谷锦玥,达芬奇的蒙娜丽莎3/3艺术#蒙娜丽莎#艺术家#艺术##艺术分享##油画#油画L谷锦玥的微博视频,,,,"蒙娜丽莎,艺术,艺术分享,油画",0,0,4,2022/9/9 23:27,iPhone客户端,,"http://f.video.weibocdn.com/o0/5XqMlEBklx07Z5pefhGE01041200Dbb80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665152682&ssig=rjE1%2BGpqFZ&KID=unistore,video",
4.81192E+15,M509MubBd,1752020327,毛笔哥哥,中秋诗词书法创作此夜若无月一年虚过秋——唐?司空图《中秋》#书法##练字##遇见艺术##天马行空艺术家##艺术#O绿洲,,北京,,"书法,练字,遇见艺术,天马行空艺术家,艺术",2,1,7,2022/9/9 22:53,绿洲APP,"['https://wx1.sinaimg.cn/large/686db567ly3h60qru1djdj216o1kwamy.jpg', 'https://wx3.sinaimg.cn/large/686db567ly3h60qru09upj20wz1kwabq.jpg', 'https://wx4.sinaimg.cn/large/686db567ly3h60qrudrujj214b1kwwpa.jpg', 'https://wx1.sinaimg.cn/large/686db567ly3h60qrum1rrj21f71kwq4a.jpg', 'https://wx2.sinaimg.cn/large/686db567ly3h60qrupgcgj216o1kwwh9.jpg', 'https://wx1.sinaimg.cn/large/686db567ly3h60qruro7tj20ku0v9adw.jpg']",,
4.81192E+15,M508yhcmN,1728151951,初九兔辰月wing,朱晨丽#艺术#“故事，是人与不属于人的巨大、抽象事物间，颤颤巍巍、飘飘摇摇存在的桥梁”，“故事，把我们带离世俗，也就同时帮助我们接近素心童真”，“故事具备强大的穿透力，可以跨越空间的限制”，“故事宣扬着许多没有被实现的变化，保留了人们对于变化的好奇与冲动”，“搭迪士尼的云霄飞车，不只是搭云霄飞车，更是走进一个故事，体验故事”。因此，人们需要故事，也愿意讲故事。#朱晨丽##朱晨丽rebecca##向全世界安利朱晨丽#@朱晨丽rebecca#我的偶像我爱惜##我眼中的团圆#,,,朱晨丽rebecca,"艺术,朱晨丽,朱晨丽rebecca,向全世界安利朱晨丽,我的偶像我爱惜,我眼中的团圆",0,0,4,2022/9/9 22:49,朱晨丽超话,['https://wx2.sinaimg.cn/large/6701818fgy1h60qon35w4j20rl0zkgmf.jpg'],,
4.81192E+15,M5083zoQo,1752020327,毛笔哥哥,中秋诗词书法创作但愿人长久千里共婵娟——宋?苏轼《水调歌头?明月几时有》#艺术##天马行空艺术家##遇见艺术##练字##书法#O绿洲,,北京,,"艺术,天马行空艺术家,遇见艺术,练字,书法",1,0,4,2022/9/9 22:48,绿洲APP,"['https://wx1.sinaimg.cn/large/686db567ly3h60qnf3pqvj216o1kwna4.jpg', 'https://wx4.sinaimg.cn/large/686db567ly3h60qnf448ej219j1kwwgu.jpg', 'https://wx4.sinaimg.cn/large/686db567ly3h60qnfd7qdj216o1kwq4y.jpg', 'https://wx4.sinaimg.cn/large/686db567ly3h60qnfd08xj216o1kwab2.jpg', 'https://wx2.sinaimg.cn/large/686db567ly3h60qnfkhecj21kw18612i.jpg', 'https://wx4.sinaimg.cn/large/686db567ly3h60qnfj7nxj21161kw0v8.jpg', 'https://wx1.sinaimg.cn/large/686db567ly3h60qnfp8ogj218t1kwgy7.jpg', 'https://wx4.sinaimg.cn/large/686db567ly3h60qnfslaij21kw1aj17n.jpg', 'https://wx3.sinaimg.cn/large/686db567ly3h60qnfxw53j216o1kw12e.jpg']",,
4.81192E+15,M50121dNZ,5601812853,EveryArt美术馆,O艺术共创招募开始啦！｜MOYMOMO·YoungPower超万元奖金欢迎设计师、艺术家参与此次大赛！#遇见艺术##艺术##艺术设计##艺术家##设计师##潮玩##当代设计##当代艺术#,,,,"遇见艺术,艺术,艺术设计,艺术家,设计师,潮玩,当代设计,当代艺术",1,0,5,2022/9/9 22:31,iPhone XR,"['https://wx1.sinaimg.cn/large/00676Dqdly1h60q5b6kwbg30j60as4qt.jpg', 'https://wx3.sinaimg.cn/large/00676Dqdly1h60q59csp0g30j60asnpf.jpg', 'https://wx2.sinaimg.cn/large/00676Dqdly1h60q5e0j96g30j60as1l1.jpg', 'https://wx1.sinaimg.cn/large/00676Dqdly1h60q5ev6ucj30zk0uxtaa.jpg']",,
4.81192E+15,M500tbh3R,1687431233,SSEE-LAB,温暖、神秘又孤寂的荒野故事|LydiaFreier?#艺术##绘画#,,,,"艺术,绘画",20,1,54,2022/9/9 22:30,矿务研究所Android,"['https://wx2.sinaimg.cn/large/64942841gy1h5zi2b61r4j20ku0ln49r.jpg', 'https://wx4.sinaimg.cn/large/64942841gy1h5zi29t9rmj20ku0fsn82.jpg', 'https://wx3.sinaimg.cn/large/64942841gy1h5zi2cacyhj20ku0fon6v.jpg', 'https://wx1.sinaimg.cn/large/64942841gy1h5zi28jm5jj20u014se81.jpg', 'https://wx4.sinaimg.cn/large/64942841gy1h5zi2922uij20jg0f07ev.jpg', 'https://wx2.sinaimg.cn/large/64942841gy1h5zi2aa70bj20ku0fftiz.jpg', 'https://wx2.sinaimg.cn/large/64942841gy1h5zi29g4rwj20ku0fogqs.jpg', 'https://wx4.sinaimg.cn/large/64942841gy1h5zi263bm6j20ku0dxwp5.jpg', 'https://wx3.sinaimg.cn/large/64942841gy1h5zi2bq415j20ku0fyqfp.jpg']",,
4.81191E+15,M4ZTXbGau,5662024893,MetaSize,每日灵感｜CodexSeraphinianus#becomemetasize#?CodexSeraphinianusJustinTaylor在一篇CodexSeraphinianus文章中向信徒推销。“我刚搬到纽约，是第一学期的M.F.A.在新学校。最终花了两年时间才写完并修改为可发布的形式。”“未知星球完整历史的片段”于2007年5月出版，当我的投稿副本寄到邮件中时，我看到我已经制作了封面——以及RickMoody、JohnHodgman和RivkaGalchen的文章——而且这件作品本身，用来自法典的图像进行了华丽的插图，跨越了11个厚，英俊，宽大的边框信徒页面。”讨论：极其限量版、变形双颅犀牛、法国书商、严重错误、伊塔洛卡尔维诺、普林尼斯自然历史、希罗尼姆斯博世、70年代波普艺术、易趣、伏尼契手稿、意大利贵族、博多尼、西瓜糖、奥维德、刘易斯卡罗尔、儿童照片、超文本小说、分类调查、炼金术蚀刻、比利乔尔#艺术##审美积累##品牌设计##来自星星的艺术家##平面设计#,,,,"becomemetasize,艺术,审美积累,品牌设计,来自星星的艺术家,平面设计",1,0,0,2022/9/9 22:13,新版微博 weibo.com,"['https://wx1.sinaimg.cn/large/006bbhk9gy1h60pmkv6lpj315o1jk1ky.jpg', 'https://wx4.sinaimg.cn/large/006bbhk9gy1h60pmsf4kgj315o1jkhdu.jpg', 'https://wx4.sinaimg.cn/large/006bbhk9gy1h60pmoeb6jj315o1jkx6p.jpg', 'https://wx3.sinaimg.cn/large/006bbhk9gy1h60pmqcngoj315o1jku0x.jpg', 'https://wx1.sinaimg.cn/large/006bbhk9gy1h60pmm4z82j315o1jkb29.jpg']",,
4.81191E+15,M4ZQZ8qIs,5328669218,画画的安争鸣,《梦游者》by马克西米连·皮尔纳大家晚安。#艺术#,,,,艺术,14,2,65,2022/9/9 22:06,微博 weibo.com,['https://wx2.sinaimg.cn/large/005OCyhIly1h60peqv3q7j30j60z9ag9.jpg'],,
