id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81121E+15,M4HJBj2KJ,6275239588,艺术库-,-木雕城市-JamesMcNabb#遇见艺术##设计##木雕#,,,,"遇见艺术,设计,木雕",0,0,1,2022/9/7 23:59,iPhone客户端,"['https://wx2.sinaimg.cn/large/006QGgtKly1h5yhf1wbjzj30uk0rvdkd.jpg', 'https://wx3.sinaimg.cn/large/006QGgtKly1h5yhetaoi1j30sg0iyjun.jpg', 'https://wx2.sinaimg.cn/large/006QGgtKly1h5yhesqdm0j30hs0hswk3.jpg', 'https://wx2.sinaimg.cn/large/006QGgtKly1h5yheycdk0j30k10dd75w.jpg', 'https://wx3.sinaimg.cn/large/006QGgtKly1h5yheui7dsj30sg0iyn18.jpg', 'https://wx3.sinaimg.cn/large/006QGgtKly1h5yherwudfj30k10e1n0i.jpg', 'https://wx2.sinaimg.cn/large/006QGgtKly1h5yhewnxa2j30k10e1wi0.jpg', 'https://wx1.sinaimg.cn/large/006QGgtKly1h5yheszzv2j30sg0hmta9.jpg', 'https://wx1.sinaimg.cn/large/006QGgtKly1h5yhes50z2j30go0bqq45.jpg']",,
4.81121E+15,M4Hx3cQxT,1951124737,有关紫色,日式原木风留白的艺术|宁波170㎡生于熙攘半生匆忙向往青石旁日照泉灵山涧叮铃自然的禅修不眠不止本案以日式原木风构建空间框架，将留白艺术注入日常起居，平淡中轻描诗意，淳朴中长抒风韵。餐厨区与客厅相接，折叠窗收放便携，有设计之妙，完成了最大程度的采光，使室内通透明亮。隔断处以吧台呈现，时刻保持区域间的强互动。木质的温润在空间渗透，平直流畅的线条勾勒着窗沿、柜身，硬挺而又纤柔，肆意舒张理性之美。纯白基调与绿植的错落点缀，缓缓敲响充满活力的生命律感，优雅且灵动。#设计美学##室内设计##设计##建筑设计##美学##空间设计##室内装修##室内装修##好设计共欣赏##室内装修设计##原创设计##设计秀##设计美学志##装修设计##家居装修##家居##家居美学##美好家居打造法##家居设计##生活美学##装修经验谈##现代简约风格##家装设计##家居好物##软装设计##住宅设计##家居装饰#设计室内设计家居创意每一帧都是热爱#每一帧都是热爱#设计美学设计美学,,,,"设计美学,室内设计,设计,建筑设计,美学,空间设计,室内装修,好设计共欣赏,室内装修设计,原创设计,设计秀,设计美学志,装修设计,家居装修,家居,家居美学,美好家居打造法,家居设计,生活美学,装修经验谈,现代简约风格,家装设计,家居好物,软装设计,住宅设计,家居装饰,每一帧都是热爱",1,0,0,2022/9/7 23:28,设计美学超话,"['https://wx2.sinaimg.cn/large/744bcd01ly1h5ygjo6ceoj20u00i8jtu.jpg', 'https://wx4.sinaimg.cn/large/744bcd01ly1h5ygjohd4ej20u00k0mze.jpg', 'https://wx1.sinaimg.cn/large/744bcd01ly1h5ygjor7dyj20u019043c.jpg', 'https://wx3.sinaimg.cn/large/744bcd01ly1h5ygjozjgej20u0190dhd.jpg', 'https://wx1.sinaimg.cn/large/744bcd01ly1h5ygjpaxz5j20u0190gq3.jpg', 'https://wx4.sinaimg.cn/large/744bcd01ly1h5ygjpkb8yj20u00k1dgp.jpg', 'https://wx4.sinaimg.cn/large/744bcd01ly1h5ygjprno5j20u00k1js1.jpg', 'https://wx4.sinaimg.cn/large/744bcd01ly1h5ygjpzsbqj20u00k03z9.jpg', 'https://wx4.sinaimg.cn/large/744bcd01ly1h5ygjq7fy2j20u018z42e.jpg']",,
4.8112E+15,M4Hms2rzp,7757819911,雪龙二号,#设计##人物写真#（侵删）今天的设计美学类内容就为您播送到这里，再见。再见。,,,,"设计,人物写真",0,0,1,2022/9/7 23:02,新版微博 weibo.com,"['https://wx2.sinaimg.cn/large/008t11lBgy1h5r3f71lv5j30kf0cvt9b.jpg', 'https://wx4.sinaimg.cn/large/008t11lBgy1h5r3f78zngj30kg0kgdhv.jpg', 'https://wx4.sinaimg.cn/large/008t11lBgy1h5r3f7fiydj30dv0kuaau.jpg', 'https://wx1.sinaimg.cn/large/008t11lBgy1h5r3f7lls9j30fn0my0tr.jpg', 'https://wx4.sinaimg.cn/large/008t11lBgy1h5r3f7qn4wj30kg0osjsg.jpg', 'https://wx2.sinaimg.cn/large/008t11lBgy1h5r3f7wpplj30kg0kgjs0.jpg', 'https://wx2.sinaimg.cn/large/008t11lBgy1h5r3f828g6j30dw0kumxy.jpg', 'https://wx1.sinaimg.cn/large/008t11lBgy1h5r3f87dtfj30de0ggdgv.jpg', 'https://wx4.sinaimg.cn/large/008t11lBgy1h5r3f8bz5bj30et0m8dgu.jpg']",,
4.8112E+15,M4HgkoiCO,1780453650,草帽船长CAPTAIN,一些作品#字体设计##设计#,,,,"字体设计,设计",0,0,0,2022/9/7 22:46,小米10S,"['https://wx1.sinaimg.cn/large/6a1f9112ly1h5yfcl17nsj20p00fxdg0.jpg', 'https://wx4.sinaimg.cn/large/6a1f9112ly1h5yfcl79f0j20p00fxta1.jpg', 'https://wx2.sinaimg.cn/large/6a1f9112ly1h5yfclggqwj20p00fxac5.jpg', 'https://wx2.sinaimg.cn/large/6a1f9112ly1h5yfclo8f9j20p00fxwgo.jpg', 'https://wx2.sinaimg.cn/large/6a1f9112ly1h5yfclwxpfj20p00fxaa1.jpg', 'https://wx1.sinaimg.cn/large/6a1f9112ly1h5yfcm465mj20p00fxt8w.jpg', 'https://wx1.sinaimg.cn/large/6a1f9112ly1h5yfcm9tnwj20p00fxtat.jpg', 'https://wx2.sinaimg.cn/large/6a1f9112ly1h5yfcmfc3cj20p00fxjrn.jpg', 'https://wx1.sinaimg.cn/large/6a1f9112ly1h5yfcmn3w2j20p00fx40e.jpg']",,
4.81119E+15,M4H7RwaAT,2270631811,末末堂人,最近和一个同事聊起ai作图，他说不喜欢。嗯，我想起自己学画画的时候，很喜欢一切掌控的感觉（这个虽然高效，但还是亲手话更爽）。所以我想ai未来的结合点，于画师可能像笔刷那样的，于外行可能用于图画搜索#设计#,,,,设计,0,0,0,2022/9/7 22:26,新版微博 weibo.com,,,
4.81119E+15,M4H3QvHn1,6576450638,乔梦笙w,饭圈美工设计#设计##国风#封设～,,,,"设计,国风",0,0,0,2022/9/7 22:16,饭圈美工设计超话,['https://wx1.sinaimg.cn/large/007b47eugy1h5yegx24yej33342bcu17.jpg'],,
4.81119E+15,M4H34hsNQ,6161458893,Q-uiet-li,各种板式新颖独特的网页banner设计！#设计##板式设计##网页设计#,,,,"设计,板式设计,网页设计",0,0,1,2022/9/7 22:14,iPhone客户端,"['https://wx3.sinaimg.cn/large/006IYQVfly1h5yeegk5u3j30u00ladgi.jpg', 'https://wx2.sinaimg.cn/large/006IYQVfly1h5yeegt6tkj30u00lu74n.jpg', 'https://wx4.sinaimg.cn/large/006IYQVfly1h5yeeh15d8j30u00lidig.jpg', 'https://wx3.sinaimg.cn/large/006IYQVfly1h5yeeh87ocj30u00lydjf.jpg', 'https://wx4.sinaimg.cn/large/006IYQVfly1h5yeegc1zoj30rs0j40u5.jpg', 'https://wx2.sinaimg.cn/large/006IYQVfly1h5yeehgtvqj30rs0jwt9l.jpg']",,
4.81118E+15,M4GXicEIh,2146892831,美术生都关注,这些重新设计后的基础款女装，你觉得咋样？#服装##设计#cr：Linternet-garcon-pdf的微博视频,,,,"服装,设计",21,4,103,2022/9/7 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/JZD3Ltq9lx07YVOaOMKc01041201Ae7W0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665153279&ssig=63fSoqk9pm&KID=unistore,video",
4.81118E+15,M4GNhjzeH,3614321212,-PaperPlay-,#PP&Company设计&印刷案例#气泡升腾是面向年轻群体的苏打水品牌，我们从品牌主打的高含气量出发，将rising做出上升的律动感，并提取出“Pào”来强化视觉传播效果。#设计##品牌设计#L-PaperPlay-的微博视频,,,,"设计,品牌设计",0,0,13,2022/9/7 21:35,微博视频号,,"http://f.video.weibocdn.com/o0/Vx9jDOkHlx07Z25M7M5y010412005zV30E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665153279&ssig=sveM8LrWk2&KID=unistore,video",
4.81118E+15,M4GMp1SEx,1640545455,x1ao4,前几天开始接触StableDiffusion了，因为之前一直在用DiscoDiffusion，所以突然换了StableDiffusion感觉不要太爽，之前一张图要十几分钟，现在一张图只要几十秒，而且效果也很惊人，朋友们赶快上车吧！O小白请进·StableDiffusion·教程合集#StableDiffusion##AI##AI绘画##人工智能##插画##绘画##深度学习##数字艺术##数字插画##设计##创意##DiscoDiffusion##文本转图像#Lx1ao4的微博视频,,,,"Stable Diffusion,AI,AI绘画,人工智能,插画,绘画,深度学习,数字艺术,数字插画,设计,创意,Disco Diffusion,文本转图像",0,0,0,2022/9/7 21:33,微博视频号,,"http://f.video.weibocdn.com/o0/M6kFcGyJlx07Z25CY7Gg01041201HAuO0E010.mp4?label=mp4_720p&template=1440x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665153279&ssig=lBNy%2BnZtEg&KID=unistore,video",
