id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81266E+15,M5jrCtfy3,5722901967,橙児,气质是一种味道，腹有诗书气自华；品格也是一种味道，出淤泥而不染，濯清涟而不妖。心情，有时候也是一种味道，此情可待成追忆，只是当时已惘然。——董卿#读书#,,,,读书,0,0,0,2022/9/11 23:59,Redmi K40,,,
4.81266E+15,M5jrrsPCF,5722901967,橙児,除了象棋，万事不过是美梦一场而已。梦中一位美丽的少女，眼睛清澈，露着双臂，她的形象渐渐模糊，化为乌有，就像月亮散去金色的光晕一般。——弗拉基米尔·纳博科夫《防守》#读书#,,,,读书,0,0,0,2022/9/11 23:58,Redmi K40,,,
4.81266E+15,M5jrksSol,5722901967,橙児,人们的举止应当像他们的衣服，不可太紧或过于讲究，应当宽舒一点，以便于工作和运动。——培根#读书#,,,,读书,0,0,0,2022/9/11 23:58,Redmi K40,,,
4.81266E+15,M5jpUBAnv,2284025022,那梦想啊,通过对地方记忆的深挖，对社会关系的深耕，对身份认同的培育，进入民间公共领域的生态区，最终将“附近”变成“恋地之地”。这是陌生的个体与在地建立私密关系的过程，是化解“无乡的焦虑感”的过程。——《贫穷的质感》#读书#,,,,读书,0,0,0,2022/9/11 23:54,iPhone客户端,,,
4.81266E+15,M5jpzEYZr,5347461255,爱生活的青青书吧,经典小说《慕少太太超难宠》全文在线阅读传言，纵横整个北城的商界大佬慕煜城，被未婚妻抛弃，从此，他心灰意冷，不再谈婚论嫁。童渺渺听到这则传闻，出离了愤怒，“谁抛弃他？明明是他抛弃我！”慕煜城逼近她：“五年前带球跑的是不是你？五年后装作跟我不熟的是不是你？”童渺渺很委屈，“确实是我，可那是因为……”“没有因为！你承认了就好。现在，是不是该补我个婚礼了？”童渺渺怒：“慕煜城，做人不能太无耻！”“这就无耻了？我还想要你补我一个洞房花烛夜……”全文阅读微信关注公众号【简单文学】，在里面回书名即可#粉丝找书##经典小说##小说推文##推书##每日小说推荐##读书##慕少太太超难宠#,,,,"粉丝找书,经典小说,小说推文,推书,每日小说推荐,读书,慕少太太超难宠",0,0,0,2022/9/11 23:54,新版微博 weibo.com,['https://wx2.sinaimg.cn/large/005PToX5ly1h633rxwcp5j30j60bz74y.jpg'],,
4.81266E+15,M5jpie2Hk,6652907304,海天蓝蓝722,必须推荐！！延津开了家自习室，大家可以联系15603738391#读书##考研数学##法考##申论#L海天蓝蓝722的微博视频,,,,"读书,考研数学,法考,申论",0,1,0,2022/9/11 23:53,微博视频号,,"http://f.video.weibocdn.com/o0/InZ6Gv56lx07Z8CP0wEw010412005coU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665200360&ssig=EX3sizzpAr&KID=unistore,video",
4.81266E+15,M5jkCpIhN,1729332604,灵灵星星-Liz,"#读书#《乌合之众》这个世界每天都在产生新鲜的新闻,当人人都像鹦鹉学舌一样转发相同的内容时别感到奇怪,原本就是没创意的乌合之众罢了,要知道不管平时多么道貌岸然的大V都需要蹭流量,必要时也需要吃一吃人血馒头.这些大V在生活中不论人格修养,眼界或文化水平上可能还不如你我他,毕竟网红是这个世界上最没门槛的职业.他们喜欢把自己当成道德弘扬的卫道士,喜欢在各种明星跌份儿时出来踩一脚,喜欢把别人的生活当成自己的.真正的公信力不是靠你出来教别人怎么做人,不是靠嘴炮而是日积月累的行动去证明.做好自己就行了，烦人！读书",,,,读书,0,0,0,2022/9/11 23:41,读书超话,['https://wx4.sinaimg.cn/large/6713857cgy1h6339b2e1lj20tu122jzd.jpg'],,
4.81266E+15,M5jiAvNoT,5117607633,安阳市第三十二中学,#读书#【《祖先的村庄》：回不去的故乡，到不了的远方】《祖先的村庄》是一部融入作者对故土浓郁怀旧情愫的长篇散文集，书中追忆了20世纪古楚原乡某个家族人、事与时代的沧桑之变，饱含着作者独有的思考与感悟。乡土咫尺天涯，情感的家园无可寻迹，在熟悉的故乡失落了道路，也失落了精神的家园，这是回不去的故乡。凭着坚硬的文学爱好与理想，对浪漫的精神追求永葆向往，作者用仁慈的文字重新营构家园，塑造家园的精神品格，不断前行却是永远抵达不了的远方。该书虽云短制，颇同长篇；虽现记忆，却是追摹历史；虽写槐树畈一隅，却隐藏着中国乡村社会百年风云际遇与人世沧桑；虽写人事，却潜匿着深刻的历史喟叹与直面社会转型的忧思。散文语调，小说笔法，历史叙事，这是“席星荃式”散文对于文体的创新与突破。作家、鲁迅文学院副院长邱华栋评价席星荃具有现代观念，特别对散文观念有一种突破的渴望，超越一般的写作者。#校园热点运营官#,,,,"读书,校园热点运营官",1,0,1,2022/9/11 23:36,HarmonyOS设备,['https://wx4.sinaimg.cn/large/005AkXwBly1h633a3lg3hj30ku0bqmye.jpg'],,
4.81266E+15,M5jicjbhN,5857629878,绿茶碴子,推文将就看?#热门小说推荐##小说推荐##原耽##读书#,,,,"热门小说推荐,小说推荐,原耽,读书",0,0,4,2022/9/11 23:35,推文超话,"['https://wx4.sinaimg.cn/large/006oq17gly1h633914uxdj30wi1yckcg.jpg', 'https://wx1.sinaimg.cn/large/006oq17gly1h63392a8bdj30wi1yckd1.jpg', 'https://wx3.sinaimg.cn/large/006oq17gly1h63393ovgej30wi1ycwvh.jpg']",,
4.81266E+15,M5jhQEkEY,1227624912,所谓伊人lly,#读书#夜读,,,,读书,0,0,0,2022/9/11 23:35,HUAWEI P50,['https://wx1.sinaimg.cn/large/492c11d0ly1h633803tw5j22dc35s1ky.jpg'],,
