id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81266E+15,M5jr4s9Y9,5120025748,股市人生牛股多多,【德国监管机构认定特斯拉Au-t-o-p-i-l-ot软件存在异常下令改正】9月10日消息，针对特斯拉司机辅助驾驶系统Au-t-o-p-i-l-ot进行了半年多的调查后，德国公路交通安全监管机构KBA发现该软件存在“异常”。该机构已经下令特斯拉进行改进，并限制部分辅助驾驶功能。目前尚不清楚所谓的“异常”是指什么，特斯拉的空中更新(OTA)发生了哪些变化，或者有多少车辆受到影响。到目前为止，KBA也未就这些问题给予回复。(目前无人驾驶还不能让人放心）#财经##科技##如何看待互联网的十年发展#,,,,"财经,科技,如何看待互联网的十年发展",0,0,1,2022/9/11 23:57,Redmi K40 Pro,['https://wx4.sinaimg.cn/large/005Av6Asly1h633vw2p24j30u00gwn0x.jpg'],,
4.81266E+15,M5jqAhBzd,1960660265,议科技,【俄能源部部长称俄罗斯不会亏本供应自己的石油和天然气】俄罗斯能源部部长尼古拉·舒尔吉诺夫在评论西方国家限制俄罗斯能源资源价格的想法时说，俄罗斯不会亏本或者低于成本价提供自己的石油和天然气。在9月9日举行的特别会议上，欧盟各成员国能源部长讨论欧盟可能采取的额外措施，来应对能源价格的飙升，其中包括限制俄罗斯天然气价格的可能性。会议还研究要求消费者减少高峰时段用电、对低成本发电并从高价中超额获利的公司规定收入上限的可能性。（财联社）#财经##议科技#,,,,"财经,议科技",0,0,0,2022/9/11 23:56,微博 weibo.com,,,
4.81266E+15,M5jnO4ICk,7583979578,币世界超市,金钻国际#区块链##元宇宙##今日头条##马斯克#shib币#比特币超话#比特币数字币#投资##财经##币圈##数字货币#区块链G89NFT金钻国际?金钻国际GoldenDiamond9?[玫瑰]金钻国际准备来了???全球首发！！???万倍起航！！?金钻国际[庆祝]解密区块链财富密码金钻一战，别墅?靠海??上千个社区群同时预热！！！?十万人团队蓄势待发！！！?澳大利亚团队打造！！！?目标6000倍熊市破局就在金钻金钻在手天下我有???,,,,"区块链,元宇宙,今日头条,马斯克,比特币超话,投资,财经,币圈,数字货币",0,0,0,2022/9/11 23:49,金钻国际超话,['https://wx1.sinaimg.cn/large/008hfBxggy1h633nieotpj30u01hcti4.jpg'],,
4.81266E+15,M5jnNvgE4,6225851363,比特游山玩水,大饼阳线一天比一样虚了，上22000下来山寨血流成河#异性之间真的会有纯友谊吗##财经##比特币超话#,,,,"异性之间真的会有纯友谊吗,财经,比特币超话",0,0,1,2022/9/11 23:49,,['https://wx1.sinaimg.cn/large/b10c1bc2ly1h60gkl456eg208c08c12h.jpg'],,
4.81266E+15,M5jni9Uha,1960660265,议科技,【第二十二届投洽会闭幕协议投资额逾3400亿元】9月11日，第二十二届中国国际投资贸易洽谈会(简称“投洽会”)在厦门闭幕。据组委会披露，据初步统计，480多个项目在投洽会期间达成合作协议，协议总投资额达3420亿元人民币。(中新网)（每日经济新闻）#财经##议科技#,,,,"财经,议科技",0,0,0,2022/9/11 23:48,微博 weibo.com,,,
4.81266E+15,M5jngnp0g,5120025748,股市人生牛股多多,【财政部：PPP市场规模稳中有增】日前，财政部政府和社会资本合作（PPP）中心发布全国PPP综合信息平台管理库项目半年报显示，今年上半年，PPP市场规模稳中有增，签约落地项目投资大幅增长，开工建设项目投资显著增长。统计显示，中西部地区项目多。上半年在库项目投资额净增量前五位是广西877亿元、重庆680亿元、四川543亿元、新疆469亿元、山西379亿元。（基建发力啊）#年轻人为什么爱买手机壳##分手后真的没必要再复合吗##财经#,,,,"年轻人为什么爱买手机壳,分手后真的没必要再复合吗,财经",0,0,1,2022/9/11 23:48,Redmi K40 Pro,['https://wx4.sinaimg.cn/large/005Av6Asly1h633m4981zj30dw0dw74v.jpg'],,
4.81266E+15,M5jmVqO0Z,7759287124,依诺区块链教学培训加密圈布局,学员群布局SSV暴涨23.87%回落15.55精准低位进场布局，反弹高点19.2如期而至，高位逃顶落袋，完美！#牧牛##币圈##加密货币##数字货币##数字货币##财经#,,,,"牧牛,币圈,加密货币,数字货币,财经",0,0,1,2022/9/11 23:47,iPhone客户端,"['https://wx4.sinaimg.cn/large/008t7b2kly1h633jt2ouuj30yi22ogor.jpg', 'https://wx1.sinaimg.cn/large/008t7b2kly1h633jtfkc9j30yi22on79.jpg', 'https://wx3.sinaimg.cn/large/008t7b2kly1h633jtv05vj30u01xu0uu.jpg', 'https://wx2.sinaimg.cn/large/008t7b2kly1h633jsqi99j30w823046o.jpg']",,
4.81266E+15,M5jj9ErSz,6858103283,短线掘金老张,成都市新型冠状病毒肺炎疫情防控指挥部通告（2022年第9号）当前全市疫情防控形势取得阶段性成效，前期成都东部新区、青白江区、温江区、新津区、都江堰市、彭州市、邛崃市、崇州市、大邑县、蒲江县已逐步有序恢复正常生产生活秩序。经市疫情防控指挥部会同专家组综合研判，决定近期无社会面新增病例的四川天府新区、成都高新区西区、郫都区（不含团结街道）、简阳市、金堂县自2022年9月12日0时起，在科学评估本辖区疫情防控形势基础上，逐步有序恢复正常生产生活秩序。今日看盘#财经##股票#,,,,"财经,股票",0,0,0,2022/9/11 23:38,今日看盘超话,,,
4.81266E+15,M5jj3oTze,6824064813,王爷说财经新媒体,#财经#《上半年，俄罗斯GDP总量79128亿！和中国各省GDP相比如何？》（文章首发于微信公众号：#王爷说财经#），详情见：O上半年，俄罗斯GDP总量79128亿！和中国各省GDP相比如何？,,,,"财经,王爷说财经",0,0,0,2022/9/11 23:38,新版微博 weibo.com,,,
4.81266E+15,M5jhl5LpI,1960660265,议科技,【第二十二届投洽会闭幕?480多个项目合作协议总投资3420亿元】第二十二届中国国际投资贸易洽谈会11日在厦门闭幕。据投洽会组委会当天晚间披露，据初步统计，480多个项目在投洽会期间达成合作协议，协议总投资额达3420亿元人民币。#财经##议科技#,,,,"财经,议科技",0,0,0,2022/9/11 23:33,微博 weibo.com,,,
