id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.81266E+15,M5jqn11pV,5525355392,青翠2018wxt,旦增尼玛#旦增尼玛直播现场演唱##金牌混剪##音乐#2022年第173场9月11日晚上直播(二）余生很长可我愿做你星河里的一点光，微微闪耀，静静观赏.以自己微弱萤火守你初心，护你远航.愿你所愿皆，可偿，愿你前方的路都明亮。葵花向阳，最善良最质朴的小太阳，真心感谢葵葵一直以来的支持与守护。我们一起努力一起加油，一起执着的坚持，迎接美好的明天。一起鉴证每一个美好的时刻请相信自己一定会闪闪发光！尼是最棒的尼是记录小太阳每一场精彩的现场直播，让美好永留存的时光永久的留存。分享给大家。@旦增尼玛L青翠2018wxt的微博视频,,,旦增尼玛,"旦增尼玛直播现场演唱,金牌混剪,音乐",2,1,23,2022/9/11 23:56,旦增尼玛超话,,"http://f.video.weibocdn.com/o0/Oer9FflFlx07Z8D08I8001041202cEQy0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147267&ssig=O9cLjnMolO&KID=unistore,video",
4.81266E+15,M5jmjwWqI,3079054675,斜杠先生1990,《明月千里寄相思》《一荤一素》《月亮代表我的心》，陈老师有心了，学生刚回来报到，这是又想把学生给拉走啊?#音乐##校园生活##治愈系##河北工程大学美育教师的一天#@河北工程大学@河北工程大学微博协会@人民日报@人民网@央视新闻@共青团中央@超话社区@新华网@新京报L斜杠先生1990的微博视频,,邯郸·河北工程大学(新校区),"河北工程大学,河北工程大学微博协会,人民日报,人民网,央视新闻,共青团中央,超话社区,新华网,新京报","音乐,校园生活,治愈系,河北工程大学美育教师的一天",0,0,1,2022/9/11 23:46,iPhone客户端,,"http://f.video.weibocdn.com/o0/qE7Ccyzelx07Z8Ck772M01041200SLbf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147267&ssig=2JGCNNYEae&KID=unistore,video",
4.81266E+15,M5jgpq7U5,3171256063,Melody欧美音乐台,【活动预告】Wow！?Unbelievable！恭喜娅娅！OliviaRodrigo将于11月5日做客在Microsoft剧院举办的2022年摇滚名人堂颁奖典礼！—MileyCyrus、AlanisMorissette和Pink等其他歌手也将出席。oliviarodrigo#超能新星汇##音乐#,,,,"超能新星汇,音乐",0,19,86,2022/9/11 23:31,oliviarodrigo超话,['https://wx2.sinaimg.cn/large/bd0586ffgy1h6331zuonhj20u0118tde.jpg'],,
4.81266E+15,M5jfsmsti,2651394223,虎宝918,我发布了：好久没听到这熟悉的旋律了，梁静茹的暖暖是我从学生时代就很爱听的一首听不够#暖暖#老歌越听越有味#音乐##快手#@快手L懒懒猪丫头的快手视频,,,快手,"暖暖 ,音乐 ,快手",0,0,0,2022/9/11 23:29,快手,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xudtkqfws539aq&a=3xh59muzzs8eq3q&f=3xh59muzzs8eq3q&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5221360902301071066&shareResourceType=PHOTO_SELF&shareToken=X-4B6frK2ihx2hi,
4.81266E+15,M5jfm6Xit,5257047651,音乐馅儿小笼包,[比心]杰伦演唱会和偶像刘德华合唱《忘情水》，天王盖地虎，杰伦小公举...周杰伦#周杰伦##音乐#L音乐馅儿小笼包的微博视频,,沧州,,"周杰伦,音乐",1,9,3,2022/9/11 23:28,周杰伦超话,,"http://f.video.weibocdn.com/o0/eKLO25cTlx07Z8B9T8Yo01041200pIQb0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147267&ssig=IQtrNxB22j&KID=unistore,video",
4.81266E+15,M5jdmD596,5238179130,再活_五百年,#音乐#L和你在一起,,,,音乐,0,0,0,2022/9/11 23:24,微博音乐超话,,http:https://c.y.qq.com/base/fcgi-bin/fcg_pyq_mv.fcg?vid=l0013a71ih6&type=hd&code=4c082&tag=631dfd48,
4.81265E+15,M5jb2aECk,2233184644,Mavis_语寻,Jazzfunk?#音乐#Natasha肥来咯LMavis_语寻的微博视频,,,,音乐,0,0,1,2022/9/11 23:18,iPhone客户端,,"http://f.video.weibocdn.com/u0/O3HFlGPegx07Z8ApKFKM01041200nnIb0E010.mp4?label=mp4_720p&template=1116x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147267&ssig=vsIDam7fg4&KID=unistore,video",
4.81265E+15,M5j5UdGui,5255700308,lollipop贩卖机,分享单曲Ksheluvme(@网易云音乐)#音乐#,,,网易云音乐,音乐,0,0,0,2022/9/11 23:05,网易云音乐,,,
4.81265E+15,M5j4h80kl,1666458773,Irvinisnotakidanymore,0.复制打开抖音，看看【贰:/万·音乐的作品】“艾特你列表第二位来听”#音乐#每日推荐音乐ξUtgQI1L904Bv8ξLIrvinisnotakidanymore的微博视频,,,, 音乐 ,0,0,1,2022/9/11 23:01,iPhone客户端,,"http://f.video.weibocdn.com/o0/HsLTHgCblx07Z8zgvtEk010412006UYK0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147267&ssig=Wj3ciXPc1c&KID=unistore,video",
4.81265E+15,M5j3DygSh,6253643647,艺术作品集情报局,#音乐#莫扎特的《魔笛》被广泛认作为史上最具影响的歌剧之一。乍一看也许这是一部稚气未脱的神话故事，但实际上它是一部充满了颠覆性象征的歌剧。讲述了跟随着王子和捕鸟人营救夜之女王女儿的冒险经历。约书亚·博思（JoshuaBorths）对它有独特的见解：莫扎特的灵感来源于具有争议性的共济会，同时受到18世纪欧洲思想的影响，歌剧中的众多元素都反映了理性主义、人文主义以及对传统权威的批判怀疑主义对作者的影响。这是一个通过歌声讲述的戏剧性故事。歌剧的独特之处在于使用音乐来传达整个故事，能更好地体现人的反应和情绪。by：TED-Ed#艺术留学##作品集#L艺术作品集情报局的微博视频,,,,"音乐,艺术留学,作品集",15,4,33,2022/9/11 23:00,微博视频号,,"http://f.video.weibocdn.com/o0/0wkrfYeXlx07Z4w4hWRO01041200P1Pl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147267&ssig=lgQSaAGF2G&KID=unistore,video",
4.8123E+15,M5a0lFzyu,5130394795,燕子一马当先,我来人间一趟，本想不负韶华时光，却为碎银几两，忘了来时梦想，终是抖落了轻狂，褪去了锋芒，纵有千万结绪，拂袖幻作星光#音乐#我在快手整活#快影达人##快手#@快手L亮哥音乐推荐的快手视频,,,快手,"音乐 ,快影达人 ,快手",0,0,0,2022/9/10 23:57,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xkyzfiwws5v4pc&a=3xv2xbakwj5esxs&f=3xnqcsw6vvrmad9&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5194057827455008947&shareResourceType=PHOTO_OTHER&shareToken=X-7KjXy7uQJi89E8,
4.8123E+15,M5a08bNpw,5585487260,超级生命密码学员,放下就可拥有更多。紧握的手掌是没有空间再接收新的事物，当学会放下了就可拥有更多。唯有将手掌打开，宇宙才有机会在你掌心放上更多的礼物。「摘自网络」独在异乡为异客，每逢佳节倍思亲，分享正能量歌曲「思念」，愿您所思念的对象平安健康，幸福快乐#正能量##音乐##音乐分享##爱与感恩##疗愈身心灵##致自己##晚安心语##人生感悟##情感##好听##想念##中秋#L超级生命密码学员的微博视频,,,,"正能量,音乐,音乐分享,爱与感恩,疗愈身心灵,致自己,晚安心语,人生感悟,情感,好听,想念,中秋",0,0,0,2022/9/10 23:56,微博视频号,,"http://fb.video.weibocdn.com/o8/rvFZPMLRlx07Z72adrBe010412029rHH0E018.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147280&ssig=SAD0G0aDvd&KID=unistore,video",
4.8123E+15,M59UWm1XW,5257047651,音乐馅儿小笼包,[比心]杰伦至今还没在这部电影里走出来???#周杰伦#周杰伦#音乐#L音乐馅儿小笼包的微博视频,,沧州,," 周杰伦 ,音乐",0,9,8,2022/9/10 23:43,周杰伦超话,,"http://f.video.weibocdn.com/o0/de7FG4w2lx07Z71hyOfC010412008Exp0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147280&ssig=1f%2Bzl7GQyk&KID=unistore,video",
4.8123E+15,M59Ul76Xr,5081251707,江扬桃花酒,Bright今晚播出的t-popstage打歌节目，布莱特现场演唱新歌《lost&found》好好听好温柔，听着又好难过喜欢他现场演出时的即兴发挥，一些在现场演绎时情绪氛围灵感的不同会出现的即兴的旋律或曲调改动?#bright音乐#?#brightvachirawit#L江扬桃花酒的微博视频,,,,"bright 音乐,bright vachirawit",6,8,39,2022/9/10 23:42,Bright超话,,"http://f.video.weibocdn.com/o0/xTKGvinHlx07Z71bKNqM0104120248VB0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147280&ssig=YJ9tc0AaUi&KID=unistore,video",
4.81229E+15,M59PJ64IK,2624526853,追梦人传媒,灯火映玩家，团圆共此时。看天上的月，吹人间的风。祝所有追梦人中秋节快乐，团圆幸福！#中秋节##说唱##音乐#L追梦人传媒的微博视频,,,,"中秋节,说唱,音乐",0,0,1,2022/9/10 23:31,iPhone客户端,,"http://f.video.weibocdn.com/o0/3pQnl2Itlx07Z70oI3VS01041200dIRZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147280&ssig=%2FuZFENGrG8&KID=unistore,video",
4.81229E+15,M59PGrsrG,7714468464,柠檬滴甜甜,柠檬滴筝扬日记01—《歌声与微笑》#音乐##钢琴#L柠檬滴甜甜的微博视频,,,,"音乐,钢琴",0,1,2,2022/9/10 23:30,微博视频号,,"http://f.video.weibocdn.com/u0/2M2LEgElgx07Z70oJ18s01041200Xux50E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147280&ssig=wIH9UKY42E&KID=unistore,video",
4.81229E+15,M59CMcGRa,6140312766,我爱我家的天空_08256,好听音乐送大家#爱老婆会发财#老婆不败家赚钱给谁花#音乐##快手#@快手L勇敢坚强的小草帽的快手视频,,,快手,"爱老婆会发财 ,音乐 ,快手",0,0,0,2022/9/10 22:59,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3x82rkixc7u2pzc&a=3xpinv7yr37p6xe&f=3xejygqu9gvj23u&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5216294351575225158&shareResourceType=PHOTO_OTHER&shareToken=X2T5qEABCAad1d5,
4.81229E+15,M59CGAKgC,6140312766,我爱我家的天空_08256,好听音乐送大家#爱老婆会发财#老婆不败家赚钱给谁花#音乐##快手#@快手L勇敢坚强的小草帽的快手视频,,,快手,"爱老婆会发财 ,音乐 ,快手",0,0,0,2022/9/10 22:58,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3x82rkixc7u2pzc&a=3xpinv7yr37p6xe&f=3xejygqu9gvj23u&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5216294351575225158&shareResourceType=PHOTO_OTHER&shareToken=X2T5qEABCAad1d5,
4.81228E+15,M59xTDF8C,1692124780,傻子上学_wqu,你走你的路我过我的桥#dj##音乐#分享##音乐#车载u盘##热门音乐#?O绿洲L傻子上学_wqu的微博视频,,,,"dj,音乐,车载u盘,热门音乐",0,0,0,2022/9/10 22:47,微博视频号,,"http://oasis.video.weibocdn.com/u2/BMiOZse5gx07Z6XnUf5e010412009ITb0E012.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147280&ssig=1MkrwgcbsY&KID=unistore,video",
4.81228E+15,M59xeyd9F,5992567643,宝藏音乐现场,#周冬雨王一博化身画中人##2022年央视中秋晚会##音乐#帅哥美女温柔的唱情歌L宝藏音乐现场的微博视频,,,,"周冬雨王一博化身画中人,2022年央视中秋晚会,音乐",0,0,3,2022/9/10 22:45,微博视频号,,"http://f.video.weibocdn.com/o0/4wnY88pslx07Z6Xht41201041201Sqny0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147280&ssig=69dB9wNH9a&KID=unistore,video",
4.81194E+15,M50A5lHVy,1468905563,CAR-ZH,09.09.#珠海##生活##分享##音乐#K还是觉得你最好-张学友-专辑《超白金精选1》分享张学友的歌曲,,,,"珠海,生活,分享,音乐",0,0,0,2022/9/9 23:57,iPhone客户端,['https://wx4.sinaimg.cn/large/578db85bgy1h60sj9abrqj211u0lngrp.jpg'],,
4.81194E+15,M50yBsSRe,7012741059,黑头音乐大赏,13岁的比伯，谁能想到这孩子两年后就会成为席卷全球巨星呢#贾斯汀比伯##音乐#L黑头音乐大赏的微博视频,,,,"贾斯汀比伯,音乐",0,0,22,2022/9/9 23:54,微博视频号,,"http://f.video.weibocdn.com/o0/7uiE71GLlx07Z5r5gY1i010412004qJo0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147295&ssig=tqfLLKqcx4&KID=unistore,video",
4.81193E+15,M50rM3Mit,5874213204,L约定and甜热热,嗯这个视频怕是只有我们涛哥的脸能看！没想到五音不全到这个地步#逆战##音乐#LL约定and甜热热的微博视频,,,,"逆战,音乐",0,1,0,2022/9/9 23:37,微博视频号,,"http://f.video.weibocdn.com/o0/tXqQJJCWlx07Z5pXvaaQ01041200AQ8Z0E010.mp4?label=mp4_720p&template=960x544.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665147295&ssig=%2BKrArCWNld&KID=unistore,video",
4.81193E+15,M50rg4xpe,7523659342,李贝瓦,周杰伦周杰伦分散时间的注意，这次会抱的更紧，这样挽留不知还来不来得及——周杰伦《回到过去》#周杰伦##音乐#,,,,"周杰伦,音乐",0,0,0,2022/9/9 23:36,nova5 人像超级夜景,,,
